item_code,item,unit,n_original,original_std,n_trimmed,new_std,std_reduction,std_reduction_pct
1,AYAM BERSIH - STANDARD,1kg,32,0.8214304498075096,29.0,0.7445367521952552,0.0768936976122544,0.09360950477337836
3,AYAM HIDUP,1kg,4,0.28867513459481287,4.0,0.28867513459481287,0.0,0.0
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,14,2.9277002188455996,14.0,2.9277002188455996,0.0,0.0
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,4,0.0,4.0,0.0,0.0,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,10,0.5163977794943223,10.0,0.5163977794943223,0.0,0.0
93,CILI MERAH - KULAI,1kg,26,1.8778055932800513,25.0,1.7625738755203044,0.11523171775974683,0.061365094540200074
94,CILI MERAH - MINYAK,1kg,31,2.7027067276924392,27.0,2.3033667913509945,0.3993399363414447,0.14775555640193327
101,KELAPA BIJI,1 biji,14,0.44326461226170144,14.0,0.44326461226170144,0.0,0.0
102,KELAPA PARUT,1kg,16,0.5079370039680117,16.0,0.5079370039680117,0.0,0.0
103,SANTAN KELAPA SEGAR (BIASA),1kg,14,2.660248687044705,14.0,2.660248687044705,0.0,0.0
104,KUBIS BULAT IMPORT (CHINA),1kg,31,0.631264305703969,31.0,0.631264305703969,0.0,0.0
105,KUBIS BULAT (TEMPATAN),1kg,20,1.011200433044544,19.0,1.008008864715499,0.0031915683290451025,0.003156217328186717
114,TOMATO,1kg,44,0.9901310054905998,40.0,0.8894502767843712,0.10068072870622868,0.1016842500112825
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,11,0.1361816968078108,11.0,0.1361816968078108,0.0,0.0
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,9,0.15092308563562365,9.0,0.15092308563562365,0.0,0.0
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,4,0.0,4.0,0.0,0.0,
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,20,2.8022547312739734,20.0,2.8022547312739734,0.0,0.0
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,10,2.3316422443324267,9.0,2.318404623873926,0.013237620458500743,0.005677380606170485
368,KACANG TANAH (IMPORT),1kg,20,1.2993520652516335,19.0,1.2783853119650406,0.02096675328659292,0.01613631428102012
1128,LADA BENGGALA HIJAU (CAPSICUM),1kg,38,2.061509687246622,36.0,1.725796342525101,0.3357133447215208,0.16284829840887324
1131,UBI KENTANG IMPORT (CHINA),1kg,31,0.7509612478010598,27.0,0.640494822956141,0.11046642484491875,0.14710003368134233
1367,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG  (MUTTON) (AUSTRALIA),1kg,14,4.496640992983565,14.0,4.496640992983565,0.0,0.0
1370,DAGING LEMBU IMPORT (TOPSIDE),1kg,4,0.0,4.0,0.0,0.0,
1371,DAGING LEMBU IMPORT (BLADE),1kg,4,0.0,4.0,0.0,0.0,
1373,DAGING LEMBU IMPORT (KNUCKLE),1kg,4,0.0,4.0,0.0,0.0,
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),1kg,14,1.5619092289760113,14.0,1.5619092289760113,0.0,0.0
1376,DAGING KERBAU IMPORT (INDIA) * (RUMP),1kg,10,0.21081851067789165,10.0,0.21081851067789165,0.0,0.0
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),1kg,10,1.4757295747452437,10.0,1.4757295747452437,0.0,0.0
1378,DAGING KERBAU IMPORT (INDIA) * (CHUCK),1kg,4,0.0,4.0,0.0,0.0,
1391,UDANG PUTIH BESAR/BANANA PRAWN (BERAT ANTARA 41 EKOR HINGGA 60 EKOR SEKILOGRAM),1kg,2,1.4142135623730951,,,,
1396,KUBIS BULAT IMPORT (INDONESIA),1kg,4,0.0,4.0,0.0,0.0,
1400,BAWANG PERAI (LEEK) IMPORT,1kg,7,1.069044967649698,6.0,0.7527726527090812,0.3162723149406168,0.29584566085741315
1412,KUBIS PANJANG CHINA - BESAR,1kg,22,0.8432697647276914,18.0,0.6157253016230724,0.22754446310461907,0.269835908534083
1419,KACANG DAL BIASA (INDIA),1kg,4,0.0,4.0,0.0,0.0,
1420,KACANG DAL MALAVI (INDIA),1kg,8,2.0540899966373707,8.0,2.0540899966373707,0.0,0.0
1422,KACANG DAL (AUSTRALIA),1kg,20,1.545843322897689,20.0,1.545843322897689,0.0,0.0
1431,DAGING LEMBU TEMPATAN (BAHAGIAN 1 DAGING PAHA (KECUALI BATANG PINANG - TENDERLOIN),1kg,8,0.0,8.0,0.0,0.0,
1432,DAGING LEMBU TEMPATAN (BAHAGIAN 2 DAGING PEJAL (KECUALI BATANG PINANG - TENDERLOIN),1kg,8,1.0690449676496976,8.0,1.0690449676496976,0.0,0.0
1440,BAWANG BESAR IMPORT (INDIA),1kg,19,1.0029197142425579,19.0,1.0029197142425579,0.0,0.0
1441,BAWANG BESAR IMPORT (CHINA),1kg,12,1.8979676131604724,10.0,1.5320142877198564,0.365953325440616,0.1928132613555165
1442,BAWANG KECIL MERAH BIASA IMPORT (INDIA),1kg,12,2.2465461706739296,11.0,2.232243062685847,0.01430310798808243,0.006366710007919275
1458,KUBIS BULAT IMPORT (BEIJING),1kg,43,0.9803721579616145,39.0,0.714652884230709,0.2657192737309054,0.2710391881011674
1475,IKAN BAWAL PUTIH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,2,0.0,2.0,0.0,0.0,
1476,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),1kg,17,3.6817315299765583,17.0,3.6817315299765583,0.0,0.0
1477,IKAN MABUNG (ANTARA 6 HINGGA 10 EKOR SEKILOGRAM),1kg,11,1.7939291563999449,10.0,1.7159383568311666,0.0779907995687783,0.04347484921048396
1479,BROKOLI,1kg,44,1.5190596707496706,39.0,1.0457548655714666,0.47330480517820406,0.31157749382196653
1481,KUBIS BUNGA (CAULIFLOWER),1kg,44,1.39198096023527,41.0,1.2666115734702492,0.12536938676502074,0.09006544654449228
1482,KUBIS PANJANG (TEMPATAN),1kg,20,0.5994734531675541,19.0,0.5600229736306825,0.03945047953687153,0.06580855136857085
1491,BERAS PULUT THAILAND (SUSU) PELBAGAI JENAMA,1kg,6,0.6196773353931867,6.0,0.6196773353931867,0.0,0.0
1492,BERAS PULUT THAILAND (BIASA) PELBAGAI JENAMA,1kg,8,1.2044560123617163,7.0,1.1759494644146675,0.028506547947048766,0.02366757079916325
1555,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),1kg,28,3.540907948609946,25.0,3.08733973943048,0.45356820917946594,0.12809375893477354
1564,BAWANG PUTIH IMPORT (CHINA),1kg,26,1.8086841796008675,24.0,1.7023800474885027,0.10630413211236478,0.058774292002611264
1804,KEPAK AYAM (CHICKEN WING) (1KG),1kg,5,1.7888543819998315,3.0,0.0,1.7888543819998315,1.0
1929,SANTAN KELAPA SEGAR (PEKAT),1kg,8,1.0690449676496976,8.0,1.0690449676496976,0.0,0.0
