item_code,item,unit,item_group,item_category,2022-03-02,2022-03-09,2022-03-16,2022-03-17,2022-03-20,2022-03-23,2022-03-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,7.366666666666667,7.366666666666667,7.5,,7.9,7.5,6.9
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,,7.9,,,,,
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,6.05,6.05,6.05,6.05,,6.05,6.05
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,33.5,33.5,33.5,,,33.5,32.0
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,40.0,40.0,40.0,,,40.0,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,17.0,17.0,17.0,,,17.0,17.0
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.75,15.0,15.5,12.0,,14.25,13.0
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.5,13.0,12.5,,,12.5,
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,2.0,2.0,1.8800000000000001,,,1.8800000000000001,1.7
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,7.1,7.1,7.1,,,7.1,6.7
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,7.0,7.0,7.0,,,7.0,7.0
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.5,3.25,2.8333333333333335,,3.5,3.0,
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.166666666666667,4.125,3.75,5.5,,3.5,3.0
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.3,3.0,3.06,,5.0,2.96,2.75
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.1,4.1,4.1,,,4.1,4.1
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,3.9,3.9,3.9,,,3.9,3.9
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,3.7,3.7000000000000006,3.7000000000000006,,,3.7000000000000006,3.7
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,10.3,8.666666666666666,8.333333333333334,,,8.0,7.5
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,9.200000000000001,8.975,8.333333333333334,,,8.333333333333334,9.0
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,6.833333333333333,6.8999999999999995,6.833333333333333,,,7.0,6.5
1128,LADA BENGGALA HIJAU (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.0,9.25,10.3,,,11.0,9.5
1131,UBI KENTANG IMPORT (CHINA),1kg,BARANGAN KERING,UBI KENTANG,2.5,2.5,2.5,,,2.25,2.25
1367,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG  (MUTTON) (AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,39.0,39.0,39.0,,,39.0,38.0
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),1kg,BARANGAN SEGAR,DAGING,16.5,16.5,16.5,,,16.5,16.5
1376,DAGING KERBAU IMPORT (INDIA) * (RUMP),1kg,BARANGAN SEGAR,DAGING,16.5,16.5,16.5,,,16.5,16.5
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),1kg,BARANGAN SEGAR,DAGING,16.0,16.0,16.0,,,16.0,16.0
1379,DAGING BABI (PERUT / BELLY),1kg,BARANGAN SEGAR,DAGING,,28.0,28.0,,,28.0,
1380,DAGING BABI (DAGING & LEMAK / LEAN & FAT),1kg,BARANGAN SEGAR,DAGING,,16.0,16.0,,,16.0,16.0
1381,DAGING BABI (ISI DAGING / PURE LEAN),1kg,BARANGAN SEGAR,DAGING,,18.0,20.0,,,20.0,20.0
1383,DAGING BABI (RUSUK DENGAN DAGING/ RIBS WITH MEAT),1kg,BARANGAN SEGAR,DAGING,,18.0,20.0,,,20.0,20.0
