item_code,item,unit,item_group,item_category,2022-08-03,2022-08-10,2022-08-17,2022-08-24,2022-08-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.05,8.166666666666666,8.314285714285715,8.442857142857143,9.4
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,8.4,,,,
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,6.4,6.4,6.4,6.4,
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,33.0,32.333333333333336,33.0,32.333333333333336,36.0
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,34.5,34.5,34.5,34.5,36.0
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,40.0,,40.0,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,19.266666666666666,19.266666666666666,18.7,18.7,22.0
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,15.0,16.2,15.8,15.0,14.0
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,15.833333333333334,16.125,14.333333333333334,13.4,
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,1.9333333333333333,1.7999999999999998,1.9333333333333333,1.9500000000000002,
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,7.3,7.566666666666666,7.55,7.566666666666666,8.0
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,6.333333333333333,7.0,7.0,7.0,8.0
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.12,3.042857142857143,2.8000000000000003,2.85,3.0
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.1,4.5,4.5,4.666666666666667,
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.45,5.285714285714286,5.12,5.1125,5.7
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.233333333333333,4.4,4.3,4.32,4.1
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,4.0,4.199999999999999,4.1,4.159999999999999,
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,3.8333333333333335,3.9666666666666663,3.9,4.0,
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,5.5,6.2,5.857142857142857,6.2,7.0
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,10.5,10.5,10.5,10.5,12.0
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,8.3,8.2,7.959999999999999,8.2,10.0
1128,LADA BENGGALA HIJAU (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.285714285714286,10.071428571428571,10.25,9.8,11.0
1131,UBI KENTANG IMPORT (CHINA),1kg,BARANGAN KERING,UBI KENTANG,3.0,2.75,2.8333333333333335,2.8333333333333335,3.0
1367,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG  (MUTTON) (AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,39.0,38.0,39.0,38.0,
1374,DAGING KERBAU TEMPATAN,1kg,BARANGAN SEGAR,DAGING,,,31.0,31.0,
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),1kg,BARANGAN SEGAR,DAGING,18.433333333333334,18.433333333333334,18.075,18.075,22.0
