item_code,item,unit,item_group,item_category,2024-03-06,2024-03-13,2024-03-20,2024-03-27
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.309999999999999,8.454545454545455,8.8625,8.7
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,6.6,,6.6,
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,26.75,26.75,28.666666666666668,26.333333333333332
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,45.0,45.0,45.0,45.0
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,19.5,19.0,19.333333333333332,19.2
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,15.0,14.0,11.666666666666666,11.833333333333334
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.875,11.375,11.0,10.0
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,2.025,2.066666666666667,1.9666666666666668,2.066666666666667
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,7.175,7.175,7.175,7.175
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,7.75,7.75,8.333333333333334,7.75
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.5375,2.625,2.9166666666666665,2.8428571428571425
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.8,3.4499999999999997,3.5666666666666664,3.1666666666666665
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.554545454545455,4.663636363636363,3.9444444444444446,3.3600000000000003
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,7.3999999999999995,7.3999999999999995,4.3,7.3999999999999995
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,7.066666666666666,7.066666666666666,4.15,7.066666666666666
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,8.05,6.666666666666667,3.8,8.05
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,10.6,8.5,10.208333333333334,9.2
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,10.5,11.125,12.125,11.833333333333334
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,7.76,8.0,7.959999999999999,8.125
1128,LADA BENGGALA HIJAU (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.444444444444445,10.7,10.75,9.727272727272727
1131,UBI KENTANG IMPORT (CHINA),1kg,BARANGAN KERING,UBI KENTANG,2.6999999999999997,2.7142857142857144,2.9166666666666665,3.0
1367,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG  (MUTTON) (AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,31.5,31.5,33.333333333333336,36.0
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),1kg,BARANGAN SEGAR,DAGING,18.125,18.125,18.5,18.875
1376,DAGING KERBAU IMPORT (INDIA) * (RUMP),1kg,BARANGAN SEGAR,DAGING,18.0,18.0,18.333333333333332,18.875
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),1kg,BARANGAN SEGAR,DAGING,18.375,18.375,19.333333333333332,19.2
1378,DAGING KERBAU IMPORT (INDIA) * (CHUCK),1kg,BARANGAN SEGAR,DAGING,16.5,16.5,16.5,
1396,KUBIS BULAT IMPORT (INDONESIA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.5,3.5,2.8,2.8
1400,BAWANG PERAI (LEEK) IMPORT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,12.0,10.5,9.0,12.0
1412,KUBIS PANJANG CHINA - BESAR,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.8200000000000003,3.96,4.220000000000001,4.175
1419,KACANG DAL BIASA (INDIA),1kg,BARANGAN KERING,KACANG,10.5,10.5,10.0,10.0
1420,KACANG DAL MALAVI (INDIA),1kg,BARANGAN KERING,KACANG,8.25,8.25,8.4,8.4
1422,KACANG DAL (AUSTRALIA),1kg,BARANGAN KERING,KACANG,4.491666666666666,4.46,4.6125,4.12
1431,DAGING LEMBU TEMPATAN (BAHAGIAN 1 DAGING PAHA (KECUALI BATANG PINANG - TENDERLOIN),1kg,BARANGAN SEGAR,DAGING,38.0,38.0,38.5,38.5
