item_code,item,unit,item_group,item_category,2022-05-11,2022-05-17
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,63.0,1.0
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,46.0,0.0
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,8.0,0.0
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,22.0,0.0
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,37.0,1.0
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,36.0,1.0
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,19.0,0.0
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,5.0,0.0
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,3.0,0.0
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,60.0,0.0
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,43.0,0.0
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,53.0,0.0
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,52.0,0.0
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,41.0,0.0
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,37.0,1.0
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,36.0,1.0
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,43.0,0.0
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,56.0,0.0
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,34.0,0.0
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,37.0,0.0
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,34.0,0.0
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,37.0,0.0
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,34.0,0.0
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK,37.0,1.0
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK,37.0,1.0
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK,33.0,1.0
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK,3.0,0.0
1202,DAGING MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,18.0,0.0
1203,DAGING MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,17.0,0.0
1204,DAGING MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.0,0.0
1205,DAGING MASAK PAPRIK,sepiring,MAKANAN SIAP MASAK,LAUK,11.0,0.0
1206,SOTONG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,5.0,0.0
1207,SOTONG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,4.0,0.0
