item_code,item,unit,item_group,item_category,2022-03-02,2022-03-03,2022-03-08
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,1.5957142857142859,1.2,
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.2942307692307695,6.3,
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,2.4166666666666665,,
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,3.1608695652173915,,
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,7.040000000000001,6.0,
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,7.1726190476190474,6.0,6.0
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,7.257142857142857,7.5,6.0
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,7.58,6.5,
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,6.785714285714286,,
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,6.252985074626865,6.6,6.5
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,7.224468085106383,7.6,
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,6.027118644067797,6.6,
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,6.991525423728813,6.6,8.0
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,6.211111111111111,6.6,
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,7.595238095238095,7.6,
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,8.445348837209304,8.6,
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,7.253846153846154,6.6,8.0
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.683050847457627,5.0,5.5
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.597368421052632,,
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.063414634146342,,
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.735714285714286,,
