item_code,item,unit,item_group,item_category,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.541125,8.523469387755103,8.5533,8.529375,8.542574257425741,8.513235294117647,8.527272727272727,8.529313725490196,8.554848484848485,8.569897959183676,8.556421052631581,8.594666666666667,8.564835164835166,8.545876288659795,8.598064516129032,8.613225806451613,8.583085106382978,8.604835164835164,8.612527472527473,8.601444444444446,8.583978494623656,8.606436781609196,8.5183908045977,8.534432989690721,8.544285714285715,8.522,8.527010309278351,8.522,8.5272,8.551919191919193,8.527184466019417
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,10.748125,10.698235294117648,10.67542857142857,10.698235294117648,10.67542857142857,10.67542857142857,10.649714285714285,10.590526315789473,10.60918918918919,10.649714285714285,10.653888888888888,10.651052631578947,10.639999999999999,10.677368421052632,10.709722222222222,10.732857142857144,10.757352941176471,10.712857142857143,10.712857142857143,10.712857142857143,10.680882352941175,10.646969696969698,10.69516129032258,10.680882352941175,10.680882352941175,10.65857142857143,10.680882352941175,10.651111111111112,10.639411764705883,10.672571428571429,10.672571428571429
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,40.886923076923075,40.61137931034483,39.74892857142857,39.535,39.58588235294118,39.396857142857144,39.168285714285716,39.14344827586207,39.138333333333335,39.234545454545454,39.013783783783786,38.87684210526316,38.85052631578947,39.418,39.548918918918915,39.56444444444444,39.86694444444444,40.56121212121212,40.56121212121212,40.86694444444444,40.80243243243243,41.06589743589743,41.315,41.16235294117647,41.297714285714285,41.314166666666665,41.505833333333335,41.52571428571429,41.655151515151516,41.704516129032264,41.385161290322586
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,,,,,,40.89,40.89,40.89,40.89,40.89,40.89,,,,,,,,40.89,35.9,35.9,,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,59.9,55.96,55.96,59.9,55.96,55.96,55.96,55.96,55.96,55.96,55.96,55.96,55.96,55.96,55.96,55.96,55.96,55.96,55.96,55.96,55.96,55.96,55.96,55.4675,55.96,55.96,55.96,55.96,55.96,55.96,55.96
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,,,,41.99,41.99,41.99,41.99,41.99,,,,,,,,,,,,,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,21.35625,21.765,21.794,21.425714285714285,21.513636363636362,21.49384615384615,22.003636363636364,21.513636363636362,21.165,21.334999999999997,21.334999999999997,21.235,21.665454545454544,22.464,21.921818181818182,21.5775,22.055384615384614,21.974545454545453,21.974545454545453,21.819166666666664,21.955000000000002,21.576363636363634,21.327777777777776,21.576363636363634,21.5275,21.14076923076923,21.153333333333332,21.16,21.42875,21.77,21.77
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.240337078651685,4.2407766990291265,4.214329896907216,4.230404040404041,4.221650485436894,4.228041237113402,4.26,4.312921348314607,4.3244444444444445,4.4665591397849465,4.536382978723404,4.567272727272727,4.578723404255319,4.629893617021277,4.606039603960396,4.590776699029126,4.580980392156863,4.590594059405941,4.587378640776699,4.606826923076922,4.5215,4.4934020618556705,4.487032967032967,4.510693069306931,4.498910891089109,4.51621052631579,4.492421052631579,4.538854166666667,4.498484848484848,4.527142857142857,4.442340425531915
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.160833333333334,5.1141176470588245,5.098923076923077,5.027619047619048,5.054788732394366,5.053571428571429,5.059130434782609,5.054383561643836,5.046666666666667,5.020428571428572,4.884347826086956,4.851515151515152,4.889571428571429,4.882876712328767,4.842898550724638,4.803098591549295,5.118307692307693,5.169848484848485,5.183698630136986,5.1723684210526315,5.1989189189189196,5.2276712328767125,5.1960869565217385,5.1858108108108105,5.164729729729729,5.107631578947369,5.054615384615384,5.106527777777778,5.09549295774648,5.086478873239437,4.958840579710145
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.9621276595744686,5.974444444444445,5.944,6.003877551020408,5.943846153846153,5.9829411764705895,5.973000000000001,5.975272727272728,5.974843750000001,5.976428571428571,5.974237288135593,5.9745,5.991929824561404,5.993448275862069,5.992542372881357,6.013571428571429,5.930689655172414,5.935370370370371,5.9649152542372885,5.974603174603176,5.915932203389831,5.921607142857143,5.884130434782609,5.903181818181818,5.914545454545455,5.8909090909090915,5.908124999999999,5.9697826086956525,5.926304347826087,5.993333333333333,5.9314
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.119354838709677,4.075,4.103125,4.019655172413794,4.073928571428572,4.104137931034483,4.175333333333334,4.168064516129032,4.1781250000000005,4.010882352941176,3.946176470588236,3.990285714285714,4.051428571428572,3.995151515151515,3.9735483870967743,4.07125,4.114242424242423,4.1731428571428575,4.134411764705882,4.094411764705883,4.12030303030303,4.103939393939394,4.1540625,4.158181818181818,4.223030303030304,4.195757575757576,4.217941176470588,4.161212121212121,4.203142857142858,4.256176470588236,4.196060606060606
