item_code,item,unit,item_group,item_category,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.8331,8.94945945945946,8.837900000000001,8.8543,8.8426,8.852178217821782,8.822799999999999,8.8007,8.806435643564356,8.813333333333334,8.801683168316831,8.7577,8.763960396039606,8.777448979591837,8.7285,8.744200000000001,8.658372093023257,8.60975903614458,8.59144578313253,8.559638554216868,8.522705882352941,8.645151515151516,8.609677419354838,8.6445,8.652772277227722,8.647623762376238,8.6571,8.651881188118812,8.659117647058824
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.306764705882353,10.395,11.221578947368421,11.263684210526316,11.234358974358974,11.251250000000002,11.256578947368421,11.213750000000001,11.213750000000001,11.213750000000001,11.256578947368421,11.25138888888889,11.225675675675676,11.174324324324324,11.225675675675676,11.185897435897436,11.185897435897436,11.175,11.304444444444446,11.304444444444446,11.280000000000001,10.397142857142857,11.262571428571428,11.156216216216217,11.101463414634146,11.137435897435898,11.137692307692308,11.15684210526316,11.137435897435898
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,36.4164705882353,35.466,36.17305555555556,36.2230303030303,35.45,35.82424242424243,36.36055555555556,36.0825,36.29351351351352,36.16638888888889,35.79333333333334,36.23421052631579,37.293055555555554,37.615,37.7575,38.005,38.091081081081086,37.951142857142855,37.948484848484846,37.71470588235294,37.67878787878788,37.31555555555556,37.8841935483871,38.202285714285715,38.37861111111111,38.532000000000004,38.59171428571429,38.60027777777778,38.588857142857144
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,39.99,39.99,,39.99,39.99,39.99,39.99,39.99,39.99,39.99,42.99,42.99,42.99,42.99,42.99,,,,,,,,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,59.9,,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,,59.9,59.9,59.9,59.9,59.9,59.9,59.9
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,24.58375,23.5975,24.66857142857143,24.66857142857143,24.66857142857143,24.259999999999998,23.91,23.91,23.782857142857143,24.627142857142854,24.627142857142854,24.53625,24.61428571428571,24.53625,24.723,24.723,24.723,24.723,24.814444444444444,24.432,24.423,23.46666666666667,24.656363636363633,24.682,24.60083333333333,24.60083333333333,24.974545454545453,25.13,25.13
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.908518518518519,5.264,4.95561797752809,4.8853125,4.9934408602150535,4.930222222222222,4.898977272727273,4.889770114942529,4.860449438202247,4.808941176470588,4.771976744186047,4.807764705882353,4.833012048192771,4.831298701298701,4.827215189873417,4.971923076923077,5.014935064935066,4.961084337349398,5.048488372093024,5.053711340206186,5.0471875,5.1746428571428575,5.028941176470588,5.0976923076923075,5.188452380952381,5.149886363636363,5.132446808510638,5.088865979381444,5.082446808510638
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.497777777777778,6.62875,6.601475409836065,6.656290322580645,6.616842105263158,6.6359615384615385,6.641607142857143,6.653571428571429,6.701296296296298,6.698269230769231,6.702156862745099,6.690196078431374,6.689444444444445,6.6924074074074085,6.691153846153847,6.7047169811320755,6.709655172413793,6.698644067796611,6.711333333333333,6.72896551724138,6.737333333333334,6.771428571428571,6.758269230769231,6.748800000000001,6.735,6.689622641509434,6.7138,6.71658536585366,6.694000000000001
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.386666666666666,6.308,6.342162162162162,6.40547619047619,6.342368421052631,6.258108108108107,6.192352941176471,6.202820512820513,6.3004999999999995,6.389047619047618,6.5261764705882355,6.335454545454545,6.399459459459459,6.429714285714286,6.5205,6.555853658536586,6.516249999999999,6.422777777777778,6.366388888888888,6.345641025641025,6.3129729729729736,6.93,6.325555555555555,6.325925925925926,6.24875,6.1440624999999995,6.214333333333333,6.45925925925926,6.284999999999999
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.8003125,5.99,4.833636363636363,4.861212121212121,4.877666666666667,4.774666666666667,4.723870967741935,4.654666666666667,4.6289655172413795,4.651785714285714,4.663793103448276,4.753225806451613,4.755,4.929310344827586,4.964666666666667,4.833225806451614,4.818787878787879,4.7821875,4.880625,5.042121212121213,4.981212121212121,5.98,4.7975,4.9864,4.819583333333333,4.89,4.89,4.9023076923076925,4.7638461538461545
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.761881188118812,3.6861290322580644,3.7544660194174755,3.79631067961165,3.770192307692308,3.7990384615384616,3.8090291262135927,3.8129126213592235,3.8118269230769233,3.834368932038835,3.8512500000000003,3.782636363636364,3.7181415929203543,3.699724770642202,3.660442477876106,3.6745045045045046,3.679099099099099,3.6593750000000003,3.675855855855856,3.625803571428571,3.65045871559633,3.7044117647058825,3.633960396039604,3.7262244897959187,3.7413829787234043,3.6984000000000004,3.7102970297029705,3.7747,3.7433333333333336
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,11.571304347826086,10.835789473684212,11.655111111111111,11.537755102040817,11.894489795918368,11.92695652173913,11.938541666666666,12.08851063829787,11.89913043478261,11.840454545454547,11.93232558139535,11.738478260869567,11.950238095238095,11.850249999999999,11.80025,11.9705,11.9955,12.159166666666668,11.942058823529413,11.947096774193549,12.175806451612903,10.930833333333332,12.509142857142857,12.10763157894737,11.7425,11.73,11.692325581395348,11.641162790697674,11.680697674418605
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.194252873563218,6.384736842105263,6.18453488372093,6.178351648351649,6.287954545454546,6.284659090909091,6.310947368421052,6.337524752475248,6.351354166666667,6.35030303030303,6.323368421052632,6.275104166666666,6.3026470588235295,6.2130927835051555,6.248645833333334,6.158061224489796,6.156020408163266,6.124455445544555,5.838720930232558,5.863375,5.762533333333334,5.95952380952381,5.7946875,5.8013414634146345,5.792098765432099,5.809146341463415,5.864337349397591,5.822906976744187,5.782
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.674020618556701,3.5976470588235294,3.7506060606060605,3.7378000000000005,3.7588,3.7591999999999994,3.7394845360824744,3.7271875,3.7256565656565654,3.7469306930693067,3.7356701030927835,3.7603092783505154,3.738421052631579,3.738369565217391,3.719795918367347,3.670103092783505,3.676938775510204,3.6924742268041233,3.713229166666667,3.717666666666667,3.7196666666666665,3.722,3.734,3.7603409090909086,3.7865555555555557,3.7420454545454542,3.737888888888889,3.730108695652174,3.708777777777778
26,ANGGUR HIJAU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,26.2,,26.2,24.5,24.5,24.5,24.5,24.5,24.5,,,,,,,,,,,,,,,,,,,,
