item_code,item,unit,item_group,item_category,2024-11-01,2024-11-02,2024-11-03,2024-11-04,2024-11-05,2024-11-06,2024-11-07,2024-11-08,2024-11-09,2024-11-10,2024-11-11,2024-11-12,2024-11-13,2024-11-14,2024-11-17,2024-11-18,2024-11-19,2024-11-20,2024-11-21,2024-11-22,2024-11-23,2024-11-24,2024-11-25,2024-11-26,2024-11-27,2024-11-28,2024-11-29,2024-11-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.432183908045976,8.447157894736842,8.453775510204082,8.6521875,8.655,8.637731958762886,8.61908163265306,8.527628865979382,8.486947368421053,8.494536082474227,8.3578125,8.319157894736843,8.324631578947368,8.043563218390805,7.879756097560976,7.874395604395605,7.962637362637363,7.99370786516854,8.050555555555555,8.077692307692308,8.056923076923077,8.051847826086956,8.273655913978494,8.384623655913979,8.367127659574468,8.356774193548386,8.318947368421052,8.25445652173913
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.61875,11.583793103448276,11.5346875,11.514000000000001,11.514000000000001,11.514000000000001,11.458529411764705,11.494,11.450000000000001,11.507096774193549,11.449444444444445,11.493714285714285,11.457647058823529,11.48967741935484,11.58125,11.580967741935483,11.658387096774195,11.658387096774195,11.654838709677419,11.6028125,11.514642857142857,11.58607142857143,11.514545454545456,11.514545454545456,11.514545454545456,11.556969696969697,11.5590625,11.519032258064517
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,25.443235294117645,25.03833333333333,25.020416666666662,25.976486486486486,25.33102564102564,25.85317073170732,25.640731707317073,25.907435897435896,25.724242424242423,25.949032258064516,25.860476190476188,26.348124999999996,26.335106382978722,26.378124999999997,26.24076923076923,26.440377358490565,26.50611111111111,26.469454545454543,26.375576923076917,26.22480769230769,26.055272727272726,25.79326923076923,25.64428571428571,25.98,26.611020408163267,26.859411764705882,27.175454545454542,27.288780487804875
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,43.99,43.99,43.99,43.99,,,,,43.99,,,,33.9,33.9,33.9,33.9,33.9,38.945,38.945,38.945,38.945,38.945,38.945,38.945,38.945,33.9,33.9
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,24.48071428571428,24.615333333333332,24.072857142857142,24.542307692307695,24.368666666666666,24.348,24.91769230769231,24.65333333333333,24.714,24.01833333333333,24.74923076923077,25.14076923076923,25.36642857142857,24.856111111111108,25.126315789473683,25.375625,25.044999999999998,25.10055555555555,25.250625,25.7825,25.83533333333333,25.363125,25.462,25.339375,25.339375,24.960588235294118,24.607647058823527,24.607647058823527
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.460348837209302,5.490537634408603,5.456739130434783,5.507446808510639,5.566494845360825,5.518613861386139,5.415567010309279,5.361941747572815,5.352330097087379,5.336633663366337,5.298453608247423,5.3121875,5.112340425531915,4.984408602150538,4.860978260869565,4.802989690721649,4.792021276595745,4.753804347826088,4.732448979591837,4.624479166666667,4.581182795698925,4.614175824175825,4.623333333333334,4.639886363636363,4.629444444444444,4.451333333333333,4.3294565217391305,4.618333333333333
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.897826086956522,6.848148148148148,6.803571428571429,6.813703703703704,6.702692307692308,6.6201923076923075,6.492678571428572,6.444166666666667,6.476949152542373,6.3764062500000005,6.3607812500000005,6.380655737704918,6.572083333333334,6.691020408163266,6.804318181818181,6.779302325581395,6.7676923076923075,6.4155319148936165,6.307799999999999,6.023770491803279,6.028787878787878,5.981290322580645,6.152586206896552,6.284901960784313,6.0725454545454545,6.042586206896552,6.247169811320755,6.302352941176471
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.623529411764707,7.662000000000001,7.94157894736842,7.989444444444445,7.983333333333333,8.160714285714286,8.049333333333333,7.985263157894737,7.905882352941177,7.936315789473685,7.775,7.7,7.827777777777778,7.7465217391304355,7.690454545454545,7.7476190476190485,7.633333333333334,7.483684210526316,7.607391304347828,7.589047619047619,7.712272727272728,7.646,7.7095,7.67952380952381,7.625454545454545,7.6655999999999995,7.615555555555556,7.643461538461539
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.553571428571429,4.7265,4.684102564102564,4.74925,4.788611111111111,4.734,4.660652173913043,4.616041666666667,4.567446808510638,4.560652173913043,4.5379069767441855,4.505,4.505,4.625609756097561,4.6231914893617025,4.683469387755102,4.5587755102040814,4.530204081632654,4.60921568627451,4.5810204081632655,4.644468085106383,4.615918367346939,4.564489795918368,4.670232558139535,4.684418604651163,4.665238095238095,4.639318181818182,4.684772727272727
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,2.946530612244898,2.9237623762376237,2.9442574257425744,3.0658,3.0679000000000003,3.048611111111111,3.0562385321100916,3.045,3.052477876106195,3.0488495575221237,3.028288288288288,3.0481818181818183,2.9895495495495497,2.9943750000000002,2.9942342342342343,2.9703603603603606,2.980090909090909,2.9792857142857145,2.9640178571428573,2.961467889908257,2.960818181818182,2.95981981981982,2.9803669724770643,2.9847169811320753,2.9920000000000004,2.9895238095238095,3.03621359223301,3.1111627906976747
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,9.939692307692308,9.843285714285713,9.749864864864865,9.769342105263158,9.81718309859155,9.705774647887324,9.733066666666668,9.59171052631579,9.599733333333333,9.487567567567568,9.529444444444444,9.546000000000001,9.70608695652174,9.691692307692309,9.998750000000001,9.949285714285715,9.990857142857143,10.063333333333333,10.034210526315789,10.086842105263159,9.955540540540541,9.933611111111112,9.946901408450705,9.912,10.106000000000002,10.045205479452054,10.170972222222224,10.205405405405406
