item_code,item,unit,item_group,item_category,2024-12-01,2024-12-02,2024-12-03,2024-12-04,2024-12-05,2024-12-06,2024-12-07,2024-12-08,2024-12-09,2024-12-10,2024-12-11,2024-12-12,2024-12-13,2024-12-14,2024-12-15,2024-12-16,2024-12-17,2024-12-18,2024-12-19,2024-12-20,2024-12-21,2024-12-22,2024-12-23,2024-12-24,2024-12-26,2024-12-27,2024-12-28,2024-12-29,2024-12-30,2024-12-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.259468085106382,8.271318681318682,8.300531914893616,8.286938775510205,8.23659793814433,8.105154639175257,8.027422680412371,8.014123711340206,8.009484536082473,8.020425531914894,7.994050632911392,7.94979381443299,7.814183673469389,7.733367346938776,7.711938775510204,7.743673469387755,7.870714285714285,7.922244897959183,7.866224489795918,7.5706122448979585,7.54159574468085,7.54319587628866,7.58765306122449,7.631052631578948,7.553195876288659,7.558247422680412,7.51340206185567,7.523469387755101,7.662371134020619,7.724489795918367
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.463333333333335,11.52257142857143,11.51142857142857,11.50030303030303,11.527272727272727,11.532352941176471,11.587333333333333,11.5375,11.475882352941177,11.462,11.575,11.542121212121211,11.419142857142857,11.451612903225806,11.46030303030303,11.50529411764706,11.50529411764706,11.490882352941176,11.490882352941176,11.418181818181818,11.36892857142857,11.36892857142857,11.420322580645161,10.641333333333334,11.414193548387097,11.416571428571428,11.4628125,11.484375,11.468,11.511470588235294
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,27.019736842105264,27.395999999999997,27.79378378378378,26.583414634146337,25.68422222222222,24.965365853658536,24.268837209302323,24.544999999999998,24.868648648648648,24.767209302325583,25.88,26.694999999999997,26.431627906976743,26.652558139534882,26.904186046511626,27.07511111111111,27.092765957446808,26.852916666666662,26.126590909090908,25.77395833333333,25.83408163265306,25.6514,24.54392156862745,24.391,24.332765957446806,24.214489795918368,24.49,24.25266666666667,24.59860465116279,25.394878048780487
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,31.5,,,31.5,31.5,31.5,31.5,31.5,,31.5,,,,,,,,,,,,,,,33.9,,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,,38.945,38.945,38.945,38.945,38.945,38.945,38.945,33.9,33.9,,,43.99,43.99,43.99,43.99,43.99,43.99,43.99,43.99
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,24.964374999999997,25.283529411764704,25.094444444444445,25.335882352941177,25.094444444444445,24.72157894736842,24.92888888888889,25.09,24.826842105263157,25.307499999999997,25.21,25.089374999999997,25.109999999999996,24.776874999999997,24.895999999999997,24.743333333333332,24.47533333333333,24.742,24.742,24.58529411764706,24.61,24.61,24.53733333333333,23.895555555555557,24.889285714285712,25.534615384615385,25.275,25.996666666666666,25.765384615384615,25.754166666666666
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.315346534653465,4.3215957446808515,4.27375,4.165111111111111,4.1705747126436785,4.118085106382979,4.054673913043478,4.008735632183908,4.112784810126582,4.240128205128205,4.121159420289855,4.223614457831326,4.3289333333333335,4.201948051948052,4.295753424657534,4.307702702702703,4.584242424242424,4.5647142857142855,4.54082191780822,4.647671232876712,4.738888888888889,4.654605263157895,4.649166666666667,4.739607843137255,4.625185185185185,4.6274712643678155,4.599438202247192,4.597,4.5568478260869565,4.551098901098902
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.836507936507937,5.880740740740741,5.854,6.018653846153847,5.958,5.942000000000001,5.884516129032258,5.8598275862068965,5.704509803921569,6.071489361702128,5.964250000000001,5.9125000000000005,6.012142857142857,5.883666666666667,5.913454545454545,5.74,5.921578947368421,6.01326530612245,5.734576271186441,5.832631578947369,5.73896551724138,5.743050847457628,5.834354838709678,5.92375,6.0684375,6.13078125,6.021764705882354,6.021690140845071,6.087213114754099,6.110327868852459
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.588846153846154,7.4852,7.517916666666667,7.535714285714286,7.5025,7.441304347826088,7.408500000000001,7.375652173913043,7.477894736842105,7.388181818181818,7.406666666666666,7.4123809523809525,7.375652173913043,7.43875,7.525454545454545,7.528999999999999,7.557368421052632,7.502727272727273,7.484285714285715,7.441304347826088,7.484285714285715,7.509,7.517058823529411,7.6049999999999995,7.408571428571429,7.379,7.358,7.328260869565218,7.367391304347826,7.4995
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.801707317073171,4.740666666666667,4.942926829268292,4.8740000000000006,4.8557500000000005,4.734090909090909,4.7444444444444445,4.781627906976745,4.795111111111111,4.759024390243902,4.7179166666666665,4.6825,4.648235294117647,4.725744680851064,4.658222222222222,4.726888888888889,4.767619047619048,4.770888888888889,4.753333333333333,4.736792452830189,4.7636,4.808333333333334,4.813260869565218,5.415925925925927,4.759791666666667,4.76625,4.81,4.807551020408163,4.734583333333333,4.855555555555555
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.2791666666666663,3.1721875,3.142952380952381,3.153716814159292,3.17704347826087,3.197363636363636,3.1945794392523363,3.2707608695652177,3.3547191011235955,3.2348113207547167,3.226304347826087,3.2094736842105265,3.209217391304348,3.240608695652174,3.241578947368421,3.176936936936937,3.1684761904761904,3.2085981308411213,3.314716981132076,3.345333333333333,3.371509433962264,3.434814814814815,3.447545454545455,3.3866,3.6278301886792454,3.6940196078431375,3.6824242424242426,3.6675000000000004,3.685212765957447,3.7973626373626375
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,10.213066666666666,10.324776119402987,10.426,10.338358208955222,10.327352941176471,10.29358208955224,10.171617647058824,10.207323943661972,10.091515151515154,10.177846153846152,10.390158730158731,10.234864864864864,10.41515625,10.301076923076923,10.52741935483871,10.57122807017544,10.448596491228072,10.566909090909093,10.346065573770492,10.338620689655173,10.23031746031746,10.1525,10.39492537313433,9.598545454545453,10.29,10.255652173913044,10.232857142857142,10.20742857142857,10.173787878787879,10.199705882352943
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.289514563106796,6.25939393939394,6.255463917525773,6.247441860465116,6.244470588235294,6.27125,6.145520833333333,6.157878787878788,6.107021276595744,6.094065934065934,6.242222222222222,6.456233766233766,6.555890410958905,6.595384615384616,6.517790697674418,6.422962962962963,6.38264367816092,6.410114942528735,6.467586206896552,6.47551724137931,6.552784810126582,6.627162162162162,6.607313432835821,6.987450980392157,6.804090909090909,6.833880597014925,6.876969696969697,6.912000000000001,6.883333333333334,6.974516129032258
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,4.032886597938145,4.044315789473685,4.034301075268817,4.040947368421053,4.035368421052632,4.060752688172044,4.083870967741936,4.110947368421053,4.1284946236559135,4.099787234042553,4.0568831168831165,3.988125,3.9387628865979383,3.8979166666666667,3.9499999999999997,3.905050505050505,3.9713402061855674,3.941666666666667,3.8937113402061856,3.8574226804123715,3.8383333333333334,3.8432323232323236,3.8320618556701036,3.841546391752577,3.8366315789473684,3.839489795918367,3.8416842105263163,3.8189795918367344,3.860421052631579,3.9678021978021976
26,ANGGUR HIJAU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,9.383333333333333,9.73560606060606,9.903731343283583,8.866478873239437,8.507878787878788,8.085072463768116,7.873333333333333,7.804444444444446,8.48931506849315,8.496891891891892,9.342698412698413,9.536233766233766,9.585333333333335,9.486794871794872,9.567974683544303,10.208472222222223,10.477368421052633,10.252297297297298,9.993291139240506,9.957012987012988,10.234285714285713,10.406923076923078,9.980869565217393,9.169444444444444,9.79608695652174,9.639076923076924,9.58027397260274,9.593142857142857,9.675384615384615,9.758196721311476
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,1.85125,2.137777777777778,2.03125,1.7116666666666667,1.8075,1.844,1.9388888888888889,1.911111111111111,1.9933333333333334,2.11875,1.67,1.67,1.9728571428571429,1.9728571428571429,2.1585714285714284,2.36,2.0740000000000003,2.0740000000000003,2.0500000000000003,1.5533333333333335,1.7585714285714287,1.7585714285714287,2.0125,2.1,2.0125,1.99375,1.99375,1.737142857142857,1.8822222222222225,1.64375
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.041785714285715,7.075957446808511,7.071020408163266,6.948297872340425,6.959107142857143,6.9874074074074075,6.972068965517241,6.979038461538462,6.8776363636363635,6.8340000000000005,7.076818181818182,7.061960784313726,6.994736842105263,7.1815999999999995,7.149803921568627,7.052444444444445,7.05488888888889,7.056808510638298,7.0740425531914894,7.16607843137255,7.206792452830189,7.2292000000000005,7.169411764705883,7.18468085106383,7.203877551020408,7.353191489361703,7.308627450980392,7.2332,7.197555555555555,7.233673469387755
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,10.234545454545454,10.156923076923077,10.071739130434782,10.125454545454545,10.027083333333334,10.185833333333333,10.298,10.595,10.095,10.121923076923078,10.681428571428572,10.3672,10.495714285714286,10.346551724137932,10.731666666666666,10.766551724137932,10.70774193548387,10.895483870967741,11.255185185185185,11.859285714285715,12.073793103448276,11.965806451612902,12.124,11.951,12.090689655172413,12.341071428571428,12.480714285714287,12.555357142857144,12.425217391304347,12.466800000000001
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,25.68,24.34642857142857,24.086904761904762,23.662619047619046,24.181860465116277,24.207619047619044,24.157179487179487,24.044186046511626,23.692749999999997,23.387368421052628,24.29342105263158,24.45522727272727,23.000425531914892,22.633555555555557,22.788837209302326,23.788809523809523,24.268863636363633,24.122954545454544,23.935434782608695,23.89170731707317,23.605714285714285,23.61625,23.923750000000002,23.555945945945943,23.90825,22.665454545454544,22.66952380952381,22.70431818181818,24.204222222222224,24.24866666666667
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,9.092125,9.18609756097561,9.071410256410257,9.113975903614458,9.14329411764706,9.238369565217392,9.322065217391303,9.161555555555557,9.11375,9.186235294117647,8.963243243243243,8.822000000000001,8.851527777777779,8.818194444444444,8.944225352112676,8.673809523809524,8.703932584269662,8.827931034482758,8.944875,8.997901234567902,9.12935064935065,9.111315789473684,8.816144578313253,8.732278481012658,8.891931818181819,8.900481927710844,8.857160493827159,8.934375,8.975,9.048863636363636
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,10.301707317073172,10.2195,10.420769230769231,10.331224489795918,10.330576923076924,10.3806,10.261111111111111,10.46577777777778,10.36829268292683,10.442916666666667,10.271052631578948,10.467777777777778,10.604761904761904,10.646341463414634,10.511621621621622,10.59,10.594878048780487,10.40860465116279,10.617073170731707,10.325116279069768,10.132666666666667,10.209782608695653,10.101627906976745,10.2825,10.290425531914893,10.567755102040817,10.613617021276594,10.586,10.565853658536586,10.549761904761905
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,38.25521739130435,38.34238095238095,38.21380952380952,38.299090909090914,38.76,38.48545454545455,38.849583333333335,38.586,38.62517241379311,38.94423076923077,39.11526315789474,38.845,39.08571428571428,38.329565217391306,38.546956521739126,39.03434782608696,39.045,39.16807692307692,38.690384615384616,38.77607142857143,38.916296296296295,38.77607142857143,39.04115384615385,38.87629629629629,39.0832,38.94434782608696,38.6644,38.99666666666667,39.33884615384615,39.16173913043478
