item_code,item,unit,item_group,item_category,2025-02-01,2025-02-02,2025-02-03,2025-02-04,2025-02-05,2025-02-06,2025-02-07,2025-02-08,2025-02-09,2025-02-10,2025-02-11,2025-02-12,2025-02-13,2025-02-14,2025-02-15,2025-02-16,2025-02-17,2025-02-18,2025-02-19,2025-02-20,2025-02-23,2025-02-24,2025-02-25,2025-02-26,2025-02-27,2025-02-28
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.56318181818182,8.500808080808081,8.516938775510203,8.54896907216495,8.560404040404041,8.651717171717172,8.7156,8.779587628865979,8.736020408163265,8.766632653061224,8.785,8.767938144329896,8.641855670103093,8.528958333333334,8.393473684210527,8.340978260869566,8.318,8.335978260869565,8.319139784946236,8.27127659574468,7.995054945054944,7.978315789473685,8.026222222222222,8.107065217391305,8.206615384615384,8.361076923076924
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.41551724137931,11.404333333333334,11.4728125,11.4821875,11.498064516129032,11.498666666666667,11.512413793103448,11.518666666666666,11.519310344827586,11.538666666666666,11.7036,11.50060606060606,11.563437500000001,11.531333333333333,11.51774193548387,11.52625,11.506875,11.481875,11.406551724137932,11.430645161290323,11.695714285714287,11.620357142857143,11.681071428571428,11.666785714285714,11.573571428571428,11.560344827586206
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,26.601860465116275,26.258750000000003,26.722799999999996,26.863529411764706,26.782999999999998,26.832244897959182,26.494814814814813,26.385535714285712,26.116545454545452,26.773571428571426,29.453999999999997,26.22254901960784,25.4908,24.874468085106383,24.677647058823528,24.61826923076923,24.616730769230767,24.51313725490196,24.842452830188677,24.52403846153846,24.588846153846152,24.78603448275862,24.75406779661017,24.717037037037038,24.629454545454543,24.571923076923078
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,33.9,33.9,,33.9,33.9,33.9,33.9,33.9,,,,,33.9,33.9,33.9,33.9,33.9,26.99,26.99,33.9,33.9,33.9,33.9,33.9
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,43.99,43.99,43.99,43.99,44.4675,44.4675,45.093333333333334,45.093333333333334,45.093333333333334,45.9,,45.56,45.56,45.56,45.56,45.56,45.56,45.56,45.56,45.56,45.517500000000005,45.517500000000005,45.517500000000005,45.517500000000005,45.517500000000005,45.517500000000005
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,,,,,,,,,,,,21.99,,,,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,25.563333333333333,24.789374999999996,24.909333333333333,24.721249999999998,24.789374999999996,24.82571428571428,24.88285714285714,25.11230769230769,25.157692307692304,25.210714285714282,26.069999999999997,24.77176470588235,24.625,24.52,24.647499999999997,24.482307692307693,24.618,24.624545454545455,24.69666666666667,24.905,25.406363636363633,25.905454545454543,25.871666666666666,26.071666666666662,26.212307692307693,25.80461538461538
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.87433734939759,3.9206521739130435,3.8763440860215055,4.002962962962963,3.9151111111111114,3.8461111111111115,3.87,3.8496116504854374,3.9070103092783506,3.932842105263158,4.158148148148148,3.941888888888889,3.9593478260869563,4.085,4.0137755102040815,3.967431192660551,3.9757843137254905,4.123448275862069,4.1098901098901095,4.078762886597938,4.139578947368421,3.9804123711340207,4.0023255813953496,4.006477272727273,4.015000000000001,4.026274509803922
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.189361702127659,5.982857142857143,5.873538461538462,5.9067741935483875,6.027903225806452,5.904615384615385,5.864677419354839,5.825606060606061,5.749142857142857,5.807538461538462,6.2620000000000005,5.968833333333333,5.921384615384615,6.002424242424243,5.936142857142857,6.007014925373134,6.04983606557377,6.0401639344262295,6.117833333333334,6.09758064516129,5.970138888888889,5.965223880597015,5.966034482758621,5.996935483870969,5.955714285714286,5.8280597014925375
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.400833333333334,6.839411764705883,6.718666666666667,7.090833333333333,7.141,6.741875,7.081111111111111,6.916190476190477,6.895555555555556,6.84037037037037,5.74,7.144347826086956,7.097894736842106,7.1059090909090905,6.7662962962962965,6.93076923076923,7.136086956521739,7.2214285714285715,7.077692307692308,6.940689655172414,6.5605714285714285,6.385675675675676,6.5851612903225805,6.72,6.817714285714286,6.855333333333333
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.543125,4.838717948717949,4.921111111111111,4.770975609756098,4.8462499999999995,4.960000000000001,5.037948717948718,4.996923076923077,5.071666666666667,5.118648648648649,4.421052631578948,5.11388888888889,5.088461538461538,5.035555555555556,5.0181818181818185,5.049111111111111,5.02974358974359,4.99945945945946,4.953243243243244,4.599772727272728,4.479038461538462,4.57921568627451,4.515625,4.717142857142857,4.754871794871795,4.816363636363636
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.472790697674418,3.5462626262626262,3.4843,3.4995918367346937,3.5732692307692306,3.7420000000000004,3.738529411764706,3.6550925925925926,3.6285148514851486,3.7002000000000006,4.063548387096774,3.842842105263158,3.9088659793814435,3.9902040816326534,3.979904761904762,3.965462962962963,3.969611650485437,3.982577319587629,4.012765957446809,4.117931034482758,4.124065934065935,4.1934736842105265,4.038,3.89960396039604,3.6947,3.585588235294118
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,8.674590163934425,8.846142857142857,8.833943661971832,8.718783783783785,8.86576923076923,8.973164556962026,8.882560975609756,8.789036144578313,8.563809523809525,8.662592592592592,10.59625,8.43075,8.501282051282052,8.576455696202533,8.663658536585366,8.589113924050634,8.624556962025316,8.848550724637683,8.914714285714286,8.83676923076923,8.631369863013697,8.693521126760563,8.958064516129031,8.71469696969697,8.717313432835821,8.766507936507939
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.139692307692307,7.222602739726027,7.1812499999999995,7.1936,7.142702702702704,6.821842105263158,6.826486486486487,6.785064935064936,6.737974683544305,6.683333333333333,6.451851851851852,6.758571428571428,6.7593902439024385,6.696941176470588,6.6707865168539335,6.674333333333332,6.735454545454545,6.819418604651163,6.840941176470588,7.010131578947369,7.026753246753247,7.007733333333334,6.979868421052632,6.948799999999999,6.803378378378378,6.696410256410257
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.9218181818181823,3.843380281690141,3.8238571428571433,3.767941176470589,3.733636363636364,3.726,3.717294117647059,3.6785714285714284,3.7445882352941178,3.7120481927710847,4.28529411764706,3.8740909090909095,3.736813186813187,3.7010752688172044,3.669368421052632,3.7031578947368424,3.665789473684211,3.632604166666667,3.7157142857142857,3.751958762886598,3.762783505154639,3.802929292929293,3.7879207920792077,3.7913402061855668,3.8482291666666666,3.8108421052631583
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,16.213777777777775,16.734716981132078,16.937142857142856,16.147758620689654,15.989523809523808,15.847288135593221,15.949499999999999,15.717413793103447,15.750967741935483,15.940819672131147,13.914166666666667,16.75017857142857,17.334166666666665,16.784406779661015,16.489322033898304,16.126451612903224,16.146290322580644,16.12633333333333,15.738333333333333,15.409473684210525,15.329811320754718,15.207115384615385,15.32265306122449,15.094285714285714,15.194888888888888,15.244318181818182
