item_code,item,unit,item_group,item_category,2026-03-01,2026-03-02,2026-03-03,2026-03-04,2026-03-05,2026-03-06,2026-03-07,2026-03-08,2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13,2026-03-15,2026-03-16,2026-03-17,2026-03-18,2026-03-24,2026-03-25,2026-03-26,2026-03-27,2026-03-28,2026-03-29,2026-03-30,2026-03-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.70125,8.777669902912622,8.773106796116505,8.672448979591836,8.531538461538462,8.414571428571428,8.101111111111111,8.07021978021978,8.097745098039216,8.083173076923076,8.030000000000001,7.987980769230769,7.854455445544555,7.721764705882353,7.886,7.791568627450981,7.507499999999999,7.635662650602409,7.652621359223302,7.611782178217822,7.566990291262136,7.413541666666667,7.3627,7.5816923076923075,7.570161290322581
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.409444444444444,11.37054054054054,11.49,11.537368421052632,11.57421052631579,11.603513513513514,11.785,11.6928125,11.624473684210527,11.622972972972974,11.65764705882353,11.665,11.665,11.603333333333333,11.575588235294118,11.578235294117647,11.549696969696969,11.571515151515152,11.4525,11.483939393939394,11.435757575757576,11.483870967741936,11.546666666666665,10.572142857142856,11.450285714285714
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,33.153513513513516,,,,,,,33.60394736842105,,,,,,33.5925,,33.190000000000005,,,,,,,33.197272727272725,
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,,,,,,,33.9,,33.9,,,,,,,33.9,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,46.656666666666666,,,,,,,46.656666666666666,,,,,,46.84,,,,,,,,,46.79,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,25.47142857142857,,,,,,,25.02,,,,,,24.14111111111111,,20.8,,,20.8,,,,24.362222222222222,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,5.0042857142857144,,,,,,,5.116285714285714,,,,,,5.2565625,,,,,4.861111111111111,,,,6.0520000000000005,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,7.567368421052632,,,,,,,7.564761904761905,,,,,,7.489090909090908,,,,,6.93,,,,7.392941176470589,
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,7.340000000000001,,,,,,,7.227333333333333,,,,,,7.227333333333333,,,,,,,,,7.118333333333333,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,4.486666666666667,,,,,,,4.387931034482759,,,,,,4.3412500000000005,,,,,4.260588235294118,,,,4.90625,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,3.1202702702702703,,,,,,,2.897222222222222,,,,,,2.9774285714285718,,,,,4.825714285714286,,,,2.6518518518518515,
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,11.365625,,,,,,,11.624848484848485,,,,,,11.969642857142858,,11.9,,,15.272307692307692,,,,8.547333333333334,
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,5.66257142857143,,,,,,,5.524358974358974,,,,,,5.2916279069767445,,,,,5.26,,,,5.458,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,3.8503846153846153,,,,,,,4.099666666666667,,,,,,4.089666666666667,,,,,6.5,,,,4.04037037037037,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,14.927692307692308,,,,,,,15.958846153846155,,,,,,16.20888888888889,,15.98,,,16.911666666666665,,,,17.772,
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,2.267777777777778,,,,,,,2.2466666666666666,,,,,,2.182857142857143,,,,,1.295,,,,2.7475,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,6.616086956521738,,,,,,,6.606,,,,,,6.648333333333333,,,,,7.061666666666667,,,,7.003,
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,9.182727272727272,,,,,,,9.165333333333333,,,,,,8.682727272727274,,7.5,,,,,,,9.043000000000001,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,25.240882352941174,,,,,,,25.609705882352937,,,,,,25.305333333333333,,24.112499999999997,,,26.356666666666666,,,,25.137499999999996,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,9.590842105263159,9.778295454545455,9.707411764705883,9.970714285714285,9.862527472527473,9.660909090909092,9.308285714285715,9.897532467532468,9.94183908045977,9.975662650602409,9.813720930232558,9.67642857142857,9.666250000000002,9.909736842105263,9.549195402298851,9.519058823529413,9.519139784946237,9.222739726027397,9.457666666666666,9.430777777777777,9.498723404255319,9.479787234042554,9.502738095238096,9.5395,9.633
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,,22.499142857142854,,,,,,,22.412888888888887,,,,,,22.267,,24.898,,,,,,,22.31153846153846,
