item_code,item,unit,item_group,item_category,2022-07-04,2022-07-05,2022-07-07,2022-07-08,2022-07-11,2022-07-18,2022-07-25,2022-07-26,2022-07-27,2022-07-29
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,40.0,0.0,23.0,14.0,7.0,43.0,39.0,0.0,0.0,2.0
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,5.0,0.0,1.0,5.0,0.0,6.0,6.0,0.0,0.0,0.0
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,8.0,0.0,2.0,6.0,1.0,9.0,7.0,0.0,0.0,1.0
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,16.0,0.0,3.0,11.0,1.0,16.0,19.0,0.0,0.0,1.0
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.0,0.0,1.0,4.0,0.0,4.0,4.0,0.0,0.0,1.0
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,17.0,0.0,4.0,8.0,4.0,13.0,18.0,0.0,0.0,1.0
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,2.0,0.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.0,0.0,0.0,2.0,2.0,6.0,5.0,0.0,0.0,1.0
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,16.0,0.0,2.0,13.0,3.0,16.0,17.0,0.0,0.0,2.0
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.0,0.0,0.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.0,0.0,1.0,6.0,1.0,8.0,9.0,0.0,0.0,1.0
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,16.0,0.0,4.0,12.0,2.0,20.0,21.0,0.0,0.0,0.0
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,29.0,0.0,10.0,10.0,4.0,23.0,29.0,0.0,0.0,0.0
