item_code,item,unit,item_group,item_category,2025-11-01,2025-11-02,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-08,2025-11-09,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-16,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-22,2025-11-23,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28,2025-11-29,2025-11-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,2.0,2.0,72.0,2.0,2.0,2.0,2.0,2.0,2.0,74.0,2.0,2.0,2.0,1.0,2.0,72.0,2.0,2.0,2.0,2.0,2.0,2.0,67.0,2.0,2.0,2.0,2.0,2.0,2.0
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,1.0,1.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0,21.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,0.0,1.0
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,1.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,1.0,1.0,1.0,1.0
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,2.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,1.0,1.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.0,2.0,76.0,2.0,2.0,1.0,1.0,1.0,2.0,80.0,2.0,2.0,2.0,2.0,2.0,75.0,2.0,2.0,1.0,1.0,1.0,1.0,74.0,1.0,1.0,1.0,1.0,2.0,2.0
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,1.0,1.0,1.0,1.0,1.0,41.0,1.0,1.0,1.0,1.0,1.0,1.0,44.0,1.0,1.0,1.0,1.0,1.0,0.0
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.0,1.0,74.0,2.0,2.0,2.0,2.0,2.0,2.0,73.0,1.0,1.0,0.0,0.0,0.0,73.0,1.0,1.0,2.0,2.0,2.0,2.0,69.0,2.0,2.0,2.0,2.0,2.0,3.0
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.0,4.0,220.0,4.0,4.0,3.0,3.0,3.0,3.0,220.0,3.0,3.0,3.0,3.0,3.0,220.0,3.0,3.0,3.0,3.0,3.0,3.0,223.0,2.0,2.0,2.0,2.0,2.0,2.0
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.0,3.0,103.0,3.0,2.0,1.0,1.0,2.0,3.0,104.0,3.0,2.0,2.0,1.0,2.0,99.0,3.0,1.0,2.0,2.0,3.0,3.0,104.0,3.0,2.0,2.0,2.0,3.0,2.0
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,86.0,0.0,2.0,2.0,3.0,3.0,3.0,78.0,2.0,3.0,3.0,3.0,3.0,85.0,2.0,2.0,3.0,3.0,3.0,3.0,93.0,3.0,3.0,3.0,3.0,2.0,2.0
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.0,3.0,85.0,2.0,1.0,2.0,2.0,3.0,3.0,86.0,3.0,2.0,3.0,3.0,3.0,95.0,2.0,2.0,3.0,3.0,3.0,3.0,85.0,3.0,2.0,3.0,3.0,2.0,0.0
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
