item_code,item,unit,item_group,item_category,2022-03-07,2022-03-08,2022-03-14,2022-03-21,2022-03-28
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.897560975609757,,8.897368421052633,8.897297297297298,8.897297297297298
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,10.538,,10.565,10.583333333333334,10.815
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,45.0,,45.0,45.0,45.0
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,21.5,,21.5,21.5,17.0
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.8714285714285714,,4.1,3.9625,3.783333333333333
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.191666666666666,,5.24,5.266666666666667,5.3
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.583333333333333,,5.5,5.5,5.416666666666667
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.0,,3.5,3.25,3.25
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.4799999999999995,,3.2299999999999995,3.1666666666666665,3.2545454545454544
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,12.233333333333334,,12.233333333333334,12.175,11.95
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.666666666666667,,4.5,4.5,4.666666666666667
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.6,,3.533333333333333,3.5285714285714285,3.669230769230769
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,16.0,,16.375,17.72,18.259999999999998
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,2.4,,2.4,2.4,2.4
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.88,,5.977777777777778,6.0375,5.977777777777778
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,8.0
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,26.322222222222223,,25.615,25.194117647058825,27.349999999999998
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,10.879411764705882,,11.237931034482758,11.292592592592591,10.806896551724137
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.857142857142858,,11.0,12.316666666666668,11.211111111111112
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,37.666666666666664,,38.0,37.63333333333333,37.0
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,,,28.0,28.0,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,15.442105263157893,,15.2,15.822222222222223,15.327777777777776
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,40.225,,41.15,39.96666666666667,42.666666666666664
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,30.45,,30.45,30.45,
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,23.5,,22.0,24.0,24.0
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,27.650000000000002,,27.475,27.18,26.2
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,13.580000000000002,,12.4,12.4875,14.225
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,19.62857142857143,,18.846666666666668,18.2375,18.7375
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.979117647058823,,12.491142857142856,12.213888888888889,12.561891891891893
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,26.0,,26.0,26.633333333333336,26.45
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,10.0,,10.0,12.0,12.0
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,29.9,,29.9,30.9,
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,38.0,,35.0,36.5,38.0
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,13.853214285714285,,12.846333333333332,13.034615384615384,13.065172413793103
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,8.740833333333333,,8.699166666666667,8.9075,8.719
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,10.0,,9.75,9.75,10.0
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.945428571428572,,15.242857142857144,15.145454545454546,14.761764705882353
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,17.565714285714286,,18.270967741935483,18.043243243243243,17.61875
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,19.304347826086957,,18.728571428571428,18.603571428571428,18.693225806451615
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.307407407407407,,9.314864864864864,9.256410256410257,9.23846153846154
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.398387096774194,,10.462264150943396,10.36,10.235000000000001
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.386111111111111,,13.8,13.140789473684212,12.594444444444445
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.6175,,8.609523809523811,8.386956521739132,8.463265306122448
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,2.4473684210526314,,2.427777777777778,2.423529411764706,2.4473684210526314
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,9.0,,8.0,8.0,9.0
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,7.771428571428571,,7.771428571428571,7.771428571428571,7.583333333333333
