item_code,item,unit,item_group,item_category,2022-04-01,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-04-28,2022-04-29,2022-04-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.9,8.9,8.9,8.9,8.9,,8.9,
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,,10.815,10.6725,10.838,10.838,,10.918000000000001,
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,44.0,,44.0,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,21.95,21.95,21.5,21.95,,,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,3.94,4.283333333333333,3.966666666666667,3.983333333333333,,4.225,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,5.20952380952381,5.211764705882352,5.239999999999999,5.16,,5.164285714285714,
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,5.166666666666667,5.2,5.25,5.25,,5.333333333333333,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,3.6666666666666665,4.0,3.25,4.125,,4.125,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,3.45,3.6,3.6999999999999997,3.922222222222222,,3.94,
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,10.0,12.233333333333334,11.425,10.85,10.85,,10.799999999999999,
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,4.5,4.5,4.875,4.5,,4.75,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,3.4499999999999997,3.4866666666666664,3.453333333333333,3.4555555555555557,,3.4470588235294115,3.5
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,19.075,17.73,18.215,17.85,,17.466666666666665,
