item_code,item,unit,item_group,item_category,2022-05-09,2022-05-11,2022-05-13,2022-05-16,2022-05-20,2022-05-23,2022-05-25,2022-05-27,2022-05-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.954054054054055,,9.066666666666666,8.9,8.9,9.01764705882353,,,8.976923076923079
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,10.918000000000001,,11.0475,,9.9,10.7,,11.463333333333333,9.799999999999999
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,26.0,,26.0,,,24.0,,22.0,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.725,,3.3333333333333335,4.0,,3.983333333333333,,3.0,5.725
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.071428571428571,,5.090909090909091,5.32,,5.1625,,5.0,5.206666666666666
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.5,,5.5,,,5.3,,,5.5
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.8333333333333335,,4.0,4.25,,4.25,,4.25,4.5
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.89375,,3.72,3.7,,3.7125,,,3.6999999999999997
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,11.633333333333333,,11.633333333333333,11.0,,10.299999999999999,,,11.95
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.75,,4.75,,,4.5,,4.5,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.58,,3.5555555555555554,3.6399999999999997,,3.630769230769231,,,3.6126666666666667
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,20.080000000000002,,23.314285714285713,15.0,,23.28,,18.5,21.95
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,2.3,,,,,,,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.4125,,6.466666666666666,6.4,,6.411111111111111,,6.833333333333333,6.3
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,6.0,,,6.0
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,26.95625,,25.639999999999997,26.557142857142857,,24.73833333333333,,,25.51875
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.228571428571428,,11.363636363636363,10.83125,,11.514285714285714,,,11.146153846153847
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.0,,12.0,13.0,,11.5,,,10.985714285714286
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,38.63333333333333,,,,,39.45,,,39.45
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,30.0,,30.0,,,30.0,,,30.0
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.690000000000001,,14.75,15.225,18.0,15.690000000000001,,,14.838461538461539
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,42.300000000000004,,,41.95,,43.78,,,43.475
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,30.0,,30.0,,,30.0,,,30.0
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,28.0,,,28.0
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,24.0,,,,,,,,
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,28.0,,27.0,28.0,,26.75,,,26.333333333333332
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.333333333333334,,16.0,8.0,,11.833333333333334,,,13.0
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,19.779,,18.2,19.178,,20.041666666666668,,,21.171818181818182
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.415384615384616,,12.433333333333334,12.376190476190475,15.0,12.332258064516129,,,12.824137931034482
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,25.475,,28.0,23.9,,27.75,,,26.0
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,38.5,,43.0,36.0,,43.0,,,43.5
