item_code,item,unit,item_group,item_category,2022-06-03,2022-06-04,2022-06-05,2022-06-13,2022-06-14,2022-06-20,2022-06-27
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.122222222222224,,8.9,8.966666666666667,,9.017857142857142,9.01
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.463333333333333,,,10.998000000000001,,11.1725,11.0725
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,26.0,,,26.0,,22.7,21.05
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.983333333333333,,5.166666666666667,4.377777777777777,,4.321111111111112,4.271428571428571
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.180909090909091,,5.571428571428571,5.166111111111111,,5.213333333333334,5.277222222222223
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.4,,,5.4,,5.375,5.125
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.9966666666666666,,3.6666666666666665,3.8816666666666664,,3.4966666666666666,4.0
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.075,,2.84,3.7060000000000004,,3.8993333333333333,3.899411764705882
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,11.278,,10.25,10.181666666666667,,10.881666666666666,11.027142857142858
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.833333333333333,,6.2,5.3,,5.665,5.798
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.7222222222222223,,3.6316666666666664,3.722352941176471,,3.6175,3.64
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,18.7,,,19.8475,,19.8475,21.64
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,2.6,2.6
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.966666666666666,,6.1,6.433333333333334,,6.45,6.716666666666666
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.0,,,6.0,,6.0,
