item_code,item,unit,item_group,item_category,2022-09-01,2022-09-03,2022-09-05,2022-09-06,2022-09-12,2022-09-14,2022-09-19,2022-09-20,2022-09-25,2022-09-26
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,,,8.972888888888889,,8.995000000000001,,8.999767441860465,,,9.039333333333333
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,,,11.315,,11.315,,11.481666666666667,,,11.6225
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,44.0,,44.0,,44.0,,,44.0
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,21.4,,22.933333333333334,,22.933333333333334,,,18.8
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,4.36125,,4.5600000000000005,,4.588888888888889,,,4.47375
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,5.706666666666667,,5.670714285714285,,5.667692307692308,,,5.518666666666666
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,5.0,,5.25,,5.0,,,5.2
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,3.733333333333333,,3.925,,3.925,,,4.133333333333334
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,3.7993333333333337,,3.8333333333333335,,4.064285714285714,,,3.95
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,7.706666666666667,,7.56,,8.445,,,8.9475
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,5.328571428571428,,5.36,,5.131666666666667,,,5.255714285714285
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,3.6558823529411764,,3.705,,3.7047368421052633,,,3.741578947368421
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,16.314285714285713,,15.964444444444446,,14.532222222222222,,,15.419
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,2.6,,2.6,,2.6,,,2.6
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,6.565384615384615,,6.691538461538462,,6.737692307692308,,,6.589
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,7.0,,7.0,,7.0,,,7.0
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,26.37777777777778,,26.031818181818185,,26.535000000000004,,,25.98888888888889
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,11.396428571428572,,11.345833333333333,,11.23448275862069,,,11.415384615384616
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,12.5,,11.833333333333334,,11.875,,,11.99
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,,,37.95,,38.95,,38.95,,,41.0
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,30.0,,30.0,,,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,14.3375,,14.833333333333334,,14.833333333333334,,,14.354545454545455
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,,,42.63333333333333,,42.300000000000004,,42.725,,,41.725
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,,,30.0,,30.0,,30.0,,,
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,23.333333333333332,,23.0,,23.0,,,21.0
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,18.9,,18.9,,,
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,,,28.725,,30.0,,30.8,,,29.0
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,12.333333333333334,,15.0,,12.5,,,13.780000000000001
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,20.4,,19.607692307692307,,20.22307692307692,,,19.073684210526313
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,12.48181818181818,,12.134137931034482,,12.313333333333333,,,12.392307692307693
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,28.666666666666668,,28.5,,28.0,,,27.5
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,7.0,,7.0,,,8.0
