item_code,item,unit,item_group,item_category,2022-10-03,2022-10-07,2022-10-10,2022-10-11,2022-10-13,2022-10-17,2022-10-19,2022-10-20,2022-10-21,2022-10-22,2022-10-23,2022-10-24,2022-10-26,2022-10-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.14,9.314285714285715,9.256785714285714,,9.2,9.307837837837837,,9.366666666666667,9.384615384615385,,9.343125,,,9.382051282051282
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.481666666666667,11.481666666666667,,,,11.555714285714286,,,11.681666666666667,,,10.8,,11.21125
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,22.9,23.900000000000002,,,,24.7,,,,,,24.133333333333336,,24.133333333333336
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.131666666666667,4.215,3.7,,,4.329,,5.0,4.755714285714285,,3.0,,,4.198571428571428
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.576153846153847,5.753636363636364,5.538,,5.0,5.710588235294118,,5.426666666666667,5.799090909090909,,5.333333333333333,,,5.88
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.375,5.2,,,,5.333333333333333,,,5.2,,,,,5.375
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.0975,4.0975,,,,4.4,,3.7,3.995,,,4.9,,4.175
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.216666666666667,4.285714285714286,4.298,,4.4,4.171818181818182,,3.7,4.328571428571428,,4.5,,,4.245454545454546
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.996666666666667,7.0,,,7.0,11.993333333333334,,9.695,18.0,,,,,18.0
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.498333333333334,5.325,6.7,,,5.533333333333334,,5.445,5.098000000000001,,6.75,,,5.375
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.8257894736842104,3.9166666666666665,3.7842857142857147,,4.8,3.7945,,4.33,3.8363636363636364,,3.5200000000000005,,,3.7605555555555554
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,14.968,16.7,14.229999999999999,,10.0,15.048333333333332,17.9,14.344999999999999,13.2975,,,17.9,,15.588999999999999
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,2.6,2.6,,,,,,,,,,,,2.6
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.590000000000001,6.55,6.5,,,6.553076923076923,,5.896666666666667,6.466666666666666,,6.7,,,6.785714285714286
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.0,7.0,,,7.0,7.0,,,7.0,,,,,
