item_code,item,unit,item_group,item_category,2022-11-07,2022-11-14,2022-11-21,2022-11-29
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.410810810810812,9.411111111111111,9.410810810810812,9.410526315789474
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.481666666666667,11.283333333333333,11.431666666666667,11.17375
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,24.9,24.2,24.2,24.9
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.235454545454545,4.0325,4.377777777777777,4.3428571428571425
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.965999999999999,6.010555555555555,5.952941176470588,5.974
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.2,5.25,5.5,5.25
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.8,3.8,3.8,3.8
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.333333333333333,4.333333333333333,4.283333333333333,4.172727272727273
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,18.0,13.995000000000001,18.0,13.33
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.315,4.875,5.26,5.325
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.6875,3.655625,3.735294117647059,3.8523529411764703
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,15.721111111111112,15.349,16.4375,15.721111111111112
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,2.6,2.6,2.6,2.6
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.5,6.5,6.8,6.7
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,7.5,,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,26.586666666666666,26.453333333333333,27.12,26.986666666666668
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,10.9,10.876666666666667,10.926666666666668,10.85
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.65,11.557142857142859,11.379999999999999,11.700000000000001
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,38.5,38.5,,38.0
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,25.0,25.0,25.0,25.0
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,15.483333333333334,14.290000000000001,14.483333333333334,15.215384615384616
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,39.128571428571426,39.7375,36.475,37.18
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,28.95,28.95,27.633333333333336,28.95
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,25.0,25.0,,
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,18.9,18.9,18.9,18.9
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,28.0,29.333333333333332,28.0,28.0
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.5,12.5,13.0,12.666666666666666
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,18.73846153846154,19.816666666666666,19.4,19.61875
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.283947368421053,12.235833333333334,11.816388888888888,12.536842105263156
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,28.0,28.0,24.0,
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,9.0,7.0,9.0,7.666666666666667
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,36.0,36.0
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,40.666666666666664,39.0,40.666666666666664,39.666666666666664
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.268181818181818,12.54090909090909,13.04090909090909,12.975999999999999
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,11.599,11.599,11.665555555555557,11.665555555555557
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,,,9.0,9.0
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.890270270270271,14.84076923076923,14.716388888888888,14.631315789473684
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,17.46333333333333,17.774285714285714,17.490606060606062,17.19969696969697
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,17.412121212121214,17.303125,17.183870967741935,16.89032258064516
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.926428571428572,8.883096774193548,8.866687898089172,8.952387096774192
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.351451612903226,10.148225806451613,10.441636363636363,10.27962962962963
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.10591836734694,13.49340425531915,13.774772727272728,13.614634146341464
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.0878,9.337291666666667,9.399761904761906,9.349791666666667
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,2.3785714285714286,2.4,2.4058823529411764,2.4058823529411764
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,9.0,9.0,9.0,9.0
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,8.1,8.1,8.1,8.1
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.5233333333333325,4.308571428571429,4.353125,4.276666666666666
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.021481481481481,5.090416666666667,5.121304347826087,5.149545454545454
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.127142857142857,9.055714285714286,8.998571428571429,8.991304347826087
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.4025,5.325616438356164,5.339315068493151,5.302266666666667
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.442127659574469,8.255106382978724,8.146521739130435,8.1668085106383
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.208072289156626,4.201976744186046,4.1744318181818185,4.25797619047619
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.7740259740259745,5.70759493670886,5.554054054054054,5.462207792207793
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.585714285714286,4.575,4.62,4.65
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,4.515384615384615,4.5,4.486666666666666,4.5
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.155555555555555,4.155555555555555,4.155555555555555,4.155555555555555
124,TELUR PUYUH,15 Biji,BARANGAN SEGAR,TELUR,4.072727272727272,4.066666666666666,4.0,4.0
125,TELUR ITIK,10 biji,BARANGAN SEGAR,TELUR,12.666666666666666,12.5,13.333333333333334,13.333333333333334
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,4.848508287292817,4.844699453551913,4.872817679558011,4.86
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,7.836233766233766,7.999879518072289,8.104875,8.17060975609756
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,11.845,12.18047619047619,12.273684210526316,12.67
148,IKAN BILIS GRED B (KOPEK),1kg,BARANGAN KERING,HASIL LAUT KERING,26.89966666666667,27.4215625,27.982413793103447,26.5
152,KACANG HIJAU (IMPORT),1kg,BARANGAN KERING,KACANG,8.057565789473685,8.061513157894737,8.03412162162162,8.051360544217687
154,SERBUK KUNYIT (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.1,1.1,1.1,1.1
171,KORDIAL SUNQUICK (OREN),840 ml,MINUMAN,BAHAN-BAHAN MINUMAN,,13.5,13.781436781609196,15.5
180,TEH BOH (UNCANG),100 beg,MINUMAN,BAHAN-BAHAN MINUMAN,,,13.625254237288136,
190,SARDIN CAP AYAM (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,4.524657534246575,4.531081081081081,4.5376666666666665,4.532692307692308
191,SARDIN CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,9.235114942528735,9.2516,9.257176470588236,9.25403409090909
192,SARDIN CAP KING CUP (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,4.12,4.134545454545455,4.1415094339622645,4.138461538461538
193,SARDIN CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.738524590163934,8.72844827586207,8.75508474576271,8.771311475409835
195,MACKAREL CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,9.291823529411765,9.28656976744186,9.296494252873565,9.291896551724138
197,MACKAREL CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.725,8.76,8.76,8.76
199,TUNA CAP TC BOY (SANDWICH DELITE),150 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,6.0,6.0,6.0,6.0
201,JEM STRAWBERI LADY'S CHOICE,400 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),8.77674418604651,8.804761904761905,8.804545454545455,8.791111111111112
202,SERI KAYA YEO'S,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),6.946000000000001,6.983495145631068,6.975757575757576,6.988888888888889
203,MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),12.243478260869566,12.213636363636363,12.35,12.306818181818182
205,MARJERIN DAISY,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),8.574137931034484,8.614044943820225,8.614367816091955,8.597701149425287
206,MARJERIN PLANTA,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),11.429565217391303,11.410373134328358,11.455,11.510076335877862
214,KICAP LEMAK MANIS CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.735326086956522,5.732972972972973,5.728260869565218,5.735405405405405
215,KICAP LEMAK MANIS CAP JALEN,650 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,6.617894736842106,6.623655913978495,6.623711340206185,6.6468750000000005
217,SOS TOMATO MAGGI,325 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.474973544973545,3.477081081081081,3.4827472527472527,3.4763387978142073
218,SOS CILI LIFE,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.810689655172414,3.8313793103448273,3.8475280898876405,3.8565168539325843
221,DRINHO SOYA (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,,,1.05,
224,SUSU SEGAR DUTCH LADY,1 liter,MINUMAN,TERSEDIA MINUM,,,8.016,6.9
225,SUSU MARIGOLD HL,1 liter,MINUMAN,TERSEDIA MINUM,,,8.078108108108108,
226,YEO'S LAICI (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,,,1.11025641025641,
228,COCA COLA (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,3.810588235294117,3.9
229,F&N OREN (TIN),325 ml,MINUMAN,TERSEDIA MINUM,,,1.7250000000000003,1.6
230,F&N OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,3.7526315789473683,
232,MIRINDA OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,3.831162790697674,
235,JUS OREN PEEL FRESH (MARIGOLD),1 liter,MINUMAN,TERSEDIA MINUM,,,6.516666666666667,6.7
236,JUS OREN SUNKIST,1 liter,MINUMAN,TERSEDIA MINUM,,,5.5,
239,RED BULL (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,,,2.0366666666666666,1.8
240,LIVITA WITH HONEY (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,,,2.353125,2.2
246,MINYAK JAGUNG CAP MAZOLA,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,17.67576923076923,17.6308,17.4948,17.4948
254,MINYAK MASAK SEBATIAN CAP HELANG,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,42.21114285714285,41.9025,41.802368421052634,41.317692307692305
257,MINYAK MASAK SEBATIAN CAP NEPTUNE,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,37.96111111111111,38.19444444444444,38.19444444444444,38.138888888888886
260,MINYAK MASAK SEBATIAN CAP PISAU,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,40.56026315789474,40.73820512820513,41.19725,41.273421052631576
263,MINYAK MASAK TULEN CAP BURUH,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,31.48775510204082,30.927272727272726,30.9,30.9
266,MINYAK MASAK TULEN CAP SERI MURNI,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,31.476923076923075,30.909374999999997,30.9,30.900000000000002
267,MINYAK MASAK TULEN CAP VESAWIT,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,7.1,6.9,6.9,6.9
271,MINYAK SAPI CAP QBB,400 g,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,31.321666666666665,31.866071428571427,31.75,31.763793103448275
272,ROTI SANDWICH GARDENIA ORIGINAL CLASSIC,400 g,BARANGAN BERBUNGKUS,ROTI,3.0,3.0,3.0,3.0
292,UBAT GIGI COLGATE (PUDINA SEGAR),250 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,13.23348623853211,13.2
293,UBAT GIGI DARLIE DOUBLE ACTION (PUDINA ASLI),250 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,13.0156,12.9
295,UBAT GIGI FRESH & WHITE (PUDINA SEGAR),160 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,6.005370370370371,6.1
299,LACTOGEN 1 RUMUSAN BAYI (KOTAK),650g,SUSU DAN BARANGAN BAYI,SUSU BAYI,26.65913043478261,26.65701754385965,26.669999999999998,26.64201680672269
300,LACTOGEN 2 RUMUSAN SUSULAN (KOTAK),650g,SUSU DAN BARANGAN BAYI,SUSU BAYI,26.67424778761062,26.683035714285715,26.695535714285715,26.65470085470086
320,SUSU SEJAT PENUH KRIM CAP IDEAL,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,5.110344827586206,5.116666666666667,5.1339999999999995,5.15576923076923
327,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',1kg,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,48.82890909090909,49.055,49.21941176470588,49.20166666666666
332,SUSU TEPUNG SEGERA FERNLEAF (INSTANT),550 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,16.90705882352941,16.945,16.90705882352941,16.90705882352941
334,SUSU ANLENE ACTIFIT 3X PERISA ASLI,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,21.109199999999998,21.11564885496183,21.100757575757576,21.09772727272727
335,SUSU ANLENE GOLD 5X,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,24.983968253968253,25.03079365079365,25.15099236641221,25.21187969924812
336,ANMUM MATERNA (BIASA/COKLAT),650g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,38.40815789473684,38.31918918918919,38.31108108108108,38.30911764705883
343,KULIT KAYU MANIS,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),4.4716,4.5036000000000005,4.549615384615384,4.549615384615384
344,SUSU TEPUNG SEGERA EVERYDAY,550 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,20.521259842519683,20.521259842519683,20.527868852459015,20.522
345,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,33.470232558139536,33.48376,33.467499999999994,33.502109375
346,REMPAH KURMA (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),3.5,3.5,3.5,3.5
350,SERBUK KARI IKAN BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.404083769633508,5.4188947368421045,5.435026178010472,5.444973821989529
360,SUP BUNJUT ADABI,8 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.4710900473933648,1.4704761904761905,1.4725961538461538,1.47487922705314
361,SUP PUNJUT MAK SITI,10 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.4909090909090907,1.5142857142857142,1.525,1.5260869565217392
364,SERBUK CILI BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),6.835031055900622,6.8381366459627335,6.8543396226415085,6.86440251572327
365,SERBUK KUNYIT CAMPURAN (SEBATIAN) ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),6.137768595041322,6.1337600000000005,6.125785123966942,6.111666666666666
367,SERBUK KUNYIT BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.11875,5.12,5.129878048780488,5.131446540880503
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,9.527449664429529,9.572119205298014,9.565933333333334,9.533648648648649
388,KRIMER MANIS CAP JUNJUNG,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,4.301923076923076,4.309803921568627,4.31,4.297916666666667
716,CILI API/PADI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,25.781818181818185,26.69090909090909,24.0,25.0
843,ANMUM LACTA (BIASA),650g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,37.86727272727273,37.96272727272727,37.959999999999994,37.98090909090909
845,SOTONG (≥ 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,33.99583333333333,34.35909090909091,33.37619047619047,34.310526315789474
847,KETAM RENJONG/BUNGA (ANTARA 5 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,33.81666666666667,34.7375,33.25714285714286,35.96666666666667
849,UDANG PUTIH KECIL (b	% 61 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,24.75,23.6,22.0,22.0
850,UDANG HARIMAU (ANTARA 20 HINGGA 30 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,41.4,40.0,40.0,42.5
861,UBI KENTANG HOLLAND,1kg,BARANGAN KERING,UBI KENTANG,4.342857142857143,4.372727272727273,4.390476190476191,4.3136363636363635
863,JINTAN MANIS (KASAR),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.788888888888889,1.697058823529412,1.697058823529412,1.713888888888889
864,BUNGA CENGKIH,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),6.960434782608695,6.938695652173913,6.887826086956522,6.86608695652174
865,BUNGA LAWANG,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),6.713636363636363,6.852799999999999,6.8772,6.830416666666667
866,BUAH PELAGA,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),17.920714285714286,17.259333333333334,17.595,16.833125
867,BUAH KERAS,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),2.1558333333333333,2.189230769230769,2.124285714285714,2.124285714285714
868,BUAH PALA,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),4.4625,4.4625,4.4625,4.4625
869,BIJI SAWI,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.5357142857142858,1.5357142857142858,1.5153846153846153,1.5142857142857142
870,BIJI KETUMBAR,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.5630434782608698,1.4922727272727272,1.4786363636363637,1.518695652173913
871,LADA HITAM,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),4.094347826086957,4.1440909090909095,4.171818181818182,4.12375
873,LADA PUTIH,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),5.878125,5.815625,5.803333333333333,5.815625
883,KRIMER MANIS BERVITAMIN CAP F&N,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,4.221739130434782,4.235,4.270283018867924,4.297169811320755
884,KRIMER MANIS CAP GOLD COIN,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,3.3543023255813957,3.352588235294118,3.3581707317073173,3.365714285714286
896,HALBA,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.6125,1.5959999999999999,1.604,1.604
904,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,28.619333333333334,28.736875,28.606923076923074,28.477857142857143
910,KORDIAL F&N (SIRAP ROS),2 liter,MINUMAN,BAHAN-BAHAN MINUMAN,,,10.742571428571429,
917,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP SAUH)",1kg,BARANGAN BERBUNGKUS,TEPUNG,3.6912949640287773,3.6942957746478875,3.686041666666666,3.694928571428571
918,MINYAK MASAK PAKET (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,2.5,2.5,2.5,2.5
919,SUSU TEPUNG PENUH KRIM DUTCHLADY,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,20.565952380952382,20.582619047619048,20.537,20.546904761904763
929,NESCAFE CLASSIC (PAKET),200 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,19.57406015037594,21.0
957,SOS CILI KIMBALL,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.4814000000000003,3.483677419354839,3.492848101265823,3.5105031446540877
992,BERAS CAP JATI (SST5%),10 kg,BARANGAN BERBUNGKUS,BERAS,26.25714285714286,26.25714285714286,26.25714285714286,26.25714285714286
1070,SOS CILI MAGGI,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.8295215311004784,3.8402870813397127,3.842125603864734,3.8411961722488037
1081,MACKAREL CAP KING CUP (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,4.2,4.2,4.5,4.2
1082,MACKAREL CAP AYAM (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,4.578030303030303,4.578076923076923,4.579770992366412,4.567910447761194
1084,TEH BOH (SERBUK),500 g,MINUMAN,BAHAN-BAHAN MINUMAN,,11.5,11.872395833333334,12.8
1086,MINYAK JAGUNG CAP DAISY,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,16.70230769230769,16.75102564102564,16.75038961038961,16.777948717948718
1087,MINYAK JAGUNG CAP DAISY,3 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,42.65655172413793,42.98799999999999,42.965806451612906,42.931333333333335
1088,MINYAK JAGUNG CAP MAZOLA,3 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,46.300000000000004,46.45,48.0,46.45
1089,MINYAK JAGUNG CAP VECORN,3 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,45.67333333333333,46.65,46.327777777777776,46.46470588235294
1090,MINYAK JAGUNG CAP VECORN,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,18.235555555555557,18.122448979591837,18.14528301886792,18.045283018867924
1091,MINYAK MASAK SEBATIAN CAP HELANG,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,9.423684210526316,9.567499999999999,9.564285714285715,9.511904761904763
1092,MINYAK MASAK SEBATIAN CAP NEPTUNE,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,8.516666666666667,8.516666666666667,8.516666666666667,8.516666666666667
