item_code,item,unit,item_group,item_category,2023-01-01,2023-01-09,2023-01-16,2023-01-18,2023-01-19,2023-01-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.383947368421053,9.384358974358975,9.37923076923077,,9.37475,9.378108108108108
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.355714285714285,11.119,11.19875,,10.99875,11.281666666666666
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,25.9,24.7,22.45,,19.0,19.0
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.555714285714286,4.519,4.655555555555555,,4.525,4.424166666666667
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.119333333333333,6.2125,6.35235294117647,,6.23,6.126363636363636
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.5,,6.0,,6.0,6.25
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.2,4.36,4.325,,4.325,4.325
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.409000000000001,4.454444444444444,4.36125,,4.4557142857142855,4.4557142857142855
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,10.631666666666666,10.863333333333335,11.633333333333333,,11.518,12.195
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.8,4.8,4.8,,4.8,4.833333333333333
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.7876470588235294,4.020526315789474,4.040588235294117,,4.13470588235294,4.2993749999999995
26,ANGGUR HIJAU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,16.0,,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,14.806666666666665,16.16444444444444,14.934545454545455,,15.673333333333332,15.55923076923077
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.5,,,,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.642857142857143,6.4875,6.488888888888889,,6.26125,6.54875
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.99,6.99,6.99,,6.99,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,26.59333333333333,26.428571428571427,26.11111111111111,,26.3125,26.714285714285715
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.177777777777779,11.889999999999999,11.840625,,11.76896551724138,12.23448275862069
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,13.35,13.2375,12.59,,12.316666666666668,13.0
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,38.95,38.95,38.95,,38.95,38.95
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,25.0,25.0,,,,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,15.620000000000001,14.925,14.547058823529412,,14.865,15.544444444444444
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,39.128571428571426,40.128571428571426,38.98571428571428,,38.983333333333334,38.18
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,25.0,25.0,25.0,,25.0,
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,26.0,,25.0,26.0
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,18.9,20.95,20.95,,20.95,18.9
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,28.3,29.18,29.150000000000002,,29.1125,28.333333333333332
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,15.180000000000001,15.38,13.316666666666668,,15.38,12.5
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,20.45625,19.349999999999998,20.049999999999997,,20.11176470588235,21.40833333333333
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,13.251290322580644,13.336857142857143,13.622571428571428,,13.743823529411765,13.463333333333335
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,27.45,27.45,27.96666666666667,,27.96666666666667,28.95
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,9.0,,10.0,,9.0,
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,38.5,40.666666666666664,41.0,,41.0,37.5
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.267727272727273,13.85190476190476,14.370416666666666,,14.5556,14.335909090909091
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,11.549000000000001,11.590000000000002,11.349,,11.311250000000001,11.49888888888889
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,7.0,7.5,7.5,,6.0,9.0
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.697105263157894,14.712564102564102,14.680277777777778,,14.563846153846153,14.769166666666669
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,17.83966666666667,17.760833333333334,17.552647058823528,,17.08677419354839,17.021428571428572
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,17.44212121212121,16.6403125,17.078125,,16.5,17.078214285714285
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.235957446808511,9.33895104895105,9.461726618705036,,9.48963503649635,9.48406015037594
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.701636363636364,12.143898305084745,12.184035087719298,,12.495714285714286,12.75977777777778
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.640769230769232,15.404222222222224,14.003725490196077,,13.971739130434784,14.087234042553192
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.591923076923077,9.581249999999999,9.556938775510204,,9.6838,10.015681818181818
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,2.4125,2.376470588235294,2.457894736842105,,2.4555555555555553,2.363157894736842
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,10.0,10.0,10.0,,10.0,10.0
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,8.1,8.1,7.9,,7.9,7.9
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.119666666666666,4.2059375,3.7784848484848483,,3.7416129032258065,4.0215625
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.0539130434782615,5.019130434782609,4.9470833333333335,,4.849130434782609,4.647
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.182539682539682,9.112698412698412,9.170967741935485,,9.184126984126985,9.127868852459015
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.990161290322581,5.20134328358209,5.289558823529411,,5.33865671641791,5.244929577464789
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.00225,11.029574468085107,10.574509803921568,,10.47037037037037,10.527083333333334
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.875365853658536,4.797261904761905,4.863950617283951,,4.832560975609756,5.134029850746269
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.31758064516129,8.158428571428573,8.570694444444445,,8.454927536231883,8.370289855072462
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.62,4.6000000000000005,4.62,,4.62,4.6000000000000005
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,4.475,4.455555555555555,4.553846153846154,,4.52,4.475
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.2,4.176923076923076,4.21111111111111,,4.1909090909090905,4.2
124,TELUR PUYUH,15 Biji,BARANGAN SEGAR,TELUR,3.7900000000000005,3.6285714285714286,3.483333333333334,,3.516666666666667,3.316666666666667
125,TELUR ITIK,10 biji,BARANGAN SEGAR,TELUR,14.0,14.0,14.0,,14.0,14.0
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,4.885304878048781,4.85463687150838,4.87954802259887,,4.898268156424581,4.902857142857143
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,9.79044776119403,9.993913043478262,10.405846153846154,,10.8965,10.447872340425532
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,18.4625,17.242857142857144,16.86875,,16.86875,16.52857142857143
148,IKAN BILIS GRED B (KOPEK),1kg,BARANGAN KERING,HASIL LAUT KERING,27.562962962962963,27.316666666666666,27.53448275862069,,27.00862068965517,27.258928571428573
152,KACANG HIJAU (IMPORT),1kg,BARANGAN KERING,KACANG,8.108518518518519,8.055281690140845,8.080357142857142,,8.075,8.064552238805971
154,SERBUK KUNYIT (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.2,1.3,1.3,,1.3,1.35
171,KORDIAL SUNQUICK (OREN),840 ml,MINUMAN,BAHAN-BAHAN MINUMAN,13.7858940397351,,,,13.776341463414635,
180,TEH BOH (UNCANG),100 beg,MINUMAN,BAHAN-BAHAN MINUMAN,13.720169491525423,,,,13.712950819672132,
190,SARDIN CAP AYAM (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,4.53768115942029,4.5364238410596025,4.53945945945946,,4.556527777777777,4.565100671140939
191,SARDIN CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,9.281233766233767,9.2688125,9.293939393939393,,9.33030303030303,9.36923076923077
192,SARDIN CAP KING CUP (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,4.229591836734694,4.2330000000000005,4.216666666666667,,4.2375,4.257142857142857
193,SARDIN CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.841666666666667,8.858474576271187,8.822881355932203,,8.8525,8.849137931034482
195,MACKAREL CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,9.330718954248367,9.332360248447205,9.340434782608696,,9.343271604938272,9.367080745341614
197,MACKAREL CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.76,8.785714285714286,8.8,,8.774999999999999,8.7
199,TUNA CAP TC BOY (SANDWICH DELITE),150 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,6.0,6.0,6.0,,6.0,6.0
201,JEM STRAWBERI LADY'S CHOICE,400 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),8.795454545454545,8.795348837209302,8.770625,,8.78808510638298,8.791818181818183
202,SERI KAYA YEO'S,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),7.094333333333333,7.086354166666666,7.098958333333333,,7.07979797979798,7.085858585858586
203,MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),12.305,12.359090909090908,12.3276,,12.370000000000001,12.349565217391305
205,MARJERIN DAISY,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),8.644444444444446,8.619277108433735,8.608536585365853,,8.58641975308642,8.603424657534246
206,MARJERIN PLANTA,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),11.789426229508196,11.85248,11.926821705426356,,11.933543307086614,11.947647058823529
