item_code,item,unit,item_group,item_category,2023-02-02,2023-02-06,2023-02-07,2023-02-08,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.378947368421052,,9.4,9.4,9.4,9.4,9.4,9.36475,9.4,9.4,9.4,9.4,9.36975,9.4,9.4,9.4,9.4,9.4,9.4,9.38547619047619,9.4
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.481666666666667,,,,,,,10.98625,,,,,11.138,,,,,,,11.218,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,19.0,,,,,,,21.95,,,,,20.95,,,,,,,17.0,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.132222222222222,3.5,,,,,,4.187777777777778,,,,,4.187777777777778,,,,,,,4.149,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.172941176470588,,6.09,,6.19,6.19,6.19,6.223157894736842,7.25,7.25,7.25,7.25,6.148999999999999,6.49,6.49,7.25,7.25,7.25,7.25,6.092380952380952,6.29
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.166666666666667,,,,,,,6.25,,,,,6.25,,,,,,,6.0,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.416666666666667,5.5,,,,,,4.083333333333333,,,,,4.166666666666667,,,,,,,4.5,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.914285714285714,,4.19,4.19,,,4.19,4.759,4.19,4.19,4.19,4.19,4.648333333333333,3.79,3.79,4.19,4.19,4.19,4.19,4.715,4.19
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,10.469999999999999,,8.49,8.49,7.99,7.99,8.49,10.396666666666667,8.49,8.49,11.29,8.29,7.993333333333333,8.29,8.29,8.29,8.29,8.29,8.29,8.42,
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.875,5.0,,,,,,4.75,,,,,4.75,,,,,,,4.833333333333333,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,4.310555555555556,,3.79,3.79,4.69,4.69,4.69,4.355,4.69,4.69,4.69,3.89,4.293125,3.99,3.99,3.99,3.99,3.99,4.69,4.317058823529412,4.69
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,15.8525,16.0,12.95,,,,13.59,15.897272727272728,13.59,12.59,10.99,11.49,16.48818181818182,,10.99,13.59,13.59,13.59,13.59,16.063333333333333,13.59
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,2.6,,,,,,,2.6,,,,,2.6,,,,,,,2.6,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.37375,,4.89,4.89,,,4.89,6.232222222222223,4.89,4.89,6.99,6.99,6.24875,4.69,4.69,6.99,6.99,6.99,5.99,6.34875,
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,10.0,,,,,,,10.0,,,,,,,,,,,,,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,26.333333333333332,,,,,,,26.170588235294115,,,,,25.8,,,,,,,27.0,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.774074074074074,,,,,,,11.742857142857144,,,,,11.820689655172414,,,,,,,11.855172413793104,
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,13.0,,,,,,,11.99,,,,,11.658333333333333,,,,,,,11.3625,
