item_code,item,unit,item_group,item_category,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-25,2023-04-27,2023-04-28,2023-04-29,2023-04-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,,9.4,9.4,9.4,9.4
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,,,11.065,,,,,11.118,,,,,,,11.4225,,,10.898333333333333,,10.918000000000001,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,20.0,,,,,20.95,,,,,,,19.563333333333333,,,18.395,,18.395,,,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,4.55,,,,,4.75,,,,,,,4.8,,,4.799,,4.599,,,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.25,7.25,6.4670588235294115,7.25,7.25,7.25,7.25,6.444210526315789,7.25,7.25,7.25,7.25,7.25,7.25,6.330555555555556,7.25,7.25,6.416111111111111,,6.376470588235295,,,
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,5.5,,,,,6.0,,,,,,,5.875,,,6.0,,5.875,,,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,4.248333333333334,,,,,4.3,,,,,,,4.220000000000001,,,3.825,,3.825,,,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.19,4.19,4.206153846153846,4.19,3.49,3.49,3.49,4.16,4.19,4.19,2.99,2.99,,,3.9842857142857144,3.395,2.99,4.020714285714286,4.19,4.119,4.19,4.19,4.19
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,11.29,11.29,11.675999999999998,11.29,,,,10.667142857142858,,9.39,9.39,8.49,8.49,5.99,11.048333333333334,5.99,5.99,10.84,9.39,10.675555555555555,9.39,9.39,9.39
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,4.833333333333333,,,,,4.875,10.49,10.49,10.49,10.49,10.49,6.49,5.331666666666667,6.49,6.49,5.331666666666667,10.49,6.1414285714285715,,,10.49
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.99,4.69,4.34875,4.69,3.79,3.79,3.79,4.412000000000001,,,4.39,,,,4.41125,4.39,,4.382777777777778,,4.4494444444444445,,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,16.796666666666667,,,,,16.796666666666667,22.29,18.79,18.79,18.79,18.79,18.79,17.436,18.79,18.79,17.926666666666666,22.29,19.093333333333334,22.29,22.29,22.29
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,2.6,,,,,2.6,,,,,,,,,,,,,,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.99,5.99,6.12,5.99,5.99,,,6.35,5.99,5.99,5.99,5.99,5.99,5.99,6.344545454545455,5.99,5.99,6.344545454545455,,6.325,,,5.99
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,5.5,,,,,,,5.5,,,5.5,,5.5,,,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,27.714285714285715,,,,,27.438888888888886,,,,,,,27.466666666666665,,,27.135714285714283,,27.66,,,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,12.254,,,,,11.932258064516128,,,,,,,12.116896551724137,,,12.607037037037037,,12.371428571428572,,,
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,12.0,,,,,12.0,,,,,,,12.65,,,12.78,,12.975,,,
