item_code,item,unit,item_group,item_category,2023-06-01,2023-06-02,2023-06-03,2023-06-04,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-10,2023-06-11,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-17,2023-06-18,2023-06-19,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-24,2023-06-25,2023-06-26,2023-06-27
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.391891891891891,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.392682926829268,9.4,9.4,9.4,9.4,9.4,9.4,9.3925,9.4,9.4,9.4,9.4,9.4,9.4,9.395121951219512,9.4
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.131666666666668,,,,,,,,,,11.131666666666668,,,,,,,11.131666666666668,,,,,,,11.131666666666668,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,20.0,,,,,,,,,,22.0,,,,,,,22.0,,,,,,,24.0,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.8999999999999995,,,,,,,,,,4.6125,,,,,,,4.557142857142857,,,,,,,4.483333333333333,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.411111111111111,,,,,,7.25,7.25,7.25,,6.459999999999999,6.09,6.09,7.25,7.25,7.25,6.1,6.465000000000001,6.1,6.1,7.25,7.25,7.25,,6.499444444444444,7.25
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.5,,,,,,,,,,7.0,,,,,,,7.0,,,,,,,6.75,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.7,,,,,,,,,,2.9,,,,,,,2.99,,,,,,,4.0,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.19,4.19,4.19,4.19,2.69,2.69,4.19,4.19,4.19,2.69,3.3840000000000003,2.69,2.69,4.19,4.19,4.19,2.19,3.3929411764705883,2.99,2.99,2.69,2.69,2.69,,3.593125,4.19
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,8.49,,8.79,9.39,9.39,9.39,9.39,7.39,7.39,9.39,9.253333333333334,7.39,7.39,9.39,9.39,9.39,9.39,9.838571428571429,9.39,9.39,,,,9.39,8.674000000000001,
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.2,,,,,,,,,,5.2,,,,,,,5.598000000000001,,,,,,,5.598000000000001,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,4.358235294117647,,,,4.69,4.69,4.69,3.69,3.69,4.69,4.251428571428572,4.69,4.69,4.69,4.69,4.69,4.69,4.1466666666666665,4.69,4.69,4.69,4.69,4.69,4.69,4.224,3.69
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,20.145,17.39,17.39,22.29,22.29,14.69,14.69,14.69,14.69,22.29,18.745,14.99,14.99,22.29,14.99,14.99,22.29,19.82,22.29,22.29,22.29,22.29,22.29,15.79,20.863333333333333,15.79
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,2.6,,,,,,,,,,2.6,,,,,,,,,,,,,,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.875,,,5.99,5.99,5.99,5.99,4.99,4.99,5.99,6.855714285714286,,,7.29,7.29,7.29,5.99,6.8725000000000005,5.99,5.99,4.99,4.99,4.99,5.99,6.876666666666667,5.99
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,27.354545454545452,,,,,,,,,,27.20642857142857,,,,,,,26.650000000000002,,,,,,,27.2,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.9278125,,,,,,,,,,11.739666666666666,,,,,,,12.187096774193549,,,,,,,11.700000000000001,
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,13.0,,,,,,,,,,12.316666666666668,,,,,,,12.316666666666668,,,,,,,11.475,
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,39.300000000000004,,,,,,,,,,38.96666666666667,,,,,,,39.475,,,,,,,39.300000000000004,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,16.185,,,,,,,,,,15.899230769230769,,,,,,,15.679499999999999,,,,,,,15.324375,
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,40.271428571428565,,,,,,,,,,39.61125,,,,,,,40.4875,,,,,,,40.4875,
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,36.5,,,,,,,,,,35.0,,,,,,,36.5,,,,,,,35.0,
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,27.0,,,,,,,,,,26.494999999999997,,,,,,,,,,,,,,,
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,18.9,,,,,,,,,,18.9,,,,,,,18.9,,,,,,,18.9,
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,31.150000000000002,,,,,,,,,,29.975,,,,,,,30.225,,,,,,,31.225,
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,13.166666666666666,,,,,,,,,,11.78,,,,,,,12.985714285714286,,,,,,,12.48625,
