item_code,item,unit,item_group,item_category,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.4,9.03047619047619,9.4,9.4,9.4,,,9.4,9.02975,9.4,9.4,9.4,9.4,9.4,9.4,9.11093023255814,9.4,9.4,9.4,9.4,9.4,9.246222222222222,9.4,9.4,9.4,9.4,9.4,9.4,9.201951219512196,8.59
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,,11.581666666666669,,,,,,,11.581666666666669,,,,,,,11.284285714285716,,,,,,11.34142857142857,,,,,,,11.198333333333332,
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,35.0,,,,,,,35.0,,,,,,35.0,,,,,,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,23.0,,,,,,,23.0,,,,,,,23.4725,,,,,,23.4725,,,,,,,23.96666666666667,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,5.5,,,,,,,4.84875,3.8,3.8,3.8,,,,5.042857142857143,3.8,3.8,3.8,3.8,,4.75,,,,,,,5.0,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.25,6.892666666666667,7.25,7.25,7.25,7.25,7.25,7.125,6.61,,,,7.25,7.25,7.25,6.61875,7.25,6.19,6.19,6.19,,6.617857142857143,,,,,,,6.684375,
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,4.166666666666667,,,,,,,4.5,,,,,,,3.9966666666666666,,,,,,3.9966666666666666,,,,,,,4.33,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,2.69,3.7870588235294114,2.99,2.99,2.99,2.99,2.99,2.99,3.8142105263157893,2.99,2.99,2.99,2.99,2.99,2.99,3.8247368421052634,2.99,2.49,2.49,2.49,,3.775333333333333,,2.99,,,,,3.9026666666666667,
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,10.99,12.660000000000002,10.99,10.99,10.99,7.99,7.99,10.99,11.745000000000001,10.99,10.99,10.99,10.99,10.99,10.99,12.17,10.99,10.99,10.99,10.99,10.99,14.495000000000001,10.99,10.99,10.99,8.39,8.39,8.39,8.893333333333333,10.99
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,5.0,,,,,,,5.5,,,,,,,5.125,,,,,,5.625,,,,,,,5.333333333333333,
