item_code,item,unit,item_group,item_category,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-11,2023-12-12,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-20,2023-12-21,2023-12-22,2023-12-23,2023-12-24,2023-12-26,2023-12-27,2023-12-28,2023-12-29,2023-12-30,2023-12-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.4,9.4,9.2,9.072926829268292,9.4,9.4,9.1,9.222307692307693,9.29,9.29,9.4,9.302,9.4,9.4,9.372682926829267,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,,,,11.638,,,,11.638,,,,11.331666666666665,,,11.198,,,,,,,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,,23.0,,,,23.0,,,,21.996666666666666,,,21.996666666666666,,,,,,,,,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,5.399,,,7.0,5.3125,,,,5.4375,,,5.142857142857143,,,,,,,,,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.49,6.49,6.49,6.759333333333333,6.49,6.49,6.245,6.618181818181818,6.49,6.49,6.49,6.645333333333334,,,6.652352941176471,6.49,6.49,7.25,,7.25,7.25,6.29,6.29,6.29
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,6.666666666666667,,,,7.0,,,,7.0,,,6.5,,,,,,,,,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,4.166666666666667,,,,4.166666666666667,,,,3.875,,,3.875,,,,,,,,,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,2.49,3.6015384615384614,2.49,2.49,2.49,3.581538461538462,2.49,,2.49,3.7230000000000003,2.99,2.49,3.676666666666667,2.49,2.49,2.99,2.99,2.99,2.99,2.99,2.99,2.99
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,8.99,,,,11.97,,10.99,10.99,11.96,10.99,10.99,8.99,10.99,10.99,10.99,10.99,,,,,
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,5.0,,,,4.833333333333333,,,,4.833333333333333,,,4.833333333333333,,,,,,,,,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,4.49,4.49,4.69,4.509444444444444,4.39,4.39,4.69,4.483157894736842,4.69,4.69,4.69,4.403333333333333,4.69,4.69,4.412857142857143,,,,,,,,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,16.066666666666666,,,,15.471428571428572,17.99,,17.99,15.768571428571429,17.99,17.99,15.31,17.99,,,,,,10.59,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,7.916666666666667,,5.69,6.345000000000001,7.785714285714286,5.69,5.69,5.69,7.369,5.69,5.69,7.39875,5.69,5.69,5.69,5.69,5.69,5.69,5.69,,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,26.405882352941177,,,28.0,26.881764705882354,,,,26.762631578947367,,,26.1195,,,,,,,,,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,11.233333333333334,,,15.0,10.668620689655173,,,,11.337931034482759,,,11.723076923076924,,,,,,,,,
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,12.357142857142858,,,13.0,11.998000000000001,,,,12.7,,,13.75,,,,,,,,,
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,33.0,,,32.0,33.9,,,,32.2225,,,31.0,,,,,,,,,
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,30.0,,,,30.95,,,,30.95,,,30.0,,,,,,,,,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,14.899000000000001,,,,15.559333333333333,,,,15.268125,,,15.788999999999998,,,,,,,,,
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,39.388999999999996,,,45.0,37.23625,,,,37.87777777777777,,,37.099999999999994,,,,,,,,,
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,31.96666666666667,,,,36.96666666666667,,,,36.45,,,36.45,,,,,,,,,
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,,,17.99,,,,,,,,,,,,
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,18.9,,,,18.9,,,,18.9,,,,,,,,,,,,
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,35.0,,,35.0,35.0,,,,35.0,,,35.0,,,,,,,,,
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,13.4,,,15.0,13.333333333333334,,,,14.0,,,14.725,,,,,,,,,
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,17.8375,,,22.0,17.178421052631577,,,,18.108636363636364,,,18.358636363636364,,,,,,,,,
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.99,,,12.679714285714287,13.99,11.99,14.495000000000001,12.163,,13.99,13.99,12.340833333333332,13.99,13.99,12.716341463414635,13.99,13.99,13.99,,,,13.99,,
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,25.3,,,28.0,23.9,,,,25.633333333333336,,,24.0,,,,,,,,,
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,5.9,,,,5.9,,,,7.95,,,9.25,,,,,,,,,
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,30.9,,,,30.9,,,,30.9,,,,,,,,,,,,
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,34.8,,,40.0,34.0,,,,34.8,,,36.0,,,,,,,,,
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,13.385357142857144,,,16.0,13.242500000000001,,14.99,14.99,13.354193548387098,15.5,15.5,14.036666666666667,15.5,15.5,,,,,15.5,,
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,9.99,9.99,9.99,11.73,9.99,9.99,11.245000000000001,11.915833333333333,9.99,9.99,9.99,11.960769230769232,9.99,9.99,11.713571428571429,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,,,,9.4,,,12.0,6.5,,,,10.0,,,10.5,,,,,,,,,
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,15.29,12.69,12.69,14.662647058823529,12.69,12.69,16.145,14.534166666666668,14.09,14.09,16.69,14.764324324324324,16.69,16.69,14.898055555555556,16.69,16.69,16.69,16.69,16.69,16.69,16.69,,16.69
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,18.157179487179487,,,21.0,18.548378378378377,,,,18.775151515151514,,,19.305588235294117,,,,,,,,,
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.49,14.19,14.19,17.9516,14.19,14.19,16.49,18.999615384615385,19.79,23.75,23.75,19.54423076923077,23.75,23.75,18.964583333333334,23.75,16.99,16.99,16.99,16.99,23.75,23.75,23.75,23.75
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,14.33,,,16.0,14.262950819672131,,9.15,9.15,13.957933884297521,9.15,9.15,13.929349593495935,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,9.621230769230769,,,9.0,9.69,,,,9.901333333333334,,,9.948833333333335,,,,,,,,,14.49
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,12.789821428571429,,,16.0,12.699629629629628,,,,12.680576923076924,,,12.7018,,,,,,,,,
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,9.255573770491804,,,10.0,9.064230769230768,,,,9.192033898305086,,,9.115,,,,,,,,,
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,,,,2.5523809523809526,,,2.8,2.473684210526316,,,,2.429411764705882,,,2.425,,,,,,,,,
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,,,,10.0,,,,10.0,,,,10.0,,,10.0,,,,,,,,,
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,,,,8.1,,,5.5,7.975,,,,7.1,,,7.4799999999999995,,,,,,,,,
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,4.219268292682927,,,4.5,4.075121951219512,,,,4.179250000000001,,,4.133414634146342,,,,,,,,,
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,2.29,4.815555555555556,2.29,2.29,2.29,4.7085,2.29,2.75,2.75,4.7315,2.75,,4.778095238095238,2.75,2.75,2.75,2.75,2.75,2.75,,,2.75
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.89,6.89,6.89,9.698307692307692,,,9.445,9.764920634920635,,7.8,7.8,9.675230769230769,7.8,7.8,9.648307692307693,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.69,2.69,2.69,5.03551282051282,,,4.345,5.016027397260274,,2.89,2.89,5.0438888888888895,2.89,2.89,5.013291139240507,2.89,2.89,2.9,2.9,2.9,2.89,,,2.89
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.8,,,8.934423076923077,8.99,8.99,10.266666666666667,8.954705882352942,10.59,10.59,10.59,9.176274509803921,10.59,10.59,9.3358,10.59,10.59,10.59,10.59,10.59,10.59,10.59,10.99,10.69
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.99,5.99,4.79,5.188414634146342,4.79,4.79,5.33,5.146375,4.79,5.69,5.69,5.323125,5.69,5.69,5.1572619047619055,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.89,6.89,6.89,7.131666666666667,,6.89,6.63,7.0750684931506855,6.69,6.69,6.69,6.9041428571428565,6.69,6.69,6.789857142857143,6.69,5.99,5.99,5.99,5.99,6.69,,,7.29
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,,,,4.575,,,,4.5600000000000005,,,,4.575,,,4.5600000000000005,,,,,,,,,
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,,,,4.425,,,4.3,4.3999999999999995,,,,4.425,,,4.42962962962963,,,,,,,,,
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,,,,4.1499999999999995,,,,4.153333333333332,,,,4.153333333333332,,,4.147058823529412,,,,,,,,,
124,TELUR PUYUH,15 Biji,BARANGAN SEGAR,TELUR,,,,4.079,,,4.4,4.108181818181818,4.4,4.4,4.4,4.079,,,4.079,,,,,,,,,
125,TELUR ITIK,10 biji,BARANGAN SEGAR,TELUR,,,,15.0,,,15.0,,,,,15.0,,,15.0,,,,,,,,,
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,5.99,5.99,5.99,5.750505617977527,5.99,5.99,6.245,5.7571666666666665,5.99,5.99,5.99,5.7482584269662915,5.99,5.99,5.758370786516854,5.99,4.99,4.99,4.99,4.99,5.99,5.99,5.99,5.99
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,,,,10.9145,,,9.0,11.212622950819673,,,,11.420172413793104,,,11.499444444444444,,,,,,,,,
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,,,,15.5,,,18.0,15.389473684210525,,,,15.763157894736842,,,15.81578947368421,,,,,,,,,
148,IKAN BILIS GRED B (KOPEK),1kg,BARANGAN KERING,HASIL LAUT KERING,29.9,29.9,29.9,28.386666666666667,29.9,29.9,29.9,27.914285714285715,29.9,29.9,29.9,27.914285714285715,29.9,29.9,28.133333333333333,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9
