item_code,item,unit,item_group,item_category,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-27,2024-08-28,2024-08-29,2024-08-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.39,9.39,8.29,8.29,8.545370370370371,7.89,7.89,7.89,7.89,7.89,8.454464285714286,7.89,8.45,8.45,8.45,8.45,8.45,8.647543859649124,8.45,8.45,8.625,7.79,7.79,,
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,,,,,12.212857142857143,,,,,,12.24875,,,,,,,12.387777777777778,,,,,,,
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,23.19,23.19,23.19,23.19,27.595,23.19,23.19,23.19,23.19,23.19,27.69666666666667,23.19,,,,,,29.95,,,,,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,,,24.8475,,,,,,24.8475,,,,,,,24.231666666666666,,,,,,,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,6.89,5.54875,6.89,6.89,,,,4.928571428571429,,,,,,,5.221111111111111,,,,,,,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.29,5.49,,5.49,6.609,5.49,,5.49,5.49,5.49,6.651304347826088,,,,6.29,,,6.564782608695652,6.89,6.89,6.89,6.89,6.89,6.89,6.89
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,6.0,,,,,,6.166666666666667,,,,,,,6.166666666666667,,,,,,,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,3.758,,,,,,3.8225,,,,,,,3.8225,,,,,,,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.69,4.69,4.69,2.79,3.7079999999999997,2.79,,2.79,2.79,2.79,3.7386666666666666,2.79,2.79,2.79,3.19,3.59,3.59,3.9394117647058824,3.59,3.59,3.59,3.59,3.59,2.69,2.69
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,9.99,9.99,8.79,8.79,11.813333333333333,,,8.79,,,9.89375,8.79,8.79,8.79,8.79,8.79,8.79,10.2075,8.79,8.79,8.79,9.39,9.39,9.39,9.39
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,8.19,6.95,8.19,8.19,8.19,,,6.71125,,,,,,,6.5975,,,,8.19,8.19,8.19,8.19
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,2.99,2.99,2.99,2.99,4.495,,,4.39,4.39,4.39,4.621111111111111,4.39,4.39,4.39,4.39,4.39,4.39,4.594230769230769,4.39,4.39,4.39,4.39,4.39,4.39,4.7
26,ANGGUR HIJAU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,20.0,,,,,,20.0,,,,,,,20.0,,,,,,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,19.527142857142856,,,,,,20.85571428571429,,,,,,,20.384285714285713,,,,,,,
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,2.5,,,,,,2.5,,,,,,,2.5,,,,,,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.69,,,,7.8325000000000005,,,,,,8.036363636363637,,5.69,5.69,5.69,5.69,5.69,7.768000000000001,5.69,5.69,5.69,5.69,5.69,5.69,5.69
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,,,,,,,,,,8.0,,,,,,,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,26.285238095238096,,,,,,25.85818181818182,,,,,,,26.38608695652174,,,28.0,,,,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,11.49,11.49,10.819142857142857,11.49,12.99,12.99,12.99,12.99,11.029250000000001,12.99,12.99,12.99,12.99,11.49,11.49,10.79923076923077,12.99,12.99,12.99,12.99,11.49,11.49,11.49
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,12.190769230769233,,,,,,11.997777777777777,,,,,,,11.498000000000001,,,,,,,
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,31.633333333333336,,,,,,31.633333333333336,,,,,,,32.0,,,,,,,
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,27.96666666666667,,,,,,27.96666666666667,,,,,,,28.0,,,,,,,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,15.249166666666667,,,,,,15.4195,,,,,,,15.30409090909091,,,,,,,
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,37.86125,,,,,,36.888999999999996,,,,,,,37.21,,,,,,,
