item_code,item,unit,item_group,item_category,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-27,2025-04-28,2025-04-29,2025-04-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.99,8.99,8.99,8.99,9.79,9.4305,9.19,9.19,9.19,8.89,8.89,8.89,9.122321428571428,8.39,8.39,8.39,8.39,9.79,8.39,9.089818181818181,8.39,8.39,9.79,8.79,,9.386521739130433,9.355625,9.39
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,,,,,,12.399999999999999,,,,,,12.0,12.436363636363637,12.0,12.0,12.0,,12.0,12.0,12.483333333333334,12.0,12.0,12.0,12.0,12.0,12.449166666666665,12.0,12.0
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,,,,,21.5,,,,,,,21.5,,,,,,21.5,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,,,,22.8,,,,,,,21.633333333333336,,,,,,,22.266666666666666,,,,,,21.296666666666667,,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,5.175,,,,,,,5.38,,,6.49,6.49,6.49,6.49,5.689,,,,,,5.688000000000001,5.996666666666667,6.49
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,5.79,6.049285714285714,,,5.79,,,5.79,5.905625,5.79,5.79,4.79,4.79,4.79,5.79,5.956428571428572,,,5.79,5.79,,6.165555555555556,5.471818181818182,5.79
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,6.5,,,,,,,6.333333333333333,,,,,,,6.25,,,,,,6.5,6.0,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,3.66,,,,,,,3.8600000000000003,,,,,,,3.9,,,,,,3.6666666666666665,,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,1.69,1.69,1.69,1.69,1.69,2.989130434782609,1.69,1.69,1.69,1.69,1.69,1.69,3.012272727272727,1.69,1.69,1.69,1.69,1.69,1.69,3.1556521739130434,1.69,1.69,1.69,1.89,,3.0205555555555557,3.6980000000000004,2.49
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,9.99,9.99,9.99,10.698,,,,,,9.99,10.425714285714287,9.99,11.99,8.99,8.99,8.99,10.99,9.98375,10.99,10.99,10.99,10.99,,9.055,11.245000000000001,10.99
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,8.79,8.79,8.79,6.631666666666667,8.79,8.79,8.79,8.79,8.79,8.79,6.2128571428571435,,,8.79,8.79,,8.79,7.0725,,,,8.79,,6.57,8.395,8.79
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,4.99,4.99,,,4.99,4.560952380952381,4.49,4.49,4.49,4.49,4.49,4.49,4.512173913043478,,,,,,4.49,4.5744,,,3.99,,,4.683809523809524,4.281666666666667,4.49
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,15.336000000000002,,,,,,,15.4225,,,,,,,21.197499999999998,,,,,,19.599999999999998,,
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,2.8,,,,,,,2.8,,,,,,,2.8,,,,,,2.8,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.99,4.99,,,,7.892142857142858,,,,,,,8.0,6.99,,,,,,7.831666666666667,,,,,,7.74875,6.998,4.99
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,7.245,,,,,,6.99,7.245,6.99,6.99,5.89,5.89,5.89,6.99,7.245,6.99,6.99,6.99,,,7.5,,
