item_code,item,unit,item_group,item_category,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28,2025-09-29,2025-09-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.2,8.445,8.445,8.445,8.445,9.05,8.980657894736842,8.695,8.695,8.965064935064936,8.9,8.9,9.2,9.0,9.0,8.625,8.625,8.85,9.007105263157895,8.344999999999999,8.344999999999999,8.774166666666668,8.395,8.7,8.7,8.934615384615384,8.85
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,,12.0,12.0,12.0,12.0,12.0,12.502727272727272,12.0,12.0,12.43,12.0,,,12.0,12.0,12.0,12.0,,12.384545454545453,12.0,12.0,12.0,12.0,12.0,12.0,12.345263157894736,12.0
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,32.45,,,32.45,,,,,,,,,28.5,,,,,,,28.5,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,,,,,23.06125,,,23.747999999999998,,,,,,,,,23.548,,,,,,,24.13625,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,2.5,,,2.5,,,,,,,,,2.7,,,,,,,,
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,5.0,,,5.0,,,,,,,,,5.0,,,,,,,5.0,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,26.964375,,,26.88625,,,,,,,,,25.92866666666667,,,,,,,26.384285714285713,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,8.0,8.0,8.0,8.0,8.0,11.374318181818182,8.0,9.0,11.601627906976745,8.0,8.0,8.0,,,,,,11.55953488372093,,,9.666666666666666,8.0,,,11.360277777777778,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,14.5352,,,14.867096774193548,,,,,11.0,11.0,11.0,,13.720303030303029,12.0,,,,,,14.552333333333333,18.0
