item_code,item,unit,item_group,item_category,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10,2025-10-11,2025-10-12,2025-10-13,2025-10-14,2025-10-15,2025-10-16,2025-10-17,2025-10-18,2025-10-19,2025-10-20,2025-10-21,2025-10-22,2025-10-23,2025-10-24,2025-10-25,2025-10-26,2025-10-27,2025-10-28,2025-10-29,2025-10-30,2025-10-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.85,9.0,8.595,8.595,9.0,9.188169014084508,9.0,8.745000000000001,8.745000000000001,9.0,8.745000000000001,8.745000000000001,9.183108108108108,9.0,9.1,9.202027027027027,9.0,9.0,9.1,,8.844999999999999,9.1,8.844999999999999,8.945,8.945,9.2,9.36921052631579,9.35,9.35,9.35,9.35
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,12.0,12.0,12.0,12.0,12.0,12.350476190476192,12.0,12.0,12.0,12.0,12.0,,12.193000000000001,12.0,12.0,12.135,12.0,,12.0,12.12,12.0,12.0,12.0,12.0,12.0,12.0,12.113684210526316,12.0,12.0,12.0,12.0
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,29.95,,,,,,,29.96666666666667,,,29.5,,,,30.9,,,,,,,29.5,,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,,,,22.98,,,,,,,24.08625,,,22.06,,,,25.7225,,,,,,,23.689999999999998,,,,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,4.5,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,5.0,,,,,,,5.0,,,5.0,,,,,,,,,,,5.0,,,,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,26.138666666666666,,,,,,,26.53212121212121,,,27.040526315789474,,,,25.06125,,,,,,,26.285172413793102,,,,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,11.344255319148937,,,,,8.0,8.0,11.281555555555556,9.0,9.0,11.647948717948717,8.0,9.0,8.0,,,,,,,,11.730571428571428,,,,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,15.025555555555556,,,,,,,14.864347826086956,,11.0,16.158518518518516,10.0,11.0,11.0,11.5,,,,,,,15.007200000000001,,,11.0,
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,13.127272727272727,,,,,,,13.099333333333334,,,12.843125,,,,,,,,,,,12.0,,,,
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,19.7434375,,,12.0,12.0,14.0,14.0,19.333846153846153,,,19.83423076923077,,,,,12.0,12.0,12.0,12.0,12.0,12.0,19.195862068965514,,,,
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,9.39,8.695,8.695,8.695,8.695,10.568000000000001,8.695,8.695,8.695,8.695,8.695,8.695,10.7685,8.695,8.695,10.637777777777778,8.0,8.0,8.695,11.99,8.695,8.695,8.695,8.695,8.695,8.695,10.667826086956522,8.695,8.695,8.695,8.695
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.99,9.99,9.99,9.99,9.495000000000001,13.851012658227848,9.99,9.99,9.49,9.594999999999999,9.995000000000001,9.995000000000001,13.97886075949367,9.995000000000001,9.745000000000001,13.987066666666665,9.995000000000001,9.995000000000001,9.745000000000001,17.947499999999998,9.745000000000001,9.745000000000001,9.0,9.0,9.5,9.5,14.043424657534247,9.5,9.5,9.49,9.49
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,12.99,16.008636363636363,12.99,12.99,14.99,13.39,13.39,14.99,15.870444444444447,14.99,14.99,15.268333333333333,,,14.99,,14.99,14.99,,,,,15.520714285714286,10.99,10.99,10.99,10.99
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,12.245000000000001,15.326666666666666,10.645,10.495000000000001,10.0,15.589733333333333,10.5,9.5,9.5,9.5,9.5,9.5,15.499014084507044,9.5,9.5,14.758955223880598,,,,17.830000000000002,15.99,12.995000000000001,10.0,15.99,15.99,,15.221666666666668,,,10.0,11.6
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.133333333333333,9.133333333333333,9.133333333333333,9.133333333333333,9.133333333333333,11.187149122807018,9.133333333333333,9.133333333333333,9.133333333333333,9.9,9.9,9.133333333333333,11.161928251121077,9.133333333333333,9.133333333333333,11.11554945054945,9.133333333333333,9.133333333333333,9.133333333333333,10.794285714285715,9.133333333333333,9.133333333333333,9.133333333333333,9.133333333333333,9.133333333333333,9.133333333333333,10.9847533632287,9.133333333333333,7.8,9.133333333333333,9.133333333333333
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.89,7.4399999999999995,7.4399999999999995,6.96,7.293333333333333,9.244095238095237,6.695,7.126666666666666,7.495,7.0,7.0,7.66,9.440884955752212,7.66,8.13,9.459428571428571,7.3933333333333335,7.226666666666667,6.995,9.252307692307692,7.226666666666667,7.226666666666667,8.74,8.74,7.826666666666667,7.826666666666667,9.758899082568808,8.16,8.16,7.993333333333333,7.993333333333333
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.95,7.95,7.95,7.95,7.95,11.557108433734939,7.95,6.0,7.5,7.5,7.5,8.7,11.427857142857144,8.7,8.7,11.47175,8.43,8.43,8.729999999999999,11.854444444444445,8.729999999999999,8.729999999999999,8.7,8.7,8.7,8.13,11.682444444444446,7.495,7.495,9.66,9.66
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.74,7.74,7.74,7.226666666666667,6.993333333333333,8.648514851485148,7.16,7.16,7.66,8.126666666666667,8.695,8.445,8.741340206185567,7.126666666666668,6.960000000000001,8.68625,7.1,6.55,6.55,8.239,6.826666666666667,7.24,9.39,7.69,7.626666666666668,7.626666666666668,8.673181818181819,7.793333333333334,7.793333333333334,6.993333333333333,7.49
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,,,,,,3.1076923076923078,,,,,,,3.1213513513513513,,,3.177142857142857,,,,2.0,,,,,,,3.235294117647059,,,,
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,,,,,,12.166666666666666,,,,,,,12.166666666666666,,,11.142857142857142,,,,,,,,,,,12.333333333333334,,,,
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,,,,,,10.365,,,,,,,10.76125,,,10.76125,,,,,,,,,,,10.76125,,,,
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.8266666666666667,2.8266666666666667,2.8449999999999998,2.8449999999999998,2.8266666666666667,4.0756250000000005,2.8266666666666667,2.8266666666666667,2.8266666666666667,2.645,2.645,2.893333333333333,4.128536585365854,2.893333333333333,2.893333333333333,4.03223880597015,2.8449999999999998,2.8449999999999998,2.8449999999999998,4.631666666666667,2.8449999999999998,2.8,2.8,2.8,2.8449999999999998,2.8449999999999998,4.157922077922079,2.8449999999999998,2.8449999999999998,2.8449999999999998,2.8449999999999998
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,,5.736571428571429,,,,,,,5.684705882352941,,,5.4496875,,,,6.4816666666666665,2.79,2.79,,,,2.79,5.554193548387097,2.79,2.79,,
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.326666666666666,8.326666666666666,7.995,7.995,8.326666666666666,10.727962962962962,8.326666666666666,7.995,7.995,7.995,7.995,8.326666666666666,10.763243243243243,8.995000000000001,8.495000000000001,10.835462962962962,7.995,7.995,7.995,15.0,7.995,7.995,7.995,7.995,7.995,7.995,10.672568807339449,7.995,7.995,7.995,7.995
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.245,4.245,4.245,4.245,3.5,5.0280281690140844,3.5,3.1950000000000003,3.1950000000000003,3.5,3.5,3.7933333333333334,4.977394366197183,3.7266666666666666,3.7266666666666666,4.89064,4.145,4.145,3.7266666666666666,5.731333333333334,3.7266666666666666,4.145,4.145,4.145,4.145,4.145,5.0172932330827065,4.145,4.145,4.145,4.145
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.3,3.23,3.23,3.296666666666667,3.4000000000000004,4.676691176470588,3.3,3.4000000000000004,3.55,3.995,3.995,3.8449999999999998,4.671884057971015,3.8449999999999998,4.495,4.750661157024794,4.445,4.1933333333333325,4.093333333333333,4.504117647058823,3.9266666666666663,3.8266666666666667,3.4599999999999995,3.7266666666666666,3.7266666666666666,3.7266666666666666,4.75703125,3.8266666666666667,3.893333333333333,3.893333333333333,3.8266666666666667
