item_code,item,unit,item_group,item_category,2025-11-01,2025-11-02,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-08,2025-11-09,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-16,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-22,2025-11-23,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28,2025-11-29,2025-11-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.35,9.1,9.527361111111112,9.25,9.25,9.25,9.25,9.25,9.25,9.606081081081081,9.25,9.45,9.45,9.3,9.45,9.584166666666668,9.45,9.45,9.45,9.45,9.45,9.35,9.605223880597014,9.2,9.2,9.2,9.35,9.35,9.35
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,12.0,12.0,12.308,12.0,12.0,12.0,12.0,,,12.364761904761906,12.0,12.0,12.0,12.0,12.0,12.302727272727275,12.0,12.0,12.0,12.0,12.0,12.0,12.269523809523811,12.0,12.0,12.0,12.0,,12.0
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,29.75,,,,,,,33.075,,,,,,33.325,,,,,,,34.93333333333333,,,,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,23.829,,,,,,,23.934545454545454,,,,,,23.856666666666666,,,,,,,24.015,,,,,,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,,3.4,,,,,,4.0,,,,,,,,,,,,,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,5.0,,,,,,,5.0,,,,,,5.0,,,,,,,5.0,,,,,,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,24.823103448275862,,,,,,,25.692333333333334,,,,,,25.97392857142857,,,,,,,25.107499999999998,,,,,,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,11.4496,,8.0,,,,,11.559767441860465,,,,,,11.195,8.0,,,,,,11.18923076923077,,,,,,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,10.0,10.0,14.343947368421054,,,,,,,14.8303125,,,,,10.0,14.620263157894735,,,,,,,14.926551724137932,,,,,,
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,6.0,,14.1175,,,,,,,11.924166666666666,,,,,10.0,13.266666666666667,,,,,,,13.49076923076923,,,,,,
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.0,12.0,18.7621875,,,,,,,18.12933333333333,,,,,,18.19965517241379,,,,,,,18.610370370370372,,13.0,13.0,13.0,13.0,14.0
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,8.695,8.695,10.539090909090909,8.695,8.695,8.695,8.695,8.695,8.695,10.438500000000001,8.695,8.695,8.695,8.0,8.0,10.489545454545453,8.695,8.695,8.695,8.695,8.695,8.695,10.607727272727272,8.695,8.695,8.695,8.695,8.695,8.695
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.245000000000001,9.245000000000001,13.86763157894737,9.245000000000001,8.995000000000001,8.5,8.5,8.5,8.695,13.907625000000001,9.195,9.195,10.245000000000001,9.745000000000001,9.745000000000001,13.809466666666667,9.745000000000001,9.745000000000001,10.99,10.99,10.99,10.99,13.859864864864866,10.99,10.99,10.99,10.99,10.995000000000001,10.995000000000001
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.99,10.99,16.078541666666666,12.49,12.49,,,,,15.89022222222222,11.99,11.99,10.99,10.99,12.99,16.013658536585364,13.49,13.49,13.49,13.49,13.49,13.49,16.160454545454545,13.49,13.49,12.99,12.99,12.99,
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,12.995000000000001,10.0,15.543783783783784,13.495,13.245,9.995000000000001,9.995000000000001,9.995000000000001,10.745000000000001,16.12835616438356,16.99,16.99,,,,16.19931506849315,16.99,16.99,13.245,13.245,13.245,13.344999999999999,16.2831884057971,13.344999999999999,13.645,14.445,14.594999999999999,14.594999999999999,14.726666666666667
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.133333333333333,8.5975,10.95359090909091,8.5975,8.5975,9.133333333333333,9.133333333333333,9.133333333333333,9.133333333333333,10.962272727272726,9.133333333333333,9.133333333333333,9.133333333333333,9.133333333333333,9.133333333333333,11.032318181818182,9.133333333333333,9.133333333333333,9.133333333333333,9.133333333333333,9.133333333333333,9.133333333333333,11.012914798206278,7.8,7.8,7.8,7.8,7.8,7.8
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.993333333333333,7.993333333333333,9.857572815533981,7.993333333333333,8.49,8.99,8.99,8.49,7.993333333333333,9.806826923076922,7.760000000000001,7.645,8.14,8.29,9.145,9.908484848484848,8.76,8.5,7.745,7.745,8.093333333333334,9.193333333333333,10.162788461538462,9.36,11.395,11.594999999999999,12.145,11.293333333333331,10.295
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.5,7.5,12.727209302325582,,10.995000000000001,10.995000000000001,12.993333333333334,12.993333333333334,12.993333333333334,13.429615384615385,13.49,12.660000000000002,12.660000000000002,12.660000000000002,11.993333333333334,13.017999999999999,10.445,10.445,11.626666666666667,11.126666666666667,11.126666666666667,11.126666666666667,12.459354838709677,11.126666666666667,11.126666666666667,11.126666666666667,11.96,12.940000000000001,14.445
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.993333333333333,6.993333333333333,8.641764705882352,7.495,8.99,7.49,7.49,7.16,7.16,8.629418604651162,6.260000000000001,6.390000000000001,6.760000000000001,7.260000000000001,7.260000000000001,9.130315789473684,8.245000000000001,8.745000000000001,8.16,7.993333333333333,8.493333333333334,8.493333333333334,9.406,8.493333333333334,10.245000000000001,8.993333333333334,9.66,8.49,
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,,,3.236111111111111,,,,,,,3.2,,,,,,3.2486486486486488,,,,,,,3.264705882352941,,,,,,
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,,,12.333333333333334,,,,,,,12.333333333333334,,,,,,12.333333333333334,,,,,,,12.333333333333334,,,,,,
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,,,10.76125,,,,,,,10.76125,,,,,,10.76125,,,,,,,10.76125,,,,,,
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.8,2.8449999999999998,4.252236842105264,2.8449999999999998,3.3,3.045,3.045,2.9450000000000003,2.9450000000000003,4.250422535211267,3.0,3.3,3.3,3.3,3.3,4.283857142857143,3.3,3.3,3.0949999999999998,3.0949999999999998,3.0949999999999998,3.0949999999999998,4.279436619718309,3.0949999999999998,3.3,3.3,3.3,3.3,3.3
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,3.19,5.638484848484849,2.89,2.89,,,,3.19,5.599032258064516,3.19,3.19,3.19,,3.19,5.846333333333333,3.19,3.19,3.19,3.19,3.19,3.19,5.645357142857143,3.19,3.19,,,,3.19
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.0,9.0,10.694727272727274,8.495000000000001,8.495000000000001,8.495000000000001,8.495000000000001,8.495000000000001,8.495000000000001,10.652000000000001,8.495000000000001,8.495000000000001,8.495000000000001,8.495000000000001,8.495000000000001,10.658738738738737,8.495000000000001,8.495000000000001,8.495000000000001,8.495000000000001,8.495000000000001,8.495000000000001,10.765636363636364,8.495000000000001,8.495000000000001,8.495000000000001,8.495000000000001,8.495000000000001,8.495000000000001
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.3,4.145,4.981884057971015,4.145,3.4,4.195,4.195,4.195,4.195,4.934090909090909,4.195,4.195,4.195,4.195,4.195,4.992394366197184,3.7266666666666666,3.7266666666666666,3.7266666666666666,3.7266666666666666,3.7266666666666666,3.7266666666666666,4.878642857142857,3.7266666666666666,3.426666666666667,3.6950000000000003,3.6950000000000003,3.6950000000000003,3.426666666666667
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.893333333333333,3.893333333333333,4.653623188405797,3.4266666666666663,3.3266666666666667,3.3449999999999998,3.295,3.295,3.293333333333333,4.587460317460318,3.295,3.4450000000000003,3.2,3.2,3.2,4.552109375,3.745,3.645,3.645,3.645,3.645,3.645,4.585187969924812,3.645,3.6266666666666665,3.6266666666666665,3.526666666666667,3.8266666666666667,4.260000000000001
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.826666666666667,4.826666666666667,5.781,5.24,5.24,6.99,6.99,6.99,5.24,5.791544715447155,,5.395,5.395,4.1,4.5,5.900769230769231,3.795,3.795,3.9450000000000003,4.195,4.545,4.695,6.059453125,5.726666666666667,5.726666666666667,6.359999999999999,6.526666666666666,6.793333333333333,6.695
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,3.6633333333333336,3.6633333333333336,4.5763320463320465,3.6633333333333336,3.6633333333333336,3.6633333333333336,3.6633333333333336,3.263333333333333,3.263333333333333,4.564866920152091,3.6633333333333336,3.6633333333333336,3.6633333333333336,3.6633333333333336,3.6633333333333336,4.601825095057034,3.6633333333333336,3.6633333333333336,3.6633333333333336,3.6633333333333336,3.6633333333333336,3.6633333333333336,4.631379310344827,3.6633333333333336,3.6633333333333336,3.6633333333333336,3.6633333333333336,3.495,3.6633333333333336
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,6.0,6.0,7.543145161290322,6.0,6.0,6.0,6.0,4.99,4.99,7.715234375,5.495,5.495,5.495,5.495,5.495,8.107835820895522,4.99,4.99,4.99,6.945,6.945,6.945,8.328359375,7.295,7.196666666666666,7.295,6.945,4.99,6.945
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,,,12.299444444444443,,,,,,,12.410555555555554,,,,,,12.152105263157894,,,,,,,12.269499999999999,,,,,,
180,TEH BOH (UNCANG),100 beg,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,,,,,,,,,,,14.613913043478261,,,,,,
