item_code,item,unit,n_original,original_std,n_trimmed,new_std,std_reduction,std_reduction_pct
1017,FISHERMAN'S FRIEND ORIGINAL,25 g,1,,1,,,
1019,MINYAK ANGIN CAP KAPAK,3 ml,1,,1,,,
1020,VICKS VAPORUB,10 g,1,,1,,,
1063,KINDER BUENO - MILK & HAZELNUT,43 g,1,,1,,,
1468,PANADOL FOR CHILDREN SUSPENSION 1-6,60ml,1,,1,,,
1659,DARLIE TRAVEL KIT ADULT,1 unit,1,,1,,,
1669,KOTEX SOFT AND SMOOTH OVERNIGHT WING 8 PADS (28CM),paket,1,,1,,,
1670,KOTEX SOFT & SMOOTH MAXI WING 10 PADS,paket,1,,1,,,
1677,KLEENEX FACIAL TISSUE VINTAGE SOFTPACK 50S X 3,paket,1,,1,,,
1678,FUMAKILLA D1 (LINGKARAN NYAMUK) - 1 X 10'S,paket,1,,1,,,
1680,PANADOL ACTIFAST 10S,paket,1,,1,,,
1682,STREPSILS ORIGINAL 6 LOZENGES,paket,1,,1,,,
1683,MISTER POTATO CRISPS (PELBAGAI PERISA) - BOTOL,160 g,1,,1,,,
1684,PRINGLES POTATO CRISPS (PELBAGAI PERISA) - BOTOL,110 g,1,,1,,,
1691,OREO BISKUT SANDWICH COKLAT JENAMA KRAFT (PELBAGAI PERISA),paket,1,,1,,,
1692,CREAM O BISKUT SANDWICH JENAMA JACK N JILL (PELBAGAI PERISA),132g,1,,1,,,
1693,CHIPSMORE ORIGINAL,163.2g,1,,1,,,
1695,ENO SACHET GINGER,2x4.3g,1,,1,,,
1696,CHIPSMORE MINI HAZELNUTS,88g,1,,1,,,
1697,TIGER BISKUAT SUSU,75 g,1,,1,,,
1699,CADBURY DAIRY MILK HAZELNUT,40 g,1,,1,,,
1700,KINDER JOY FOR BOYS/FOR GIRLS,20 g,1,,1,,,
1704,NIPS CHOCOLATE COATED ROASTED PEANUT,85g,1,,1,,,
1808,MENTOS (PELBAGAI PERISA),37g,1,,1,,,
1889,AMBI PUR GEL FRESH AIR FRESHENER (PELBAGAI JENIS),180ml,1,,1,,,
1890,BYE BYE FEVER SUPER COOL (DEWASA),6sheets,1,,1,,,
1893,MUNCHY'S MUZIC WAFER VANILLA CUBE,90g,1,,1,,,
