item_code,item,unit,item_group,item_category,2022-01-25
1017,FISHERMAN'S FRIEND ORIGINAL,25 g,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN,5.71
1019,MINYAK ANGIN CAP KAPAK,3 ml,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN,4.5
1020,VICKS VAPORUB,10 g,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN,6.1
1063,KINDER BUENO - MILK & HAZELNUT,43 g,BARANGAN KEDAI SERBANEKA,COKLAT,5.8
1468,PANADOL FOR CHILDREN SUSPENSION 1-6,60ml,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN,11.3
1659,DARLIE TRAVEL KIT ADULT,1 unit,BARANGAN KEDAI SERBANEKA,UBAT GIGI,8.9
1669,KOTEX SOFT AND SMOOTH OVERNIGHT WING 8 PADS (28CM),paket,BARANGAN KEDAI SERBANEKA,TUALA WANITA,4.29
1670,KOTEX SOFT & SMOOTH MAXI WING 10 PADS,paket,BARANGAN KEDAI SERBANEKA,TUALA WANITA,4.9
1677,KLEENEX FACIAL TISSUE VINTAGE SOFTPACK 50S X 3,paket,BARANGAN KEDAI SERBANEKA,TISU,5.2
1678,FUMAKILLA D1 (LINGKARAN NYAMUK) - 1 X 10'S,paket,BARANGAN KEDAI SERBANEKA,PENGHALAU NYAMUK,2.1
1680,PANADOL ACTIFAST 10S,paket,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN,9.3
1682,STREPSILS ORIGINAL 6 LOZENGES,paket,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN,4.9
1683,MISTER POTATO CRISPS (PELBAGAI PERISA) - BOTOL,160 g,BARANGAN KEDAI SERBANEKA,MAKANAN RINGAN,6.4
1684,PRINGLES POTATO CRISPS (PELBAGAI PERISA) - BOTOL,110 g,BARANGAN KEDAI SERBANEKA,MAKANAN RINGAN,6.5
1691,OREO BISKUT SANDWICH COKLAT JENAMA KRAFT (PELBAGAI PERISA),paket,BARANGAN KEDAI SERBANEKA,BISKUT,5.2
1692,CREAM O BISKUT SANDWICH JENAMA JACK N JILL (PELBAGAI PERISA),132g,BARANGAN KEDAI SERBANEKA,BISKUT,4.0
1693,CHIPSMORE ORIGINAL,163.2g,BARANGAN KEDAI SERBANEKA,BISKUT,5.5
1695,ENO SACHET GINGER,2x4.3g,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN,3.5
1696,CHIPSMORE MINI HAZELNUTS,88g,BARANGAN KEDAI SERBANEKA,BISKUT,3.1
1697,TIGER BISKUAT SUSU,75 g,BARANGAN KEDAI SERBANEKA,BISKUT,2.2
1699,CADBURY DAIRY MILK HAZELNUT,40 g,BARANGAN KEDAI SERBANEKA,COKLAT,4.9
1700,KINDER JOY FOR BOYS/FOR GIRLS,20 g,BARANGAN KEDAI SERBANEKA,COKLAT,5.8
1704,NIPS CHOCOLATE COATED ROASTED PEANUT,85g,BARANGAN KEDAI SERBANEKA,COKLAT,3.9
1808,MENTOS (PELBAGAI PERISA),37g,BARANGAN KEDAI SERBANEKA,COKLAT,1.8
1889,AMBI PUR GEL FRESH AIR FRESHENER (PELBAGAI JENIS),180ml,BARANGAN KEDAI SERBANEKA,PEWANGI RUMAH,14.0
1890,BYE BYE FEVER SUPER COOL (DEWASA),6sheets,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN,25.2
1893,MUNCHY'S MUZIC WAFER VANILLA CUBE,90g,BARANGAN KEDAI SERBANEKA,BISKUT,5.3
