item_code,item,unit,item_group,item_category,2022-03-02,2022-03-03
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,1.41875,1.5
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,5.766666666666667,
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,2.0535714285714284,1.5
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,2.2199999999999998,1.5
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,5.883076923076922,6.0
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.001492537313434,5.0
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,6.254761904761905,
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,6.428571428571429,
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,5.576923076923077,
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,5.369565217391305,5.0
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,6.6,7.0
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,5.2894736842105265,5.0
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,6.410714285714286,6.5
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,5.283783783783784,5.0
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,6.820689655172414,7.0
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,7.517241379310345,8.0
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.135593220338983,7.0
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,4.647887323943662,5.0
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.77027027027027,7.0
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.28125,7.0
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.785714285714286,7.0
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.0625,7.0
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.479166666666667,
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK,3.6184210526315788,3.5
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK,3.935820895522388,4.0
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK,3.9694915254237286,4.0
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK,4.25,
1202,DAGING MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,4.730769230769231,5.0
1203,DAGING MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,4.633333333333334,5.0
1204,DAGING MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,4.868421052631579,
1205,DAGING MASAK PAPRIK,sepiring,MAKANAN SIAP MASAK,LAUK,5.026315789473684,5.0
1206,SOTONG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,6.083333333333333,
1207,SOTONG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,5.7368421052631575,
1208,SOTONG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,5.6923076923076925,
1209,SOTONG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.428571428571429,
1210,UDANG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,6.6,
1211,UDANG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,6.416666666666667,5.0
1212,UDANG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,6.5,
1213,UDANG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.5,
1214,SAYUR CAMPUR,sepiring,MAKANAN SIAP MASAK,LAUK,2.9745762711864407,
1215,SAYUR KAILAN IKAN MASIN,sepiring,MAKANAN SIAP MASAK,LAUK,4.825,
1216,SAYUR KANGKUNG GORENG BELACAN,sepiring,MAKANAN SIAP MASAK,LAUK,3.2948717948717947,
1232,TELUR MATA KERBAU,sebiji,MAKANAN SIAP MASAK,LAUK,1.060493827160494,1.0
1233,TELUR DADAR,sebiji,MAKANAN SIAP MASAK,LAUK,1.4493150684931506,1.5
1234,TELUR BISTIK,1 set,MAKANAN SIAP MASAK,LAUK,5.285714285714286,
1235,TELUR SETENGAH MASAK,sebiji,MAKANAN SIAP MASAK,LAUK,1.0685185185185184,0.8
1236,TELUR REBUS,sebiji,MAKANAN SIAP MASAK,LAUK,1.0162162162162163,
1237,TELUR MASIN,sebiji,MAKANAN SIAP MASAK,LAUK,1.726,1.6
1238,SUP AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,4.979166666666667,5.0
1239,SUP DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,6.2105263157894735,5.0
1240,SUP EKOR,semangkuk,MAKANAN SIAP MASAK,LAUK,10.909090909090908,
1241,SUP CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,6.527777777777778,
1242,TOM YAM CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,6.897058823529412,6.0
1243,TOM YAM AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,5.828571428571428,6.0
1244,TOM YAM DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,6.258064516129032,6.0
1245,TOM YAM UDANG,semangkuk,MAKANAN SIAP MASAK,LAUK,6.857142857142857,6.0
1246,TOM YAM SOTONG,semangkuk,MAKANAN SIAP MASAK,LAUK,6.809523809523809,6.0
1247,MAGGI GORENG,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,4.916666666666667,4.5
1248,MAGGI SUP,semangkuk,MAKANAN SIAP MASAK,LAIN-LAIN,5.17741935483871,4.0
1250,ROTI TELUR,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.0923076923076924,
1252,KUIH LAPIS,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.48125,
1253,KUIH SERI MUKA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.4714285714285714,
1254,PAU KACANG MERAH,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,1.64,
1255,PAU AYAM,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,2.3,
1256,PAU KAYA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,2.1,
1264,AYAM SOS LEMON,sepiring,MAKANAN SIAP MASAK,LAUK,5.0,
1265,SOTONG GORENG ASAM,sepiring,MAKANAN SIAP MASAK,LAUK,6.0,
1278,SUP SAYUR MASIN,semangkuk,MAKANAN SIAP MASAK,LAUK,5.333333333333333,
1279,PAU DAGING,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,2.3,
1281,NASI BRIYANI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,9.166666666666666,
1282,NASI BRIYANI KAMBING,sepinggan,MAKANAN SIAP MASAK,NASI,13.666666666666666,
1285,AYAM MASAK KARI,seketul,MAKANAN SIAP MASAK,LAUK,3.9901960784313726,4.0
1289,SUP TULANG,semangkuk,MAKANAN SIAP MASAK,LAUK,9.083333333333334,
1291,ROTI PISANG,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.5,
1292,ROTI BAWANG,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.8526315789473686,
1293,ROTI BOOM,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.6800000000000002,
1294,RAWA TOSAI,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.0,
1295,ROTI TISU,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.0,
1296,CAPATI,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.7,
1298,ROTI BAKAR,1 set,MAKANAN SIAP MASAK,LAIN-LAIN,1.9300000000000002,
1299,MURTABAK AYAM,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,4.5,
1300,MURTABAK DAGING,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,4.5,
1301,MURTABAK KAMBING,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,4.0,
1307,AIR SUAM,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,0.24285714285714288,
1309,Kopi Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.5774193548387097,1.2
1311,TEH 'O' LIMAU PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.4422222222222223,1.2
1312,Teh Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.565625,1.2
1314,TEH HALIA PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.8627118644067797,1.4
1315,NESCAFE PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.9144444444444446,1.5
1317,NESLO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.262650602409639,1.5
1318,HORLICKS PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.1681159420289853,1.5
1319,MILO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.9344444444444444,1.5
1320,BARLI PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.540677966101695,1.4
1321,MILO 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.7944444444444445,1.4
1322,AIR KOSONG,gelas besar,MAKANAN SIAP MASAK,MINUMAN,0.3127659574468085,0.2
1339,JUS EPAL,segelas,MAKANAN SIAP MASAK,MINUMAN,3.240740740740741,3.0
1340,JUS MANGGA,segelas,MAKANAN SIAP MASAK,MINUMAN,3.8636363636363638,
1341,JUS TEMBIKAI,segelas,MAKANAN SIAP MASAK,MINUMAN,3.475,3.5
1343,JUS BELIMBING,segelas,MAKANAN SIAP MASAK,MINUMAN,3.5714285714285716,3.0
1344,JUS LAICI,segelas,MAKANAN SIAP MASAK,MINUMAN,2.904444444444444,2.0
1358,ROTI SARDIN,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,3.526315789473684,
1359,KOPI 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.1910112359550562,1.0
1360,TEH 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.1300000000000001,1.0
1469,NESCAFE ''O'' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.6722222222222223,1.4
1728,NASI GORENG BIASA,sepinggan,MAKANAN SIAP MASAK,NASI,4.642857142857143,5.0
1729,NASI GORENG SEAFOOD,sepinggan,MAKANAN SIAP MASAK,NASI,7.246428571428572,7.0
1730,MI GORENG BIASA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,4.603896103896104,5.0
1731,MI GORENG MAMAK,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.396551724137931,
1732,MI HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.7368421052631575,7.0
1733,MI SUP (AYAM/DAGING),semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.310344827586207,4.5
1734,MI TOM YAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.090909090909091,7.0
1735,MI BANDUNG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.829268292682927,7.0
1736,MI LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.16,7.0
1737,MI KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.56,7.0
1738,BIHUN SUP (AYAM/DAGING),semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.341666666666667,4.5
1739,KUETIAU GORENG BIASA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,4.734375,5.0
1740,KUETIAU HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.763888888888889,7.0
1741,KUETIAU SUP (AYAM/DAGING),semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.37037037037037,4.5
1742,KUETIAU TOM YAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.21875,7.0
1743,KUETIAU BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.815789473684211,7.0
1744,KUETIAU LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.303571428571429,7.0
1745,KUETIAU KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.52,7.0
1746,CHAR KUETIAU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.666666666666667,
1747,MI HOKKIEN,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.0,
1748,KON LOH MI (KICAP),sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.0,
1749,WAN TAN MI,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.0,
1750,MI UDANG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.0,
1751,MI KARI,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.527272727272727,4.5
1752,DAGING KAMBING MASAK KARI,sepiring,MAKANAN SIAP MASAK,LAUK,4.0,
1753,PAK CHOY SOS TIRAM,sepiring,MAKANAN SIAP MASAK,LAUK,3.5,
1754,SAYUR TAUGEH,sepiring,MAKANAN SIAP MASAK,LAUK,2.026315789473684,
1757,IKAN SIAKAP GORENG (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,30.0,
1758,IKAN SIAKAP MASAM MANIS (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,28.0,
1759,IKAN SIAKAP TIGA RASA (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,28.0,
1760,IKAN SIAKAP KUKUS/STIM (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,28.0,
1765,IKAN BAWAL HITAM GORENG (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,5.6,
1766,IKAN BAWAL HITAM MASAM MANIS (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,5.666666666666667,
1767,IKAN BAWAL HITAM TIGA RASA (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,5.0,
1768,IKAN BAWAL HITAM KUKUS/STIM (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,10.0,
1772,IKAN KEMBUNG GORENG (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,4.075757575757576,4.0
1773,IKAN KEMBUNG MASAK KICAP (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,4.25,4.0
1774,IKAN KEMBUNG TIGA RASA (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,7.0,
1775,IKAN TENGGIRI GORENG,sekeping,MAKANAN SIAP MASAK,LAUK,5.0,
1776,IKAN TENGGIRI MASAK KARI,sekeping,MAKANAN SIAP MASAK,LAUK,5.75,
1777,IKAN TILAPIA GORENG BIASA (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,5.0,
1778,IKAN TILAPIA MASAM MANIS (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,7.0,
