item_code,item,unit,item_group,item_category,2022-05-11,2022-05-12,2022-05-17
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,1.4142857142857144,2.0,1.0
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,5.793478260869565,6.0,
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,2.0,,
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,2.274193548387097,,
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,5.744,8.5,5.5
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.042105263157894,,
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,6.18235294117647,9.0,
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,6.461538461538462,8.5,
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,5.375,8.5,
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,5.601694915254237,6.0,5.0
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,6.614285714285714,8.0,6.0
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,5.530612244897959,6.0,5.0
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,6.51,7.0,5.5
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,5.409090909090909,6.0,5.0
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,6.832142857142857,8.0,6.5
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,7.9375,8.5,7.5
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.245283018867925,7.0,7.0
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,4.838461538461538,,6.0
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.905405405405405,7.0,6.0
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.482142857142857,,6.0
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.9411764705882355,7.0,6.0
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.304347826086956,,7.0
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.431818181818182,,7.0
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK,3.65625,,3.0
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK,3.9714285714285715,5.0,3.0
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK,3.9849056603773585,,3.5
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK,4.166666666666667,,3.5
1202,DAGING MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,4.659090909090909,5.5,
1203,DAGING MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,4.5576923076923075,5.5,
1204,DAGING MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,4.823529411764706,6.0,
1205,DAGING MASAK PAPRIK,sepiring,MAKANAN SIAP MASAK,LAUK,4.8,6.0,
1206,SOTONG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,5.333333333333333,7.0,
1207,SOTONG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,5.083333333333333,7.0,
1208,SOTONG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,5.444444444444445,7.0,
1209,SOTONG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.4,7.0,
1210,UDANG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,6.333333333333333,7.0,
1211,UDANG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,6.166666666666667,7.0,
1212,UDANG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,6.4,7.0,
1213,UDANG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.4,7.0,
1214,SAYUR CAMPUR,sepiring,MAKANAN SIAP MASAK,LAUK,2.9431818181818183,5.0,2.0
1215,SAYUR KAILAN IKAN MASIN,sepiring,MAKANAN SIAP MASAK,LAUK,4.53125,,
1216,SAYUR KANGKUNG GORENG BELACAN,sepiring,MAKANAN SIAP MASAK,LAUK,3.4107142857142856,5.0,
1232,TELUR MATA KERBAU,sebiji,MAKANAN SIAP MASAK,LAUK,1.0441176470588236,1.0,1.0
1233,TELUR DADAR,sebiji,MAKANAN SIAP MASAK,LAUK,1.4466666666666668,1.75,1.0
1234,TELUR BISTIK,1 set,MAKANAN SIAP MASAK,LAUK,5.25,6.0,
1235,TELUR SETENGAH MASAK,sebiji,MAKANAN SIAP MASAK,LAUK,1.0333333333333332,,
1236,TELUR REBUS,sebiji,MAKANAN SIAP MASAK,LAUK,1.013793103448276,,
1237,TELUR MASIN,sebiji,MAKANAN SIAP MASAK,LAUK,1.7809523809523808,2.0,2.0
1238,SUP AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,5.166666666666667,,7.0
1239,SUP DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,6.17741935483871,,7.0
1240,SUP EKOR,semangkuk,MAKANAN SIAP MASAK,LAUK,11.285714285714286,,
1241,SUP CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,6.9411764705882355,,8.0
1242,TOM YAM CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,7.1,7.0,8.0
1243,TOM YAM AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,6.03125,,8.0
1244,TOM YAM DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,6.35,,8.0
1245,TOM YAM UDANG,semangkuk,MAKANAN SIAP MASAK,LAUK,6.7,,8.0
1246,TOM YAM SOTONG,semangkuk,MAKANAN SIAP MASAK,LAUK,6.65,,8.0
1247,MAGGI GORENG,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,4.945945945945946,,
1248,MAGGI SUP,semangkuk,MAKANAN SIAP MASAK,LAIN-LAIN,5.4375,6.5,
1250,ROTI TELUR,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.1346153846153846,,
1252,KUIH LAPIS,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.47500000000000003,,0.5
1253,KUIH SERI MUKA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.4636363636363636,,0.5
1254,PAU KACANG MERAH,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,1.64,,1.6
1255,PAU AYAM,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,2.433333333333333,,1.8
1256,PAU KAYA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,2.1,,1.6
1265,SOTONG GORENG ASAM,sepiring,MAKANAN SIAP MASAK,LAUK,6.0,,
1277,SUP IKAN,semangkuk,MAKANAN SIAP MASAK,LAUK,7.0,,
1278,SUP SAYUR MASIN,semangkuk,MAKANAN SIAP MASAK,LAUK,5.0,,
1279,PAU DAGING,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,2.433333333333333,,1.8
1281,NASI BRIYANI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,9.333333333333334,,8.0
1282,NASI BRIYANI KAMBING,sepinggan,MAKANAN SIAP MASAK,NASI,14.5,,9.0
1285,AYAM MASAK KARI,seketul,MAKANAN SIAP MASAK,LAUK,3.975609756097561,5.0,3.5
1289,SUP TULANG,semangkuk,MAKANAN SIAP MASAK,LAUK,8.692307692307692,12.0,8.0
1291,ROTI PISANG,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.3333333333333335,,
1292,ROTI BAWANG,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.9000000000000001,,
1293,ROTI BOOM,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.6500000000000001,,
1294,RAWA TOSAI,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.0,,
1295,ROTI TISU,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.0,,
1296,CAPATI,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.625,,
1298,ROTI BAKAR,1 set,MAKANAN SIAP MASAK,LAIN-LAIN,2.08,,
1299,MURTABAK AYAM,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,5.375,,
1300,MURTABAK DAGING,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,5.375,,
1307,AIR SUAM,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,0.24166666666666667,,
1309,Kopi Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.5947368421052632,,1.5
1311,TEH 'O' LIMAU PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.4782051282051283,2.0,1.5
1312,Teh Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.5925,,1.5
1314,TEH HALIA PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.8714285714285714,2.5,
1315,NESCAFE PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.9789473684210528,2.5,1.5
1317,NESLO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.3,2.5,2.0
1318,HORLICKS PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.1418181818181816,2.5,1.5
1319,MILO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.0171052631578945,2.5,1.5
1320,BARLI PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.5169811320754718,,2.0
1321,MILO 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.8164383561643835,2.0,
1322,AIR KOSONG,gelas besar,MAKANAN SIAP MASAK,MINUMAN,0.30697674418604654,,
1339,JUS EPAL,segelas,MAKANAN SIAP MASAK,MINUMAN,3.2375000000000003,4.0,3.2
1340,JUS MANGGA,segelas,MAKANAN SIAP MASAK,MINUMAN,3.75,,
1341,JUS TEMBIKAI,segelas,MAKANAN SIAP MASAK,MINUMAN,3.4066666666666667,4.0,
1343,JUS BELIMBING,segelas,MAKANAN SIAP MASAK,MINUMAN,3.4,,
1344,JUS LAICI,segelas,MAKANAN SIAP MASAK,MINUMAN,2.7142857142857144,,3.2
1358,ROTI SARDIN,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,3.526315789473684,,
