item_code,item,unit,item_group,item_category,2022-12-01,2022-12-02,2022-12-03,2022-12-04,2022-12-05,2022-12-06,2022-12-07,2022-12-08,2022-12-09,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-17,2022-12-18,2022-12-19,2022-12-20,2022-12-21,2022-12-22,2022-12-23,2022-12-24,2022-12-26,2022-12-27,2022-12-28,2022-12-29,2022-12-30,2022-12-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.410169491525425,9.410084033613447,9.410169491525425,9.410389610389611,9.409803921568628,9.41030042918455,9.410212765957446,9.410256410256412,9.41030042918455,9.410344827586208,9.411940298507462,9.410752688172044,9.408658008658008,9.408510638297873,9.408474576271187,9.408474576271187,9.408583690987125,9.408733624454149,9.410526315789474,9.409345794392523,9.408810572687225,9.408810572687225,9.408733624454149,9.408695652173913,9.4,9.408771929824562,9.408583690987125,9.408620689655173,9.408620689655173,9.408658008658008
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.10689655172414,11.096666666666668,11.096666666666668,11.096666666666668,11.10689655172414,11.096666666666668,11.074193548387097,11.074193548387097,11.074193548387097,11.074193548387097,11.146428571428572,11.15925925925926,11.096666666666668,11.065517241379311,11.065517241379311,11.089285714285714,11.089285714285714,11.114814814814816,11.126923076923077,11.114814814814816,11.114814814814816,11.089285714285714,11.126923076923077,10.626315789473686,10.4,11.089285714285714,11.100000000000001,11.100000000000001,11.100000000000001,11.100000000000001
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,9.0,9.0
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,35.770322580645164,35.59,35.6525,35.55875,34.994,35.567142857142855,35.614117647058826,35.60242424242425,35.614117647058826,35.69111111111111,35.64923076923077,35.25866666666666,35.67354838709678,35.59,35.57212121212122,35.541818181818186,35.555294117647065,35.541818181818186,35.49333333333333,35.924285714285716,35.68375,35.58814814814815,35.4,35.4054054054054,34.833333333333336,35.34285714285714,35.33942857142858,35.396571428571434,35.349411764705884,35.368
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,37.166666666666664,37.166666666666664,36.666666666666664,36.8,37.666666666666664,36.333333333333336,36.625,36.625,36.625,36.55555555555556,36.714285714285715,37.25,36.5,36.375,36.375,36.375,36.285714285714285,36.333333333333336,36.8,36.166666666666664,36.285714285714285,35.666666666666664,35.333333333333336,35.333333333333336,36.0,35.0,36.0,36.0,35.75,35.75
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,48.53846153846154,48.285714285714285,48.76923076923077,48.142857142857146,47.125,48.15384615384615,48.0,48.38461538461539,48.0,48.0,47.625,47.666666666666664,47.857142857142854,47.857142857142854,48.357142857142854,47.8,47.9375,47.9375,48.54545454545455,48.0,47.9375,48.266666666666666,48.0,48.0,50.0,48.5,48.57142857142857,48.214285714285715,48.142857142857146,48.266666666666666
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,50.0,50.0,50.0,50.0,50.0,47.5,47.5,47.5,47.5,47.6,47.5,45.0,47.6,47.6,49.5,49.0,49.0,49.0,48.333333333333336,49.5,49.0,49.0,49.0,49.0,50.0,49.5,49.0,49.0,49.0,49.0
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,22.135416666666668,22.1,22.119565217391305,22.07608695652174,21.814285714285713,21.945652173913043,21.902173913043477,21.902173913043477,21.877777777777776,21.902173913043477,21.858974358974358,21.758064516129032,22.186046511627907,22.130434782608695,22.266666666666666,22.288888888888888,22.304347826086957,22.355555555555554,22.205882352941178,22.428571428571427,22.31111111111111,22.31111111111111,22.261363636363637,22.21590909090909,19.625,22.211111111111112,22.07777777777778,22.119565217391305,22.1,22.119565217391305
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.584722222222222,4.588,4.588815789473684,4.638888888888889,4.58503937007874,4.665277777777778,4.672,4.673611111111111,4.624460431654676,4.630370370370371,4.55,4.498095238095238,4.587301587301587,4.6191176470588236,4.621014492753623,4.626428571428572,4.602797202797203,4.658394160583942,4.556,4.6103703703703705,4.632592592592593,4.639568345323741,4.594776119402986,4.730508474576272,4.846428571428571,4.655882352941177,4.61294964028777,4.601428571428571,4.6027272727272734,4.574755244755245
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.781481481481482,5.768639053254438,5.755029585798817,5.7629629629629635,5.77062937062937,5.817088607594937,5.796932515337423,5.764457831325301,5.778260869565217,5.8080745341614906,5.761702127659574,5.77983870967742,5.8253246753246755,5.8031847133757966,5.7981132075471695,5.812658227848101,5.815384615384616,5.817333333333334,5.7837398373983735,5.852083333333334,5.83907284768212,5.8575163398692816,5.866666666666667,5.939310344827587,6.053488372093024,5.882119205298014,5.869182389937107,5.847852760736196,5.860625000000001,5.879012345679012
