item_code,item,unit,item_group,item_category,2023-05-02,2023-05-03,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.408658008658008,9.408510638297873,9.408547008547009,9.408583690987125,9.408695652173913,9.409708737864078,9.408583690987125,9.407843137254902,9.408658008658008,9.408771929824562,9.408547008547009,9.408583690987125,9.408620689655173,9.408733624454149,9.406122448979593,9.40524017467249,9.405172413793103,9.406794871794872,9.406824034334765,9.406883116883117,9.406973684210525,9.407756097560977,9.406943231441048,9.406824034334765
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.116666666666667,11.106451612903227,11.076666666666666,11.134375,11.158064516129034,11.100000000000001,11.100000000000001,11.132,11.092592592592593,11.067857142857145,11.067857142857145,11.067857142857145,11.067857142857145,11.092592592592593,11.213043478260868,11.033333333333335,11.067857142857145,11.025000000000002,11.025000000000002,11.025000000000002,11.04814814814815,11.073076923076924,10.585714285714285,10.585714285714285
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,9.833333333333334,9.833333333333334,9.833333333333334,9.833333333333334,9.833333333333334,10.5,9.833333333333334,10.25,9.833333333333334,9.833333333333334,9.833333333333334,9.833333333333334,9.833333333333334,9.833333333333334,10.5,9.833333333333334,9.833333333333334,9.833333333333334,9.833333333333334,9.833333333333334,9.833333333333334,10.5,9.833333333333334,9.833333333333334
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,34.6871875,34.823235294117644,34.685428571428574,34.721944444444446,34.685428571428574,33.85666666666667,34.6246875,34.29125,34.96939393939394,34.771142857142856,34.81054054054054,34.81054054054054,34.84184210526316,34.7775,34.13,34.96939393939394,34.83305555555555,34.83305555555555,34.83305555555555,34.999736842105264,34.75648648648649,34.13,34.7809375,34.61083333333333
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,35.8,36.6,36.6,36.6,36.75,34.333333333333336,36.5,34.0,35.8,36.0,36.0,36.0,36.0,36.0,34.0,35.8,36.0,36.0,36.0,37.2,36.0,34.0,35.8,36.0
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,48.333333333333336,48.15384615384615,48.15384615384615,48.15384615384615,48.15384615384615,46.2,48.0,45.857142857142854,48.15384615384615,48.15384615384615,48.0,48.0,48.0,48.0,45.714285714285715,48.0,47.92857142857143,47.92857142857143,47.25,47.07142857142857,46.92857142857143,45.42857142857143,47.083333333333336,47.46153846153846
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,48.5,48.75,48.75,48.75,48.75,47.5,49.0,46.75,48.0,47.833333333333336,47.833333333333336,47.833333333333336,47.833333333333336,47.833333333333336,46.0,48.0,48.0,48.0,48.0,47.42857142857143,47.42857142857143,46.75,48.0,47.833333333333336
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,20.44871794871795,20.80236842105263,21.01225,21.1375,21.22972972972973,21.55,21.460526315789473,21.629032258064516,21.5,21.592105263157894,21.4875,21.55128205128205,21.55128205128205,21.628205128205128,21.892857142857142,21.628205128205128,21.576923076923077,21.5875,21.55128205128205,21.5875,21.628205128205128,21.806451612903224,21.67105263157895,21.646341463414632
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.935087719298246,4.9598360655737705,4.951239669421488,4.908064516129032,4.897520661157025,4.865686274509804,4.863709677419355,4.883185840707964,4.943902439024391,4.938842975206612,4.96829268292683,4.933333333333334,4.918181818181818,4.918260869565217,4.827368421052632,4.884403669724771,4.907017543859649,4.892307692307692,4.858677685950413,4.8731092436974786,4.895689655172413,4.765686274509804,5.027835051546392,5.072727272727272
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.1191489361702125,6.1210884353741495,6.14,6.1490066225165565,6.155704697986577,6.1091603053435115,6.159863945578231,6.052307692307692,6.092763157894737,6.096688741721854,6.090967741935484,6.094193548387097,6.086928104575163,6.118831168831169,6.113709677419355,6.143537414965986,6.124516129032258,6.132467532467532,6.130065359477124,6.128571428571428,6.1222972972972975,6.075,6.147407407407408,6.119858156028369
