item_code,item,unit,item_group,item_category,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.874824120603014,9.865,9.87763948497854,9.891802575107295,9.896508620689655,9.973776824034335,9.979086956521739,9.998863636363636,10.084734299516908,9.997098445595855,10.001822429906541,9.959132420091326,9.920833333333334,9.914508928571427,9.873008849557523,9.853333333333333,9.804977375565612,9.760180995475114,9.718867924528302,9.705851063829787,9.667961165048544,9.623076923076923,9.596618357487923,9.60777202072539,9.593396226415095,9.657674418604651,9.691919191919192,9.704128440366972
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.851851851851851,11.824137931034482,11.803333333333335,11.744827586206897,11.803333333333335,11.813333333333333,11.817857142857141,11.842307692307692,11.848275862068967,11.87142857142857,11.903846153846153,11.877777777777778,11.852,11.764285714285714,11.717857142857143,11.717857142857143,11.717857142857143,11.720689655172412,11.760714285714286,11.82,11.74074074074074,11.703846153846154,11.803703703703704,11.760714285714286,11.717500000000001,11.760357142857144,11.851481481481482,11.816333333333334
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,8.5,8.925,8.925,8.925,8.925,8.925,9.05,9.0,9.05,9.05,9.05,9.025,8.75,9.0,9.0,9.0,9.05,9.05,9.05,8.75,8.9,8.733333333333333,8.733333333333333,8.733333333333333,8.733333333333333,8.733333333333333,8.5,8.733333333333333
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,31.36318181818182,31.666363636363638,31.456857142857142,31.456857142857142,31.456857142857142,31.456857142857142,31.694166666666668,31.70935483870968,32.064193548387095,31.3434375,31.323235294117648,31.571142857142856,30.63590909090909,31.6871875,31.68394736842105,31.68394736842105,31.783513513513515,31.768974358974358,31.768974358974358,31.590454545454545,31.386774193548387,31.486216216216217,31.486216216216217,31.940882352941177,31.583055555555557,31.594324324324326,31.4796,31.8434375
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,29.0,30.75,30.75,30.88888888888889,30.88888888888889,30.88888888888889,30.88888888888889,30.666666666666668,30.75,30.666666666666668,31.0,31.11111111111111,29.714285714285715,31.11111111111111,32.0,31.11111111111111,31.11111111111111,31.11111111111111,31.11111111111111,29.714285714285715,31.11111111111111,31.11111111111111,31.0,32.57142857142857,31.333333333333332,31.333333333333332,30.0,31.5
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,46.833333333333336,48.6,48.5,48.375,48.6875,48.375,48.05882352941177,48.15384615384615,48.125,47.333333333333336,47.38461538461539,47.583333333333336,46.5,48.5,48.5,48.5,48.5,48.6,48.6,46.0,48.61538461538461,48.5,48.266666666666666,48.266666666666666,48.266666666666666,48.375,46.833333333333336,48.5
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,,49.333333333333336,49.333333333333336,49.333333333333336,49.333333333333336,49.333333333333336,49.333333333333336,49.333333333333336,49.333333333333336,50.0,49.333333333333336,49.333333333333336,,49.333333333333336,49.333333333333336,49.333333333333336,49.333333333333336,49.333333333333336,49.333333333333336,,49.333333333333336,49.333333333333336,49.333333333333336,49.333333333333336,49.333333333333336,49.333333333333336,,49.333333333333336
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,22.76560975609756,22.968431372549016,22.926326530612243,22.909607843137252,20.866666666666667,20.856521739130436,20.878260869565217,20.85333333333333,20.85333333333333,20.818181818181817,20.842105263157894,20.86842105263158,20.8125,20.835,20.81463414634146,20.83111111111111,20.833333333333332,22.036585365853657,22.36046511627907,22.473529411764705,22.62708333333333,22.701999999999998,22.83877551020408,22.96818181818182,22.805882352941175,22.9,22.716216216216218,22.83
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.112500000000001,5.2256,5.18,5.20827067669173,5.173913043478261,5.084558823529412,5.17109375,5.050442477876107,5.088596491228071,4.994495412844037,5.025217391304348,5.025663716814159,4.9937499999999995,5.083870967741936,5.134426229508197,5.143846153846154,5.127407407407408,5.114285714285715,5.03969465648855,4.981739130434782,5.05,5.021014492753623,5.002836879432624,4.933333333333333,4.927659574468085,4.927659574468085,4.905084745762712,4.911851851851852
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.470229007633588,6.51418918918919,6.520666666666667,6.512582781456954,6.515584415584416,6.515384615384616,6.536538461538462,6.499280575539569,6.524409448818898,6.504724409448819,6.526865671641791,6.510606060606062,6.5026086956521745,6.499259259259259,6.5307692307692315,6.49448275862069,6.467346938775511,6.461589403973511,6.497972972972973,6.463970588235294,6.476623376623377,6.469934640522877,6.466883116883118,6.368085106382979,6.460389610389611,6.47843137254902,6.48923076923077,6.4517006802721095
