item_code,item,unit,item_group,item_category,2024-10-01,2024-10-02,2024-10-03,2024-10-04,2024-10-05,2024-10-06,2024-10-07,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-12,2024-10-13,2024-10-14,2024-10-15,2024-10-16,2024-10-17,2024-10-18,2024-10-19,2024-10-20,2024-10-21,2024-10-22,2024-10-23,2024-10-24,2024-10-25,2024-10-26,2024-10-27,2024-10-28,2024-10-29,2024-10-30,2024-10-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.892648401826483,9.890133928571428,9.891955555555557,9.893705357142858,9.910765765765767,9.911880733944955,9.925589743589743,9.979911111111111,9.993017241379311,9.991222707423582,9.987292576419215,10.048370044052863,10.062242152466368,10.08263959390863,10.097181818181818,10.06419642857143,10.070964912280703,10.082008733624455,10.064229074889868,10.03463963963964,10.005505050505052,9.974405286343613,9.943246753246752,9.931125541125542,9.907782608695651,9.927389380530974,9.94107142857143,9.938775510204081,9.939285714285715,9.930391304347825,10.7
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.91851851851852,11.910714285714286,11.910714285714286,11.81851851851852,11.663636363636364,11.914285714285715,11.961538461538462,11.950000000000001,11.93448275862069,11.989285714285714,11.917241379310346,11.941176470588236,11.977777777777776,12.004000000000001,11.955555555555556,11.944827586206896,11.958620689655174,11.943333333333333,11.924137931034483,11.926666666666668,11.877777777777778,11.870000000000001,11.870000000000001,11.870000000000001,11.870000000000001,11.920689655172414,11.93448275862069,11.944444444444445,11.936666666666667,11.932142857142859,11.963636363636363
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,8.799999999999999,8.799999999999999,8.799999999999999,8.799999999999999,8.799999999999999,8.799999999999999,8.35,8.799999999999999,8.9,8.9,8.9,8.9,8.933333333333334,8.7,9.066666666666668,9.066666666666668,9.066666666666668,9.066666666666668,9.066666666666668,9.066666666666668,8.7,9.25,9.25,9.25,9.25,9.25,9.25,9.5,9.25,9.5,
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,30.90878787878788,31.297027027027028,31.35108108108108,31.221944444444446,31.110833333333332,30.944166666666668,30.624583333333334,31.031935483870967,31.38861111111111,31.256857142857143,31.27,31.27027027027027,31.289210526315788,30.260434782608694,31.235,31.0,31.0,31.257142857142856,31.444444444444443,31.228571428571428,30.956521739130434,31.34375,31.4,31.5,31.416666666666668,31.416666666666668,31.416666666666668,28.74074074074074,28.72972972972973,28.88095238095238,29.0
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,30.666666666666668,30.666666666666668,30.666666666666668,30.666666666666668,30.666666666666668,30.666666666666668,29.0,30.666666666666668,31.125,30.666666666666668,30.666666666666668,30.666666666666668,30.666666666666668,29.0,30.666666666666668,31.125,31.125,31.125,31.125,30.333333333333332,29.333333333333332,30.75,30.75,30.75,30.75,31.571428571428573,30.75,28.0,28.75,28.75,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,45.6,45.5625,45.266666666666666,44.92857142857143,44.9375,45.23529411764706,44.42857142857143,44.92307692307692,44.6,44.6,45.23529411764706,45.23529411764706,45.25,44.833333333333336,46.30769230769231,44.9375,45.8,45.357142857142854,45.357142857142854,45.357142857142854,46.166666666666664,46.25,45.714285714285715,45.0,45.666666666666664,46.0,46.0,46.6,46.09090909090909,45.53846153846154,
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,46.6,46.6,46.6,46.6,46.6,46.6,47.5,46.6,46.6,46.6,46.6,46.6,46.6,50.0,46.6,46.6,46.6,46.6,46.6,46.6,47.5,46.6,46.6,46.6,46.6,46.6,46.6,45.0,46.6,46.6,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,23.44,23.39622641509434,23.38888888888889,23.423076923076923,23.442307692307693,23.537037037037038,23.48780487804878,23.66,23.568627450980394,23.48076923076923,23.612244897959183,23.5,23.48076923076923,23.317073170731707,23.25531914893617,23.306122448979593,23.354166666666668,23.340425531914892,23.306122448979593,23.408163265306122,22.973684210526315,23.387755102040817,23.326923076923077,23.326923076923077,23.3,23.313725490196077,23.44,23.157894736842106,23.346938775510203,23.3,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.664035087719299,5.642857142857143,5.6072,5.6139534883720925,5.738655462184874,5.589473684210526,5.4326732673267335,5.600826446280992,5.62,5.615384615384615,5.583076923076923,5.682644628099173,5.585483870967742,5.433653846153846,5.510569105691056,5.51015625,5.536363636363636,5.518705035971223,5.478518518518519,5.44436090225564,5.369724770642201,5.500740740740741,5.536029411764706,5.491911764705883,5.495555555555556,5.499236641221374,5.510852713178294,5.365048543689321,5.472307692307692,5.499242424242424,4.666666666666667
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.4799999999999995,6.465644171779141,6.468072289156627,6.489090909090909,6.548,6.477987421383648,6.437777777777778,6.511038961038961,6.513836477987422,6.541614906832298,6.534756097560976,6.529813664596273,6.516249999999999,6.494366197183099,6.476100628930818,6.490243902439025,6.505454545454546,6.478313253012049,6.487037037037037,6.479878048780488,6.462237762237763,6.453939393939394,6.467058823529412,6.455029585798817,6.412962962962964,6.425949367088608,6.3862499999999995,6.3875,6.38,6.385443037974683,5.625
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.238144329896907,6.248543689320389,6.220000000000001,6.269523809523809,6.351515151515151,6.271698113207547,6.088636363636363,6.247999999999999,6.240776699029126,6.2192307692307685,6.222429906542056,6.292380952380952,6.25686274509804,6.16235294117647,6.266981132075471,6.269158878504673,6.2838095238095235,6.3093396226415095,6.256190476190476,6.265714285714285,6.161290322580645,6.264423076923077,6.259615384615385,6.256915887850467,6.272277227722772,6.275,6.303030303030303,6.2178571428571425,6.358762886597938,6.267676767676767,4.25
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.454242424242424,4.455588235294118,4.4714285714285715,4.515625,4.705263157894737,4.482857142857143,4.5,4.48125,4.48125,4.467741935483871,4.46875,4.25,4.451612903225806,4.406896551724138,4.4,4.375,4.3903125,4.3903125,4.396333333333333,4.3835483870967735,4.428709677419355,4.402903225806452,4.399666666666667,4.4479310344827585,4.430689655172414,4.446071428571429,4.399666666666667,4.354516129032258,4.283,4.292758620689655,4.5408333333333335
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.169492753623189,4.155957446808511,4.1726573426573434,4.142482269503546,4.047251908396947,4.144130434782609,4.145294117647059,4.1390225563909775,4.144068965517241,4.150965517241379,4.170069444444445,4.044186046511628,4.143191489361702,4.174051724137931,4.126014492753623,4.125625,4.133496503496504,4.144295774647888,4.105602836879433,4.135347222222222,4.164083333333333,4.135955882352941,4.119241379310345,4.099930069930069,4.085035460992908,4.0886619718309865,4.106312056737589,4.128608695652174,4.076906474820144,4.085347222222222,5.076153846153847
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,11.32391304347826,11.28080808080808,11.255555555555555,11.166666666666666,10.958333333333334,11.267676767676768,11.433734939759036,11.272043010752688,11.247872340425532,11.25054945054945,11.375531914893617,11.336781609195402,11.288775510204081,11.515116279069767,11.221874999999999,11.316666666666666,11.284466019417476,11.208411214953271,11.16788990825688,11.167857142857143,11.227083333333333,11.252941176470587,11.314752475247525,11.356464646464646,11.356464646464646,11.33950495049505,11.2909,11.318395061728395,11.177415730337078,11.264333333333333,10.460769230769232
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.1415,6.18734375,6.206190476190477,6.306031746031746,6.479322033898304,6.268285714285714,6.33,6.253432835820896,6.24235294117647,6.223582089552239,6.2386567164179105,5.915254237288136,6.307,6.264509803921569,6.1772580645161295,6.218428571428571,6.246818181818182,6.2540000000000004,6.280588235294117,6.280298507462686,6.346530612244898,6.245714285714286,6.221147540983607,6.2982258064516135,6.294918032786885,6.2820967741935485,6.2357812500000005,6.280196078431373,6.126825396825397,6.1772580645161295,7.62375
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,4.4543478260869565,4.4862068965517246,4.476027397260274,4.486013986013986,4.48936170212766,4.531914893617022,4.5578512396694215,4.525179856115108,4.529166666666667,4.531034482758621,4.551724137931035,4.5167832167832165,4.554482758620689,4.561475409836065,4.49020979020979,4.511409395973154,4.537162162162162,4.529054054054054,4.565771812080537,4.566000000000001,4.513709677419355,4.5412587412587415,4.539597315436242,4.501315789473685,4.504794520547946,4.514482758620689,4.531081081081081,4.540650406504065,4.554861111111111,4.536734693877551,5.428571428571429
26,ANGGUR HIJAU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,35.0,35.0,35.0,,,35.0,35.0,35.0,35.0,35.0,25.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,18.88888888888889,18.42222222222222,18.024390243902438,17.463414634146343,16.85238095238095,18.0,18.46153846153846,18.13953488372093,17.90909090909091,18.195652173913043,18.125,17.16216216216216,18.057142857142857,18.177555555555557,18.103958333333335,17.937291666666667,17.87734693877551,18.019411764705882,17.649807692307693,17.58392156862745,17.63787234042553,17.73891304347826,17.695434782608697,17.595531914893616,17.62804347826087,17.5225,17.688666666666666,17.585365853658537,18.42809523809524,18.13906976744186,19.362727272727273
