item_code,item,unit,item_group,item_category,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28,2025-09-29,2025-09-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.464150943396227,9.730184331797235,9.725681818181819,9.738235294117647,9.747674418604651,9.735257731958763,9.742916666666668,9.772352941176472,9.759066666666666,9.768355555555557,9.763139013452914,9.774912280701756,9.80121076233184,9.830925110132158,9.82035242290749,9.81085201793722,9.814484304932735,9.809815668202765,9.789329896907217,9.802237442922374,9.786027397260273,9.776355140186915,9.763098591549296,9.77375,9.775953488372092,9.838245614035088,9.83509900990099
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.0,11.763333333333334,11.781515151515151,11.808787878787879,11.785428571428572,11.805757575757577,11.89,11.8528125,11.899677419354838,11.8775,11.851212121212122,11.78794117647059,11.899705882352942,11.846764705882354,11.846764705882354,11.836857142857143,11.834,11.770294117647058,11.873870967741937,11.764411764705883,11.745151515151516,11.745151515151516,11.745151515151516,11.711470588235294,11.6465625,11.770645161290322,11.675454545454546
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,30.0,,31.571428571428573,31.615384615384617,,,32.46666666666667,,,,,,,,32.714285714285715,31.4,,,29.0,,,34.142857142857146,32.2,
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,30.0,,31.5,29.2,,,30.5,,,,,,,,35.5,29.142857142857142,,,,,,34.666666666666664,29.5,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,,,45.0,,47.0,46.0,,,46.285714285714285,,,,,,,,46.0,45.8,,,,,,46.0,45.333333333333336,
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,,,,45.0,,46.0,43.0,,,45.2,,,,,,,,44.0,44.0,,,,,,44.0,44.0,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,,,,23.5,23.197297297297297,,,23.486,,,,,,,,23.2,22.865714285714283,,,,,,23.2,23.065714285714286,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,28.0,,29.90909090909091,28.033125000000002,,25.0,28.42041884816754,,,,,,,,31.636363636363637,28.16217948717949,,,24.615384615384617,,,31.0,28.46095890410959,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,10.90566037735849,11.10257731958763,11.020588235294117,11.196446700507613,11.023645320197046,11.116577540106952,10.981395348837209,10.983152173913044,11.027567567567568,11.146629213483145,11.26304347826087,11.189690721649486,11.226923076923077,11.172727272727274,11.283937823834197,11.181951219512197,11.271770334928231,11.153030303030304,10.993023255813954,11.194029850746269,11.105188679245284,11.21747572815534,10.99402985074627,10.952401960784314,11.014090909090909,10.866887417218544,11.007650273224044
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.409090909090908,13.51579365079365,13.546268656716418,13.292248062015505,13.576859504132232,13.39056603773585,13.041772151898734,13.643298969072166,13.762142857142857,13.688983050847456,13.342753623188406,13.342335766423359,13.418548387096775,13.407936507936508,13.200000000000001,13.303007518796992,13.54402985074627,13.447899159663866,13.19108910891089,13.3672,13.523200000000001,13.194782608695652,13.371698113207549,13.791525423728814,13.469491525423729,12.99277108433735,13.67962962962963
