item_code,item,unit,item_group,item_category,2026-03-01,2026-03-02,2026-03-03,2026-03-04,2026-03-05,2026-03-06,2026-03-07,2026-03-08,2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13,2026-03-15,2026-03-16,2026-03-17,2026-03-18,2026-03-24,2026-03-25,2026-03-26,2026-03-27,2026-03-28,2026-03-29,2026-03-30,2026-03-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,10.179327354260089,10.167668393782384,10.16609649122807,10.11526066350711,10.133565217391304,10.100088105726874,9.981935483870968,10.163093922651933,10.04770053475936,10.038272727272728,10.022466367713005,10.014054054054053,10.018440366972477,9.998227272727274,9.983510638297872,10.003981481481482,10.0,10.03878453038674,9.984575471698113,9.98518691588785,9.961095238095238,9.930841584158417,9.888477157360406,9.836705882352941,9.841606217616581
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.84483870967742,11.989285714285714,11.913333333333332,11.893225806451612,11.97,11.823333333333332,12.063157894736841,11.870645161290323,11.946666666666665,11.975,11.887575757575759,11.8746875,11.875757575757575,11.858823529411765,11.933,11.872727272727273,11.862187500000001,11.866296296296296,11.853571428571428,11.883333333333333,11.92225806451613,11.809354838709679,11.833,11.557894736842105,11.880384615384616
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,34.166666666666664,32.76923076923077,,,,,,34.166666666666664,32.69230769230769,,,,,34.166666666666664,33.0,,31.0,,,,,,34.166666666666664,32.81818181818182,
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,36.2,31.5,,,,,,36.2,32.0,,,,,36.2,32.0,,34.0,,,,,,36.4,32.0,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,47.0,45.6,,,,,,47.0,45.6,,,,,47.0,44.6,,,,,,,,47.0,45.75,
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,47.0,46.0,,,,,,47.0,46.0,,,,,47.0,43.0,,,,,,,,47.0,44.333333333333336,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,24.0,23.355263157894736,,,,,,23.571428571428573,23.749736842105264,,,,,21.44,21.2076,,20.4,,,,,,23.0,22.856785714285714,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,31.0,27.542962962962964,,,,,,30.285714285714285,27.24214876033058,,,,,28.5,27.52137404580153,,26.166666666666668,,,25.0,,,28.642857142857142,27.696350364963504,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.854411764705883,11.548447204968944,11.815263157894737,11.659473684210527,11.688557213930348,11.662,12.023728813559321,11.836942675159236,11.489615384615385,11.637022471910111,11.622459893048129,11.787150837988827,11.871375661375662,11.777040816326531,11.686705202312138,11.651470588235295,11.66734693877551,11.59322033898305,11.483850931677019,11.612121212121211,11.618994413407822,11.543979057591624,11.57830687830688,11.51225806451613,11.530256410256412
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.409803921568628,13.579032258064515,13.925,13.889655172413795,14.658181818181818,15.132407407407406,15.630952380952381,14.709090909090909,13.903191489361703,14.502380952380951,13.921259842519685,13.645901639344261,13.765420560747664,13.734597701149426,13.345070422535212,13.732954545454545,13.49090909090909,13.27450980392157,13.548387096774194,13.313253012048193,13.246913580246913,13.555056179775281,14.209782608695651,13.692982456140351,13.558333333333334
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,13.654444444444445,13.162068965517241,13.696296296296298,13.809756097560976,13.430000000000001,13.730263157894736,13.511764705882353,14.223076923076922,13.2875,13.971698113207546,13.58,13.823809523809523,13.37536231884058,14.159322033898304,13.613333333333333,13.712962962962964,13.713725490196078,13.236842105263158,13.96774193548387,13.666666666666666,14.029166666666667,13.928070175438597,14.18030303030303,13.74054054054054,14.244927536231884
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,16.638461538461538,16.43671875,16.452747252747255,16.584939759036143,16.353293413173652,16.76158536585366,15.428979591836734,16.39558823529412,16.317518248175183,16.45801104972376,16.23005780346821,16.200558659217876,16.112865497076026,16.20609756097561,16.473684210526315,15.8987012987013,16.12987804878049,16.41176470588235,16.325806451612902,16.31055900621118,16.153932584269665,16.144318181818182,16.519209039548024,16.426495726495727,16.239884393063583
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,10.421739130434784,10.383636363636365,10.370072992700731,10.271774193548387,10.387022900763359,10.342222222222222,11.015625,10.292727272727273,10.415238095238095,10.379545454545456,10.354411764705883,10.332307692307692,10.334848484848486,10.375590551181103,10.350943396226416,10.366666666666667,10.379527559055118,10.386486486486486,10.161363636363637,10.308602150537634,10.335238095238095,10.417757009345795,10.402586206896553,10.465625000000001,10.410743801652893
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.724324324324325,13.716049382716049,13.555555555555555,13.46111111111111,13.277173913043478,13.342245989304812,14.433333333333334,13.329608938547485,13.6,13.34375,13.25268817204301,13.132596685082873,13.114754098360656,13.11111111111111,13.290123456790123,13.22279792746114,13.263157894736842,13.211920529801324,13.125,13.255681818181818,13.033149171270718,13.159574468085106,13.248648648648649,13.093959731543624,13.134408602150538
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.642441860465116,16.534591194968552,16.276785714285715,16.395569620253166,16.164739884393065,16.104166666666668,15.964285714285714,16.220833333333335,15.847133757961783,15.85,15.937888198757763,15.694117647058823,15.735294117647058,15.74712643678161,15.993975903614459,16.022099447513813,16.05945945945946,16.01219512195122,16.027624309392266,16.0,15.978142076502733,15.86021505376344,16.073033707865168,16.06756756756757,15.930232558139535
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.38888888888889,16.244444444444444,16.283185840707965,16.25877192982456,15.859504132231406,15.804166666666667,18.16,15.767543859649123,16.322916666666668,15.439655172413794,15.71420634920635,15.405315315315315,15.321949152542373,15.438053097345133,15.742424242424242,15.824786324786325,15.724,15.471428571428572,15.367768595041323,15.334677419354838,15.288617886178862,15.196803278688524,14.809734513274336,15.418369565217391,15.03144144144144
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.589735849056602,10.632295081967213,10.713948339483395,10.631196911196911,10.649208633093526,10.673212996389891,11.494583333333333,10.872719298245615,10.790413223140497,10.652673992673995,10.639236363636364,10.759236363636363,10.607158273381295,9.402255639097744,9.367521367521368,9.350943396226414,9.376363636363637,9.397826086956522,9.371647509578544,9.367041198501873,9.362132352941176,9.344525547445256,9.94,10.17420814479638,10.317164179104477
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.005928853754941,9.944690265486726,10.176470588235293,10.02834008097166,10.154850746268657,10.19083969465649,10.055555555555555,10.144495412844037,10.379912663755459,10.482758620689655,10.60737037037037,10.647350746268655,10.590036764705882,10.686090225563909,10.663865546218487,10.78544776119403,10.736162361623617,10.574324324324325,10.52734375,10.448275862068966,10.332046332046332,10.346564885496184,10.381679389312977,10.392523364485982,10.32213438735178
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.038990825688073,11.091836734693878,11.091304347826087,11.10730593607306,11.278008298755188,11.243589743589743,11.556818181818182,11.839622641509434,12.04326923076923,12.422268907563025,12.577731092436975,12.72707423580786,12.75,12.911637931034482,13.047029702970297,12.803030303030303,12.71244635193133,12.326633165829145,12.106837606837606,11.909090909090908,11.782608695652174,11.62127659574468,11.4375,11.61413043478261,11.20183486238532
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.871308016877638,8.8424200913242,8.874959016393442,8.73691304347826,8.785384615384615,8.737114624505928,8.724875,8.607607655502392,8.613333333333333,8.568818897637795,8.540038167938931,8.529488188976377,8.523769841269841,7.7730923694779115,7.8125,7.811320754716981,7.833333333333333,7.744239631336406,7.742,7.71484375,7.681102362204724,7.737254901960784,8.080971659919028,8.109004739336493,8.109504132231406
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,3.3333333333333335,3.33974358974359,,,,,,3.2777777777777777,3.2911392405063293,,,,,3.3125,3.31,,3.6692307692307695,,,3.269230769230769,,,3.3333333333333335,3.3949152542372882,
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,11.777777777777779,11.7640522875817,,,,,,11.8,11.707142857142857,,,,,11.0,10.880379746835443,,11.116666666666667,,,8.0,,,11.11111111111111,11.767692307692307,
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,13.3,13.976190476190476,,,,,,13.5,14.052941176470588,,,,,12.777777777777779,13.647727272727273,,14.727272727272727,,,10.0,,,13.3,14.011904761904763,
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.975816993464052,4.05546875,3.9760563380281693,3.9292857142857143,3.9234899328859063,3.9506666666666668,4.059183673469388,3.9628099173553717,4.019083969465649,3.9748427672955975,4.015243902439025,3.990322580645161,3.950980392156863,3.5018072289156623,3.5167785234899327,3.5058823529411764,3.5027472527472527,3.507042253521127,3.49685534591195,3.4871794871794872,3.4906790123456792,3.4878915662650605,3.721020408163265,3.8635606060606063,3.8162585034013605
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.381294964028777,5.2640625,5.21875,5.194444444444445,5.139455782312925,5.181208053691275,5.3431372549019605,5.1335766423357665,5.275193798449612,5.173154362416107,5.094405594405594,5.1,5.080419580419581,5.144366197183099,5.186046511627907,5.137323943661972,5.105442176870748,4.992682926829269,5.0510489510489505,5.144295302013423,5.20979020979021,5.184931506849315,5.121527777777778,5.12090909090909,5.100704225352112
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.767984189723322,10.921739130434782,10.716,10.779166666666667,10.803846153846154,10.791505791505791,11.395348837209303,11.113744075829384,10.969432314410481,10.762452107279694,10.784674329501916,10.807843137254903,10.737547892720306,10.792369477911647,10.989082969432314,10.75,10.729277566539924,10.865638766519824,10.78464566929134,10.800778210116732,10.779377431906616,10.799215686274511,10.849416342412452,10.800943396226415,10.790513833992096
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.0152363636363635,5.067871485943775,5.01175,5.062744360902256,5.04175,5.048718861209965,5.324903846153846,5.121752136752137,5.080281124497992,5.0725622775800705,5.072852112676056,5.0174642857142855,5.010395683453237,4.2709782608695654,4.319482071713147,4.274214285714287,4.268480565371025,4.255743801652893,4.265888888888889,4.278929889298894,4.268690909090909,4.256123188405797,4.696007194244604,4.843060344827586,4.866750902527077
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.266274509803922,4.226431718061674,4.225291828793774,4.251219512195122,4.221923076923077,4.147803921568627,4.194269662921348,4.161116504854369,4.1742920353982305,4.1375581395348835,4.12809885931559,4.089844357976654,4.128587786259542,3.556363636363636,3.581235059760956,3.5695155709342568,3.567896551724138,3.5755102040816324,3.5485611510791366,3.5496478873239434,3.5487719298245612,3.5491166077738514,3.9481884057971017,4.029030837004405,4.05014652014652
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.045736434108527,6.018942731277533,5.7915057915057915,5.6193415637860085,5.595057034220532,5.490494296577947,5.807228915662651,5.247272727272728,5.513419913419913,5.248314606741573,5.227480916030534,5.173745173745174,5.185658914728682,5.547463768115942,5.77609561752988,5.651408450704225,5.638461538461538,5.660408163265306,5.621771217712177,5.613235294117647,5.564814814814815,5.4944444444444445,5.288505747126437,5.122641509433962,5.070588235294117
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,,,,,,,,,,,,,,,,,,,,,,,,4.6,
