item_code,item,unit,n_original,original_std,n_trimmed,new_std,std_reduction,std_reduction_pct
1,AYAM BERSIH - STANDARD,1kg,416,0.7606573665497346,383.0,0.6128085273094868,0.14784883924024783,0.1943698250249982
2,AYAM BERSIH - SUPER,1kg,121,0.49402065236048337,114.0,0.38483604462829135,0.10918460773219202,0.22101223341675355
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,51,2.3080781411993727,51.0,2.3080781411993727,0.0,0.0
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,4,0.0,4.0,0.0,0.0,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,5,0.0,5.0,0.0,0.0,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,71,2.444469551524416,70.0,2.358413093340643,0.08605645818377328,0.03520455312282654
16,BETIK BIASA,1kg,154,1.1057010169962334,142.0,0.9113590687060045,0.19434194829022888,0.1757635611281082
18,PISANG BERANGAN,1kg,215,0.7772145327427574,201.0,0.6715598497831716,0.1056546829595858,0.13594017933084043
19,PISANG EMAS,1kg,51,1.0648204856531767,47.0,0.7200447745354454,0.3447757111177313,0.32378763910260494
20,TEMBIKAI MERAH BERBIJI,1kg,29,0.9025627170053495,25.0,0.7789176250841079,0.12364509192124162,0.13699335192072729
21,TEMBIKAI MERAH TANPA BIJI,1kg,130,0.7333433172736104,120.0,0.6262786584126856,0.10706465886092476,0.14599527443566918
22,DRAGON FRUIT MERAH,1kg,109,2.6513761196587526,101.0,2.082845564021576,0.5685305556371767,0.21442848165591452
24,TEMBIKAI SUSU,1kg,88,0.9214939414434757,83.0,0.7605354648922039,0.16095847655127182,0.17467122605183724
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,227,1.0615502807119368,214.0,0.8867306406084658,0.17481964010347095,0.16468333462850843
26,ANGGUR HIJAU BERBIJI,1kg,1,,1.0,,,
27,ANGGUR MERAH BERBIJI,1kg,109,5.211284548581021,100.0,4.374931871331013,0.8363526772500078,0.16048877574296688
38,JAMBU BATU BERBIJI,1kg,85,1.5470812674773333,75.0,1.2206293901541567,0.3264518773231766,0.211011460215977
39,JAMBU BATU TANPA BIJI,1kg,10,0.47284481833073144,8.0,0.04166190448976479,0.43118291384096663,0.9118909568749374
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,246,4.047979161407535,221.0,3.283747448516031,0.7642317128915042,0.1887933910770852
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,306,2.4840718655712477,277.0,2.0093638881424543,0.47470797742879345,0.19110074229661128
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,69,3.019382745759122,61.0,2.532363471956259,0.4870192738028627,0.16129762763164301
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,64,5.354227968891235,56.0,4.554579185659369,0.7996487832318655,0.14934903554311277
52,KEPALA IKAN JENAHAK,1kg,41,4.906524762385536,40.0,4.666332490324323,0.24019227206121307,0.04895364513444998
