item_code,item,unit,item_group,item_category,2022-01-01,2022-01-02,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,74.0,0.0,79.0,77.0,68.0,70.0,66.0
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,9.0,0.0,12.0,14.0,17.0,16.0,17.0
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,7.0,0.0,9.0,8.0,5.0,7.0,6.0
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,10.0,0.0,10.0,12.0,11.0,10.0,11.0
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,26.0,0.0,28.0,29.0,21.0,26.0,21.0
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,29.0,0.0,31.0,33.0,30.0,29.0,27.0
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,10.0,0.0,10.0,12.0,12.0,12.0,11.0
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.0,0.0,4.0,4.0,8.0,7.0,8.0
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,28.0,0.0,31.0,29.0,34.0,31.0,33.0
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,15.0,0.0,16.0,15.0,12.0,14.0,14.0
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,11.0,0.0,11.0,11.0,14.0,18.0,11.0
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,35.0,0.0,37.0,41.0,36.0,37.0,35.0
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,21.0,0.0,22.0,27.0,21.0,16.0,12.0
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,4.0,0.0,2.0,2.0,1.0,4.0,2.0
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,13.0,0.0,16.0,13.0,14.0,18.0,17.0
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.0,0.0,4.0,7.0,7.0,8.0,6.0
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,33.0,0.0,30.0,27.0,27.0,34.0,30.0
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,41.0,0.0,40.0,43.0,41.0,43.0,40.0
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,20.0,0.0,19.0,14.0,22.0,18.0,14.0
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,6.0,0.0,5.0,4.0,5.0,5.0,4.0
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,2.0,0.0,4.0,3.0,4.0,4.0,1.0
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,31.0,0.0,24.0,30.0,25.0,25.0,21.0
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,15.0,0.0,14.0,13.0,11.0,10.0,10.0
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,4.0,0.0,4.0,2.0,2.0,2.0,3.0
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,1.0,0.0,1.0,1.0,1.0,1.0,1.0
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,3.0,0.0,6.0,4.0,5.0,1.0,4.0
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,11.0,0.0,9.0,6.0,12.0,13.0,14.0
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,16.0,0.0,12.0,13.0,12.0,13.0,20.0
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,23.0,0.0,24.0,20.0,22.0,23.0,20.0
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,40.0,0.0,49.0,49.0,40.0,44.0,38.0
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,6.0,0.0,8.0,8.0,8.0,9.0,5.0
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,2.0,0.0,2.0,0.0,1.0,1.0,2.0
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,2.0,0.0,2.0,3.0,1.0,1.0,2.0
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,7.0,0.0,9.0,8.0,8.0,9.0,6.0
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,33.0,0.0,27.0,30.0,34.0,29.0,33.0
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,17.0,0.0,15.0,17.0,16.0,16.0,16.0
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,7.0,0.0,8.0,7.0,6.0,5.0,5.0
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,69.0,0.0,67.0,68.0,59.0,63.0,57.0
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,45.0,0.0,48.0,46.0,48.0,44.0,40.0
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,49.0,0.0,49.0,45.0,42.0,45.0,44.0
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,132.0,0.0,137.0,142.0,140.0,134.0,123.0
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,87.0,0.0,87.0,89.0,66.0,81.0,66.0
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,84.0,0.0,79.0,76.0,59.0,61.0,65.0
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,77.0,0.0,73.0,72.0,56.0,67.0,57.0
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,26.0,0.0,25.0,22.0,19.0,19.0,18.0
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,6.0,0.0,7.0,6.0,6.0,7.0,6.0
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,6.0,0.0,7.0,7.0,6.0,7.0,6.0
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,60.0,0.0,67.0,69.0,62.0,65.0,65.0
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,37.0,0.0,33.0,35.0,38.0,37.0,30.0
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,101.0,0.0,105.0,103.0,89.0,92.0,90.0
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,104.0,0.0,108.0,105.0,96.0,100.0,88.0
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,71.0,0.0,72.0,72.0,69.0,73.0,66.0
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,121.0,0.0,119.0,115.0,109.0,109.0,97.0
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,111.0,0.0,112.0,100.0,88.0,95.0,86.0
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,38.0,0.0,37.0,36.0,36.0,30.0,19.0
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,70.0,0.0,64.0,59.0,58.0,53.0,39.0
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,40.0,0.0,43.0,42.0,38.0,36.0,29.0
124,TELUR PUYUH,15 Biji,BARANGAN SEGAR,TELUR,45.0,1.0,46.0,45.0,38.0,42.0,34.0
125,TELUR ITIK,10 biji,BARANGAN SEGAR,TELUR,5.0,0.0,5.0,5.0,2.0,2.0,1.0
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,178.0,0.0,185.0,176.0,172.0,176.0,158.0
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,54.0,0.0,54.0,48.0,42.0,42.0,36.0
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,29.0,0.0,33.0,33.0,33.0,35.0,34.0
148,IKAN BILIS GRED B (KOPEK),1kg,BARANGAN KERING,HASIL LAUT KERING,38.0,0.0,40.0,41.0,39.0,36.0,32.0
152,KACANG HIJAU (IMPORT),1kg,BARANGAN KERING,KACANG,159.0,0.0,160.0,154.0,154.0,152.0,137.0
