item_code,item,unit,item_group,item_category,2025-01-01,2025-01-02,2025-01-03,2025-01-04,2025-01-05,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-11,2025-01-12,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,2025-01-18,2025-01-19,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,2025-01-25,2025-01-26,2025-01-27,2025-01-28,2025-01-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,105.0,2.0,2.0,2.0,2.0,80.0,30.0,2.0,2.0,2.0,2.0,2.0,110.0,2.0,2.0,3.0,2.0,3.0,2.0,110.0,3.0,3.0,33.0,3.0,2.0,2.0,79.0,3.0,3.0
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,25.0,1.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,0.0,1.0,0.0,1.0,27.0,1.0,1.0
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,9.0,1.0,1.0,1.0,1.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,2.0,1.0,1.0,1.0,11.0,1.0,1.0
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,15.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,0.0,0.0,3.0,0.0,0.0,0.0,19.0,0.0,0.0
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,32.0,0.0,0.0,1.0,1.0,33.0,4.0,1.0,0.0,1.0,1.0,1.0,35.0,1.0,1.0,1.0,1.0,2.0,2.0,32.0,1.0,0.0,6.0,1.0,1.0,0.0,25.0,1.0,1.0
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,40.0,3.0,3.0,2.0,2.0,28.0,15.0,3.0,2.0,1.0,2.0,2.0,36.0,1.0,2.0,2.0,2.0,3.0,3.0,42.0,3.0,3.0,4.0,2.0,2.0,2.0,41.0,2.0,2.0
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,10.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,15.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,52.0,1.0,1.0,1.0,1.0,41.0,12.0,1.0,1.0,1.0,1.0,1.0,58.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,1.0,1.0,9.0,1.0,1.0,1.0,45.0,1.0,1.0
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,32.0,2.0,2.0,4.0,4.0,30.0,12.0,3.0,3.0,3.0,4.0,4.0,37.0,3.0,3.0,4.0,3.0,3.0,3.0,34.0,1.0,2.0,12.0,2.0,1.0,1.0,20.0,1.0,1.0
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,24.0,1.0,1.0,1.0,1.0,20.0,5.0,1.0,1.0,1.0,1.0,1.0,25.0,1.0,1.0,0.0,1.0,1.0,1.0,19.0,1.0,1.0,3.0,1.0,1.0,1.0,19.0,1.0,0.0
