item_code,item,unit,item_group,item_category,2022-01-01,2022-01-02,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.96945945945946,,8.96126582278481,8.96038961038961,8.971617647058824,8.972285714285713,8.987121212121211
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,10.342222222222224,,10.339166666666667,10.361428571428572,10.471764705882354,10.583124999999999,10.584117647058823
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,35.37285714285714,,36.891111111111115,37.795,36.894,38.76571428571429,40.06166666666667
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,22.137,,21.937,22.27916666666667,21.703636363636363,21.687,21.812727272727273
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.972307692307693,,4.763571428571429,4.6944827586206905,4.60952380952381,4.717307692307693,4.548571428571428
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.342758620689655,,5.320322580645161,5.36060606060606,5.217333333333333,5.245172413793104,5.247777777777777
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.486,,5.4270000000000005,5.529166666666666,5.4799999999999995,5.3475,5.3963636363636365
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.663333333333333,,4.6225000000000005,4.095000000000001,4.04375,4.3500000000000005,4.45375
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.701428571428571,,4.775483870967742,4.091379310344827,3.922352941176471,3.682903225806452,3.659090909090909
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,10.002,,10.17,10.175333333333333,9.945,10.259285714285713,10.02357142857143
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.965454545454546,,6.929090909090909,5.930000000000001,5.53,5.710555555555556,6.11090909090909
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.5314285714285716,,3.5621621621621626,3.5263414634146337,3.5577777777777775,3.5727027027027027,3.5731428571428574
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,17.073809523809523,,16.393181818181816,15.28962962962963,16.227142857142855,17.5375,18.190833333333334
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,1.42,,1.145,1.39,1.39,1.2925,1.135
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.812307692307693,,6.833125,6.5807692307692305,6.696428571428571,6.696111111111112,6.461176470588235
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.9675,,7.970000000000001,7.952857142857143,8.680000000000001,7.95875,7.946666666666666
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,28.19424242424242,,27.496666666666666,28.074814814814815,28.30888888888889,27.178529411764703,28.7
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.463414634146341,,11.6605,11.59953488372093,11.717560975609757,11.676744186046513,11.488249999999999
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.5905,,12.080526315789474,12.368571428571428,11.75090909090909,12.151666666666667,11.825000000000001
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,33.44833333333333,,33.338,34.9725,34.757999999999996,34.558,36.95
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,23.9,,26.197499999999998,26.233333333333334,24.947499999999998,24.4225,20.8
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.284193548387098,,14.366666666666667,14.973333333333333,14.7896,15.5856,15.263809523809522
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,36.05866666666667,,36.597857142857144,37.153076923076924,37.74454545454545,38.769,37.757999999999996
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,30.947499999999998,,30.947499999999998,31.494999999999997,27.445,31.494999999999997,30.659999999999997
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,20.0,,20.0,20.0,25.0,25.0,16.0
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,20.8,,19.896666666666665,19.4725,18.776,17.99,18.1725
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,29.55272727272727,,28.73222222222222,29.798333333333332,29.631666666666664,28.89076923076923,28.062142857142856
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.859375,,12.046666666666667,12.09769230769231,12.139166666666668,12.365384615384615,11.6325
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,18.46652173913043,,19.9625,19.7815,17.89818181818182,18.950434782608696,17.5735
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.170499999999999,,14.154285714285715,14.209795918367346,14.343,14.211363636363636,14.761052631578947
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,27.05,,27.28625,27.53625,28.61125,28.809999999999995,29.360000000000003
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,7.695,,7.195,,14.0,7.5,10.995000000000001
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,30.35,,31.445,28.929999999999996,27.9,27.9,28.35
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,37.39714285714285,,36.75222222222222,36.235,34.8475,37.37555555555556,40.13333333333333
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.52848484848485,,14.556666666666665,15.074333333333334,15.015588235294118,14.508275862068967,14.65
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,9.255882352941176,,9.722666666666667,9.344117647058823,9.016875,8.835625,8.928125
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,7.225714285714287,,7.260000000000001,7.311428571428571,7.015000000000001,6.534000000000001,7.136
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.473913043478262,,14.530149253731343,14.464705882352941,14.52186440677966,14.622063492063493,15.301754385964912
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.321333333333335,,16.447083333333335,16.657826086956522,16.561458333333334,16.626590909090908,16.654
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.54122448979592,,16.816326530612244,16.492,16.410476190476192,16.50288888888889,16.59522727272727
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.034848484848483,,9.089051094890511,8.956549295774648,8.907785714285714,8.857537313432836,8.803577235772359
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.89528735632184,,9.997586206896552,10.003370786516854,10.673484848484849,10.752716049382716,10.73439393939394
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.943809523809524,,14.044177215189874,14.913026315789471,16.086271186440676,16.851803278688525,15.847076923076923
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.646233766233767,,6.572054794520548,6.514722222222222,6.512142857142857,6.501194029850746,6.48421052631579
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,2.5261538461538464,,2.5112,2.517272727272727,2.4831578947368422,2.5252631578947367,2.6044444444444443
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,8.549999999999999,,8.864285714285714,8.549999999999999,8.549999999999999,8.742857142857142,8.549999999999999
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,6.48,,6.411428571428572,6.411428571428572,6.446666666666666,6.411428571428572,6.48
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.449333333333333,,4.455970149253732,4.4455072463768115,4.428225806451613,4.427076923076923,4.399076923076923
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.937567567567568,,5.8548484848484845,5.596857142857142,5.675526315789473,5.926216216216217,5.633333333333334
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.853267326732674,,8.836095238095238,8.843398058252427,8.840337078651684,8.959565217391305,8.762
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.928365384615384,,5.9467592592592595,5.871047619047619,5.708854166666666,5.6422,5.496477272727272
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.24380281690141,,11.245972222222223,11.643194444444443,12.23623188405797,12.22082191780822,11.84590909090909
