item_code,item,unit,item_group,item_category,2022-02-07,2022-02-08,2022-02-14,2022-02-21,2022-02-22,2022-02-28
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.84103448275862,,8.844285714285714,8.85181818181818,,8.848970588235295
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,10.590555555555556,,10.604210526315791,10.6695,,10.681999999999999
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,40.03888888888889,,41.126666666666665,39.74888888888889,,39.62777777777777
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,37.9,37.9,,37.9
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,22.62363636363636,,21.875555555555554,22.763333333333335,,22.785999999999998
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.622777777777778,,4.999047619047619,4.663181818181818,,4.681739130434783
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.0016,,5.208846153846154,5.206551724137931,,5.2208000000000006
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.1850000000000005,,5.463333333333334,5.464444444444444,,5.540909090909091
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.4966666666666666,,3.9933333333333336,4.381428571428572,,4.33
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.527857142857143,,3.5050000000000003,3.5875,,3.535625
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,9.393333333333333,,9.182222222222222,9.285238095238096,,8.935294117647059
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.4825,,5.908571428571428,6.007857142857143,,5.8127272727272725
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.605,,3.5583870967741937,3.543611111111111,,3.459142857142857
26,ANGGUR HIJAU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,29.9,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,18.558888888888887,,18.461052631578948,17.88470588235294,,19.0565
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,1.39,,,,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.5200000000000005,,6.34625,5.987857142857143,,5.8307142857142855
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,8.323333333333332,,8.493333333333334,8.3675,,8.16
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,28.3924,,28.190322580645162,29.16483870967742,,28.857599999999998
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.472051282051282,,11.678648648648648,11.83,,11.494871794871795
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.382941176470588,,11.304615384615385,10.727692307692308,,11.072307692307692
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,37.300000000000004,,37.475,37.14833333333333,,37.64833333333333
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,30.95,,30.95,28.599999999999998,,26.9
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,16.107333333333333,,15.222962962962962,15.882592592592593,,16.171935483870968
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,39.315000000000005,,37.25333333333333,38.938,,37.783076923076926
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,29.293333333333333,,32.63,30.131666666666664,,28.798333333333332
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,21.85,,20.85,21.633333333333336,,23.03333333333333
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,18.63,,19.773999999999997,16.172,,19.126666666666665
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,29.319,,29.13222222222222,27.698888888888888,,28.743636363636366
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.666153846153845,,13.638333333333334,12.803125,,12.809285714285716
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,18.99157894736842,,20.959047619047617,20.307,,20.676666666666666
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.345555555555556,,14.51878787878788,14.18674418604651,,14.607045454545455
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,27.657999999999998,,25.16,27.542857142857144,,25.215
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,7.99,,7.745,,,
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,29.9,,,,,
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,37.43222222222222,,36.315,36.665,,39.0
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.438333333333333,,14.941,14.658214285714285,,14.5628125
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,9.0375,,8.989333333333333,8.9525,,9.096470588235295
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,7.326666666666667,,6.734,6.88375,,7.965714285714286
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,15.730461538461538,,15.702615384615386,15.456999999999999,,14.613999999999999
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,17.245581395348836,,18.084722222222222,18.448809523809523,,18.252564102564104
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,18.2555,,19.657045454545454,20.75609756097561,,19.732105263157894
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.73427536231884,,8.50963503649635,8.730396825396825,,8.540230769230769
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.814683544303797,,11.503561643835617,11.432359550561799,,11.29722891566265
