item_code,item,unit,item_group,item_category,2022-03-07,2022-03-14,2022-03-21,2022-03-22,2022-03-28
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.84222222222222,8.846615384615385,8.849692307692308,,8.851230769230769
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,10.7365,10.7365,10.717,,10.786666666666667
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,38.47833333333333,38.76714285714286,37.394,,40.674
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,37.9,,,,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,,,,41.0
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,23.177,22.817,22.242727272727272,,22.242727272727272
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.769473684210527,4.643478260869565,4.731,,4.935
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.215769230769231,5.215217391304348,5.3252,,5.184583333333333
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.315,5.476,5.768571428571429,,5.7681818181818185
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.381428571428572,4.28,4.452222222222222,,4.396
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.5016129032258063,3.4094117647058826,3.466875,,3.279166666666667
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,8.586923076923076,8.91,8.712307692307693,,9.459411764705882
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.783333333333333,5.678461538461538,5.932307692307693,,6.094166666666666
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.5965625,3.4751515151515155,3.502727272727273,,3.5225714285714287
26,ANGGUR HIJAU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,29.9,29.9,,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,19.74857142857143,19.856470588235293,20.79222222222222,,21.103157894736842
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,2.49,,2.49
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.894705882352942,5.87047619047619,5.852941176470588,,6.210555555555555
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.976000000000001,8.7425,8.394,,8.293333333333335
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,29.798095238095236,29.807666666666666,28.841470588235296,,29.134999999999998
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.62764705882353,11.752,11.602307692307692,,11.992105263157894
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.266428571428571,11.250714285714285,11.356,,11.688461538461537
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,36.725,38.778,38.778,,37.378
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,29.599999999999998,25.35,24.6475,,25.822499999999998
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,16.383214285714285,16.867037037037036,16.788695652173914,,15.285769230769231
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,37.58166666666667,39.242222222222225,38.6475,,38.2725
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,29.445,27.959999999999997,29.945,,29.445
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,20.0
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,17.044999999999998,18.095,18.395,,16.595
