item_code,item,unit,item_group,item_category,2022-04-01,2022-04-04,2022-04-05,2022-04-11,2022-04-18,2022-04-25,2022-04-29,2022-04-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.9,8.905076923076924,,8.927611940298506,8.91446153846154,8.910882352941178,8.911935483870968,8.9
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,,10.760526315789473,,10.760526315789473,10.760526315789473,10.774117647058823,10.708421052631579,
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,41.22571428571428,,41.736000000000004,42.72571428571428,41.26,41.2975,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,,,41.0,41.0,41.0,41.0,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,22.27,,22.489166666666666,22.220000000000002,22.01142857142857,21.281666666666666,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,2.9,4.7011111111111115,,4.873043478260869,4.778260869565218,4.562916666666667,4.550909090909091,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.5,5.246923076923077,,5.150857142857143,5.352068965517241,5.4237931034482765,5.265769230769231,5.49
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,5.764615384615384,,5.485555555555555,5.363333333333333,5.36,4.997142857142857,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,4.485,,4.8975,5.258,4.9225,4.597777777777778,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,3.71483870967742,,4.13875,4.16325,4.1445454545454545,4.240555555555556,
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,8.9,9.254666666666667,,9.499545454545455,9.40090909090909,9.466666666666667,9.43875,
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,6.306,,6.369375,6.409285714285715,6.1129411764705885,6.43,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,2.8499999999999996,3.5175675675675677,,3.5048717948717947,3.59421052631579,3.653783783783784,3.577058823529412,3.8
26,ANGGUR HIJAU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,31.9,31.9,,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,20.21923076923077,,20.084,19.396,18.82125,19.532857142857143,
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,2.49,,1.94,1.39,0.89,0.89,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,6.033333333333333,,6.045833333333333,6.185454545454546,5.787142857142858,5.834375,
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,7.672499999999999,,7.712727272727273,8.228333333333333,7.961666666666667,7.824285714285714,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,26.9,29.159310344827585,,28.826428571428572,29.5475,29.071153846153848,28.804642857142856,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,10.466666666666667,11.969375,,11.791714285714285,11.707380952380952,11.609166666666667,11.628857142857143,
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.9,11.146,,11.081428571428571,10.896153846153847,11.260000000000002,11.435384615384617,
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,33.9,39.330000000000005,,37.615,38.465,36.980000000000004,37.2,
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,27.4,,,27.4,26.899999999999995,27.4,24.9,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,13.1,15.4856,,15.672727272727274,15.731153846153846,14.756486486486487,14.850999999999999,15.99
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,38.95,40.15875,,40.01777777777777,38.73111111111111,40.007,40.18555555555556,
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,31.9,27.467499999999998,,28.611666666666665,28.353999999999996,25.793333333333333,23.99,
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,37.0,,,26.0,,32.0,
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,16.095,,17.445,17.994999999999997,18.626666666666665,20.99,
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,30.9,30.86444444444444,,29.879090909090905,31.513076923076923,30.936666666666667,30.963333333333335,
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.9,12.770909090909093,,13.347999999999999,13.07736842105263,12.269285714285715,12.960909090909091,
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,16.933333333333334,19.24925925925926,,19.49375,19.457272727272727,19.570384615384615,19.334,
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,9.9,13.778285714285715,,13.971555555555556,14.368,14.463414634146341,11.953235294117647,12.0
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,21.9,25.225,,26.119999999999997,26.32857142857143,27.5875,26.24285714285714,
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,7.5,,7.995,6.0,8.495000000000001,10.0,
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,27.99,27.895,25.494999999999997,28.395,
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,34.19714285714286,,35.858,35.676,38.858,34.745,
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.6,14.319285714285714,,13.63864864864865,13.857241379310345,14.132903225806452,13.455945945945945,16.49
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,,8.577333333333334,,8.952777777777778,8.990666666666668,8.978125,8.976,
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,6.9,10.49,,9.195714285714287,9.98,8.728333333333333,8.81,12.99
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.975,14.749298245614035,,15.316818181818181,15.186363636363636,15.08125,14.806666666666667,
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,17.375,17.627428571428574,,17.968478260869563,17.63888888888889,17.30090909090909,16.251372549019607,
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,17.925,,19.27953488372093,18.57239130434783,17.942127659574467,17.18045454545455,17.99
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.383333333333333,8.141603053435114,,8.193138686131388,8.107384615384616,8.128695652173914,7.667307692307692,8.5
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.0,10.051232876712328,,10.438648648648648,10.887654320987654,11.145806451612902,10.97857142857143,8.99
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,12.975,13.094696969696969,,13.86972602739726,14.909090909090908,14.687012987012988,14.761973684210528,18.59
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.5,8.196111111111112,,8.57125,8.742692307692307,8.315058823529412,7.298333333333333,7.745
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,2.3,2.481176470588235,,2.446470588235294,2.466111111111111,2.480625,2.4564285714285714,
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,7.6,8.120000000000001,,8.033333333333333,8.120000000000001,8.2,7.859999999999999,
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,,6.498333333333334,,6.498333333333334,6.238,6.2475000000000005,6.238,
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.333333333333333,4.495178571428571,,4.56453125,4.51983606557377,4.378636363636364,4.054927536231884,3.95
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,4.45,,4.515,4.4592857142857145,4.599722222222223,4.6621875,
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.76,8.58772151898734,,8.685930232558139,8.59611111111111,8.692777777777778,8.638181818181819,11.99
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.475,5.1424468085106385,,5.286960784313726,5.106868686868687,5.204339622641509,5.235242718446602,4.49
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.9,9.826666666666668,,11.006551724137932,10.524736842105263,10.644,7.974666666666667,7.5
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.116666666666666,4.149056603773585,,4.145225225225225,3.953838383838384,3.8991346153846154,3.665140186915888,
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.96,5.6193333333333335,,5.7129166666666675,6.597373737373737,6.031777777777778,5.888210526315789,6.0
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.3,4.3,,4.3,4.3,4.3,4.3,
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,4.1,4.1,,4.1,4.1,4.1,4.1,
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,3.9,3.9,,3.9,3.9,3.8999999999999995,3.9,
124,TELUR PUYUH,15 Biji,BARANGAN SEGAR,TELUR,3.38,3.4311764705882357,,3.488205128205128,3.53780487804878,3.497441860465116,3.6512820512820516,
125,TELUR ITIK,10 biji,BARANGAN SEGAR,TELUR,,11.695,,11.796666666666667,11.796666666666667,11.695,10.39,
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,4.042857142857143,4.322828947368421,,4.314451219512195,4.298385093167703,4.276626506024096,4.187639751552795,4.5
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,9.6,10.45217391304348,,10.300704225352113,9.809078947368421,9.816385542168675,9.365844155844155,
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,10.879999999999999,11.333846153846155,,11.240689655172414,11.172666666666666,11.156,11.0552,
148,IKAN BILIS GRED B (KOPEK),1kg,BARANGAN KERING,HASIL LAUT KERING,46.666666666666664,31.26241379310345,,33.04705882352941,33.9253125,32.956875,33.92354838709677,
152,KACANG HIJAU (IMPORT),1kg,BARANGAN KERING,KACANG,7.7875,8.062714285714286,,7.991879194630872,8.034391891891891,8.041756756756758,8.071798561151079,9.98
154,SERBUK KUNYIT (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),,1.0,,1.0,1.0,1.0,1.0,
160,UBI KENTANG RUSSET,1kg,BARANGAN KERING,UBI KENTANG,,7.245,,7.245,7.245,7.99,7.99,
171,KORDIAL SUNQUICK (OREN),840 ml,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,13.090824175824176,14.9,
180,TEH BOH (UNCANG),100 beg,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,13.34179775280899,,
190,SARDIN CAP AYAM (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,4.4714285714285715,4.383714285714286,,4.393466666666667,4.403289473684211,4.390993788819876,4.3927450980392155,
191,SARDIN CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.883333333333333,9.055,9.3,9.061904761904762,9.076420454545454,9.05861111111111,9.056011560693642,
192,SARDIN CAP KING CUP (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,3.651808510638298,,3.672886597938144,3.6873737373737376,3.6984946236559137,3.710526315789474,
193,SARDIN CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,7.711203703703704,,7.726090909090909,7.746379310344828,7.771388888888889,7.764196428571429,
195,MACKAREL CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.9,9.065333333333333,,9.057678571428571,9.048511904761906,9.049585798816569,9.049263803680981,
197,MACKAREL CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,8.045454545454545,,8.183333333333334,8.160769230769231,8.114615384615385,8.127272727272727,
