item_code,item,unit,item_group,item_category,2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-05,2022-11-06,2022-11-07,2022-11-08,2022-11-09,2022-11-10,2022-11-11,2022-11-12,2022-11-13,2022-11-14,2022-11-15,2022-11-16,2022-11-17,2022-11-20,2022-11-21,2022-11-22,2022-11-23,2022-11-24,2022-11-25,2022-11-26,2022-11-27,2022-11-29,2022-11-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.3,9.3,9.3,9.333333333333334,9.3,9.3,9.383333333333333,9.4,9.4,9.4,9.350000000000001,9.350000000000001,9.350000000000001,9.378846153846155,9.2,9.2,9.4,9.4,9.391666666666667,9.4,9.2,9.2,9.2,9.2,9.2,9.392156862745098,9.4
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,,,,,,,11.173461538461538,,,,,,,11.138846153846155,,,,,11.166153846153845,10.79,,,,,,11.152592592592592,
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,42.85,,,,,,,41.94285714285714,,,,,41.94285714285714,,,,,,,45.019999999999996,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,,,,,,44.995000000000005,,,,,,,44.995000000000005,,,,,44.995000000000005,,,,,,,48.99,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,18.5,18.5,18.5,18.5,18.5,18.5,22.51142857142857,18.5,18.5,18.5,18.5,18.5,18.5,22.38923076923077,18.5,18.5,18.5,18.5,22.982857142857142,,,,,,,23.755,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.5,3.5,3.5,3.5,3.5,3.5,4.994814814814815,3.5,3.5,3.5,3.5,3.5,3.5,4.670909090909091,,3.5,3.5,1.9,4.676363636363636,1.9,1.9,1.9,1.9,1.9,,4.5976923076923075,1.9
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.5,5.5,5.2,5.2,5.2,5.633333333333333,6.107826086956522,5.633333333333333,5.2,5.2,5.633333333333333,5.633333333333333,5.633333333333333,6.061153846153847,5.633333333333333,5.633333333333333,5.633333333333333,5.633333333333333,6.048095238095238,4.9,4.9,5.2,5.2,5.633333333333333,5.633333333333333,6.0009999999999994,5.633333333333333
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,6.865,,,,,,,5.72375,,,,,6.585555555555555,,,,,,,6.68375,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,4.431111111111111,,,,,,,4.66,,,,,4.613333333333333,,,,,,,4.878,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.9,3.9,3.9,3.9,3.9,3.5,4.737368421052631,3.5,3.5,3.5,3.5,3.5,3.5,4.723076923076923,3.5,3.5,3.5,3.5,4.594857142857142,3.5,3.5,3.5,3.5,3.5,3.5,4.502941176470588,3.5
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,7.5,9.25,9.25,9.114,10.75,11.0,9.25,9.466666666666667,9.466666666666667,9.666666666666666,9.133125,9.799999999999999,9.2,8.4,9.4,9.506666666666666,10.9,10.9,,11.9,7.9,7.9,9.166666666666666,9.9
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,3.9,3.9,6.284666666666666,3.9,3.9,3.9,3.9,3.9,3.9,6.242142857142857,3.9,3.9,3.9,,6.235714285714286,,,,,,,6.569999999999999,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.9,3.9,3.9,3.9,3.9,3.9,4.387297297297297,3.9,3.9,3.9,3.9,3.9,3.9,4.464444444444444,3.9,3.9,4.2,4.2,4.270833333333333,3.9,3.9,3.9,3.9,4.4,4.9,4.319459459459459,4.9
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,16.77529411764706,,,,,,,15.65764705882353,,,,,15.695384615384615,,,,,,,15.244375,
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,,,,,,1.2,,,,,,,,,,,,1.2,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,7.138888888888889,,,,,,,7.325,,,,,7.278333333333333,,,,,,,7.258,
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,10.945,,,6.9,6.9,6.9,6.9,8.945,6.9,6.9,6.9,6.9,9.263333333333334,6.9,6.9,,,,,9.22,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,27.9,27.9,27.9,26.9,27.9,27.9,28.406666666666666,29.95,28.95,28.95,,29.95,28.0,29.006249999999998,,,,31.9,28.570476190476192,32.0,32.0,30.25,30.25,31.95,31.9,28.42678571428571,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,7.9,11.5,10.9,8.9,8.9,8.9,11.363636363636363,7.9,9.4,9.4,9.9,10.5,,11.602105263157895,12.5,10.2,10.2,10.2,11.83235294117647,8.9,9.9,9.9,9.9,9.9,9.9,11.570652173913043,10.2
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,11.4,10.9,11.4,11.33,11.9,11.7,12.2,11.9,11.9,12.4,10.969090909090909,,11.9,11.9,11.9,11.58,11.9,11.9,11.9,11.9,11.9,11.9,11.396666666666667,12.5
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,36.9,36.9,36.9,36.9,36.9,36.9,36.464999999999996,,,,,,,37.958,,36.9,36.9,36.9,39.222500000000004,36.9,36.9,34.9,34.9,34.9,34.9,36.24,34.9
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,24.4,28.9,,19.9,19.9,24.4,24.4,28.9,19.9,28.9,28.9,,,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.933333333333332,14.933333333333332,14.6,14.766666666666666,17.5,17.5,16.028928571428573,15.799999999999999,14.9,16.766666666666666,14.4,14.9,14.9,15.859545454545453,15.266666666666666,15.266666666666666,14.799999999999999,16.7,17.088,15.799999999999999,15.799999999999999,15.4,15.9,,,15.704642857142858,13.95
