item_code,item,unit,item_group,item_category,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.15,9.15,9.361896551724138,9.15,9.15,9.15,9.15,9.15,9.15,9.367678571428572,9.15,9.15,9.15,9.4,,9.4,9.369285714285715,9.15,9.15,9.373508771929824,9.15,9.15,9.372545454545454,9.15,9.15,9.15
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,10.8,10.8,11.387619047619049,,,10.8,,10.8,10.8,11.397619047619049,10.8,10.8,10.8,10.8,10.8,10.8,11.4275,10.8,10.8,11.35904761904762,10.8,10.8,11.36809523809524,10.8,10.8,10.8
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,36.8,36.8,33.794999999999995,36.8,36.8,36.8,,36.8,36.8,33.129999999999995,36.8,36.8,36.8,36.8,36.8,36.8,33.129999999999995,36.8,36.8,33.695,36.8,36.8,33.4475,36.8,36.8,36.8
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,22.169999999999998,,,,,,,22.169999999999998,,,,,,,21.64,,,21.765833333333333,,,21.383076923076924,,,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.9,4.9,5.373684210526316,4.9,4.9,4.9,4.9,,4.9,5.6657142857142855,4.9,4.9,4.9,4.9,,4.9,5.362272727272727,,,5.560416666666666,,,5.58,4.9,4.9,4.9
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.166666666666667,6.166666666666667,6.484117647058824,6.166666666666667,6.166666666666667,6.166666666666667,6.166666666666667,6.5,6.5,6.566875,6.5,6.5,6.5,6.5,,6.5,6.585806451612903,6.5,6.5,6.693333333333333,6.5,6.5,6.592758620689655,6.5,6.5,6.166666666666667
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,5.46,,,,,,,5.698571428571428,,,4.9,4.9,,4.9,6.8585714285714285,4.9,,6.5962499999999995,,,6.38375,,,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.5,6.5,5.15,6.5,6.5,6.5,,6.5,6.5,5.096666666666667,6.5,6.5,6.5,6.5,6.5,6.5,4.395,,,4.395,,,4.395,,,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.2,5.2,4.835,5.2,5.2,5.2,3.9,5.2,5.0,4.819523809523809,4.833333333333333,4.733333333333333,4.733333333333333,4.733333333333333,5.35,5.0,4.612972972972973,4.2,4.2,4.6235,4.2,4.2,4.366285714285714,2.9,2.9,2.9
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,10.1,10.1,9.519285714285715,9.833333333333334,9.833333333333334,6.5,6.5,6.5,7.5,9.108235294117648,9.1,9.1,9.1,9.1,10.7,9.35,9.482857142857144,9.6,9.6,9.75,9.833333333333334,9.833333333333334,9.507222222222222,9.833333333333334,8.299999999999999,8.299999999999999
