item_code,item,unit,item_group,item_category,2023-05-02,2023-05-03,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.15,9.15,9.15,9.15,9.15,9.37125,9.15,9.3695,9.15,9.15,9.275,9.233333333333334,9.15,9.15,9.372363636363637,9.15,9.15,9.3,9.3,9.3,9.3,9.378214285714288,9.3,9.3
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,10.8,10.8,10.8,10.8,10.8,11.38684210526316,10.8,11.330952380952382,,10.8,10.8,10.8,10.8,10.8,11.288636363636364,10.8,10.8,10.8,10.8,10.8,10.8,11.306818181818182,10.8,10.814545454545454
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,36.8,36.8,36.8,36.8,36.8,32.556,36.8,33.129999999999995,36.8,36.8,36.8,36.8,36.8,36.8,34.446666666666665,36.8,36.8,36.8,36.8,36.8,36.8,35.538,36.8,35.2225
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,,,,22.27090909090909,,22.256999999999998,,,,,,,22.006363636363634,,,,,,,21.787272727272725,,24.65
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.9,4.9,4.9,4.9,4.9,5.5445,,5.47047619047619,,,,,,,5.5631818181818184,,,,,,,5.740555555555556,,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.5,6.5,6.5,6.166666666666667,6.166666666666667,6.307037037037037,6.5,6.399259259259259,6.2,6.2,6.9,6.9,6.9,7.5,6.432307692307693,,5.5,6.5,6.5,6.5,6.5,6.417142857142857,6.5,6.166666666666667
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,6.267142857142858,,6.417777777777778,,,,,,,6.607777777777778,,,,,,,5.816666666666666,,4.9
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,4.5633333333333335,,4.775,5.5,5.5,5.5,5.5,5.5,5.5,4.696666666666666,5.5,5.5,5.5,5.5,5.5,5.5,4.108750000000001,5.5,3.8675
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,2.9,2.9,2.9,2.9,2.9,4.031081081081081,2.5,3.3375,2.2,,4.0,2.2,2.2,2.2,3.378,2.2,2.2,2.2,2.2,2.2,2.2,3.3338235294117644,2.2,3.5425
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,8.2,8.1,7.766666666666667,7.766666666666667,7.766666666666667,9.000454545454545,8.066666666666668,8.812105263157894,8.733333333333334,8.733333333333334,9.350000000000001,9.066666666666668,9.066666666666668,9.066666666666668,8.576875000000001,8.6,8.5,8.5,8.5,7.966666666666666,7.966666666666666,8.851111111111111,8.766666666666667,8.463333333333333
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,7.1785,,6.805882352941176,9.2,9.2,7.6,9.2,9.2,9.2,6.166428571428571,9.2,9.2,9.2,9.2,9.2,9.2,6.207857142857143,,8.7925
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.5,3.5,3.5,3.5,4.0,4.434736842105264,4.0,4.538648648648649,2.9,,4.0,3.5,2.9,,4.384594594594595,,,,,,,4.45390243902439,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,22.9,,,,20.45529411764706,28.5,20.29692307692308,28.5,28.5,28.5,28.5,28.5,28.5,21.02,28.5,24.7,24.7,24.7,28.5,28.5,21.474999999999998,28.5,22.7
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,2.49,,2.49,,,,,,,2.49,,,,,,,2.49,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,6.229166666666667,,5.876666666666667,,,,,,,6.146666666666666,,,,,,,6.2299999999999995,,
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,8.370000000000001,,8.7725,,,,,,,8.418000000000001,,,,,,,8.296,,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,26.45,26.45,22.9,22.9,22.9,28.82227272727273,,29.6796,25.9,25.9,28.95,24.95,26.933333333333334,26.933333333333334,30.388666666666666,27.599999999999998,27.599999999999998,27.599999999999998,28.45,28.45,28.45,29.354400000000002,24.95,25.46666666666667
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,9.9,12.95,12.9,11.9,11.9,12.359230769230768,10.9,12.080810810810812,12.9,12.9,12.45,,10.4,10.4,12.34627906976744,10.4,10.4,10.9,9.9,9.2,8.4,12.592702702702702,9.4,10.7
