item_code,item,unit,item_group,item_category,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.4,8.643492063492063,9.4,9.4,9.4,9.4,9.4,9.4,8.508358208955222,8.833333333333334,8.7,9.033333333333333,9.033333333333333,9.033333333333333,9.033333333333333,9.001971830985916,9.133333333333333,9.166666666666666,9.166666666666666,9.166666666666666,8.966666666666667,9.112142857142857,9.05,9.066666666666668,8.966666666666667,8.75,8.75,8.75,8.929565217391305,8.866666666666667
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,10.8,11.30777777777778,10.8,10.8,10.8,10.8,10.8,10.8,11.397368421052633,10.8,10.8,10.8,10.8,,10.8,11.371500000000001,10.8,10.8,10.8,10.8,10.8,11.338947368421053,10.8,10.8,10.8,10.8,10.8,10.8,11.371500000000001,10.8
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,30.945,,,,,,,29.263333333333332,,,,,,,29.237142857142857,,,,,,29.331249999999997,,,,,28.5,28.5,28.83375,28.5
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,,,,,,,,,,,,,,36.4,,,,,,,36.4,
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,,47.9,,,,,,,47.9,,,,,,,,,,,,,,,,,,,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,22.75583333333333,,,,,,,23.105384615384615,,,,,,,23.289166666666663,,,,,,23.08818181818182,,,,,,,22.997,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,5.847142857142858,,,,,,,5.912941176470589,,,,,,,5.929047619047619,,,,,,6.137333333333333,,6.9,6.9,,,,5.890000000000001,5.9
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.5,7.16409090909091,7.5,7.5,7.0,7.0,7.2,6.966666666666666,6.969047619047619,7.2,,6.5,7.2,6.9,6.7,6.850434782608696,6.966666666666666,7.0,7.0,7.0,,7.039166666666667,7.2,6.966666666666666,6.966666666666666,6.966666666666666,6.966666666666666,6.966666666666666,7.192692307692307,
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,6.93625,,,,,,,7.042222222222223,,,,,,,7.579166666666667,,,,,,7.231111111111111,,,,,,,6.96125,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.2,3.8783333333333334,4.2,4.2,4.2,4.2,4.2,4.2,3.8825,4.2,4.2,4.2,4.2,,4.2,4.113333333333333,4.2,4.2,4.2,4.2,4.2,4.196666666666666,4.2,4.2,4.2,4.2,4.2,4.2,4.04625,4.2
