item_code,item,unit,item_group,item_category,2024-11-01,2024-11-02,2024-11-03,2024-11-04,2024-11-05,2024-11-06,2024-11-07,2024-11-08,2024-11-09,2024-11-10,2024-11-11,2024-11-12,2024-11-13,2024-11-14,2024-11-17,2024-11-18,2024-11-19,2024-11-20,2024-11-21,2024-11-22,2024-11-23,2024-11-24,2024-11-25,2024-11-26,2024-11-27,2024-11-28,2024-11-29,2024-11-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.366666666666667,9.333333333333334,9.333333333333334,9.265092592592593,9.333333333333334,9.333333333333334,9.333333333333334,9.200000000000001,9.200000000000001,9.200000000000001,9.031470588235294,9.9,9.445,9.445,9.445,9.02,9.7,9.7,9.9,9.9,9.9,9.9,9.134380952380953,9.233333333333334,9.299999999999999,9.299999999999999,9.299999999999999,9.299999999999999
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.6,11.6,11.6,11.457826086956521,11.6,11.6,11.6,11.6,11.6,11.6,11.411904761904761,11.6,11.6,11.6,11.6,11.368518518518519,11.6,11.6,11.6,11.6,11.6,11.6,11.368518518518519,11.6,11.6,11.6,11.6,11.6
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,29.0,29.0,29.0,29.125,30.5,30.5,30.5,30.5,30.5,30.5,30.133333333333336,30.5,30.5,30.5,30.5,29.689999999999998,30.5,30.5,30.5,27.8,27.8,27.8,29.48,27.8,27.8,27.8,27.8,27.8
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,30.849999999999998,,,,,,,30.849999999999998,,,,,30.849999999999998,,,,,,,30.849999999999998,,,,,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,,,24.99,,,,,,,24.99,,,,,24.99,,,,,,,24.99,,,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,,22.78736842105263,,,,,,,22.384,,,,,22.74473684210526,,,,,,,22.7675,,,,,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.9,3.9,3.9,5.7808,4.9,4.9,4.9,4.9,3.9,3.9,5.4996,4.5,4.5,4.5,4.5,5.163636363636364,5.0,5.0,5.0,5.0,4.5,4.5,5.1684375000000005,4.5,4.5,5.2,4.9,4.9
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.9,5.5,4.5,6.344545454545455,6.3,6.3,6.3,6.3,6.3,6.3,6.311190476190476,6.3,6.3,6.3,5.8,6.276279069767441,5.8,5.8,5.8,5.8,4.75,4.75,6.209047619047619,4.75,4.75,4.75,4.75,4.75
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,5.986,,,,,,,6.368571428571428,,,,,6.025,,,,,,,6.1075,,,,,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,3.8560000000000003,5.5,5.5,5.5,5.5,5.5,5.5,3.907,5.5,5.5,5.5,5.5,3.9373333333333336,5.5,5.5,5.5,5.5,5.5,5.5,3.871875,5.5,5.5,5.5,5.5,5.5
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.5,4.0,4.0,3.471896551724138,2.5,2.5,2.5,2.5,4.0,4.0,3.46140350877193,4.0,4.0,4.0,4.0,3.4933333333333336,4.0,4.0,4.0,5.5,4.0,4.0,3.4916129032258065,5.5,5.5,5.5,5.5,4.0
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,8.433333333333334,7.766666666666667,7.766666666666667,8.818709677419355,7.2,7.2,7.2,7.2,7.2,7.2,9.002058823529412,7.766666666666667,7.2,7.2,7.966666666666666,8.866388888888888,8.5,8.5,8.5,8.5,8.5,8.5,8.821081081081081,8.5,8.5,9.2,9.2,9.9
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.9,5.5,5.5,6.677826086956522,5.5,5.5,5.5,5.5,6.5,6.5,6.9159999999999995,6.5,6.5,6.5,6.5,6.831153846153847,6.5,6.5,,6.5,6.5,6.5,6.914642857142858,7.5,7.5,7.5,7.5,7.5
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,2.9,2.9,2.9,4.306333333333333,2.9,2.9,2.9,2.9,2.9,2.9,4.260363636363636,2.9,2.9,2.9,2.9,4.262131147540984,2.9,2.9,2.9,3.2,3.2,3.2,4.2306779661016956,2.9,2.9,2.9,2.9,2.9
