item_code,item,unit,item_group,item_category,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10,2025-10-11,2025-10-12,2025-10-13,2025-10-14,2025-10-15,2025-10-16,2025-10-17,2025-10-18,2025-10-19,2025-10-20,2025-10-21,2025-10-22,2025-10-23,2025-10-24,2025-10-25,2025-10-26,2025-10-27,2025-10-28,2025-10-29,2025-10-30,2025-10-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.9525,8.997777777777777,9.03111111111111,9.03111111111111,9.03111111111111,8.776717948717948,9.03111111111111,9.03111111111111,9.03111111111111,9.03111111111111,9.03111111111111,8.997777777777777,8.758676470588235,8.975555555555555,9.002222222222223,8.820343137254902,9.046666666666667,9.102500000000001,9.102500000000001,9.350000000000001,9.046666666666667,9.013333333333334,9.013333333333334,8.856666666666667,9.011,9.084444444444445,8.963932038834951,9.231,9.231,9.251000000000001,9.251000000000001
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.116,11.116,10.955,10.955,10.955,11.436739130434784,11.116,11.116,11.185555555555556,10.955,10.956666666666669,10.955,11.575208333333334,11.126999999999999,11.116,11.645185185185186,10.972222222222221,10.972222222222221,10.972222222222221,11.267407407407408,11.151111111111112,11.162222222222221,11.162222222222221,10.983333333333333,10.983333333333333,10.983333333333333,11.59095238095238,11.13375,11.13375,11.13375,11.14111111111111
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,30.584375,,,,,,,30.798333333333332,,,29.428461538461537,,,,,,,,,,,30.673333333333332,,,,
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,36.9,,,,,,,36.9,,,30.0,,,,,,,,,,,30.0,,,,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,,,,,38.9,,,,,,,37.445,,,34.2,,,,,,,,,,,36.55,,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,,,,23.946428571428573,,,,,,,23.846363636363638,,,23.82526315789474,,,,23.72666666666667,,,,,,,23.89627906976744,,,,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,5.745,,,,,,,6.463333333333334,,,6.463333333333334,,,,,,,,,,,6.176,,,,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,5.9725,,,,,,,5.9725,,,6.4725,,,,,,,,,,,5.9725,,,,
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,5.2,,,,,,,5.2,,,5.2,,,,,,,,,,,5.2,,,,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,3.9,,,,,,,3.9,,,,,,,,,,,,,,4.0,,,,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,4.566666666666666,,,,,,,4.646666666666667,,,4.3759999999999994,,,,,,,,,,,4.076,,,,
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,8.656,,,,,,,8.668571428571429,,,8.296666666666667,,,,7.4,,,,,,,8.4225,,,,
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,6.463333333333334,,,,,,,7.433333333333334,,,7.533333333333334,,,,,,,,,,,6.0,,,,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,3.7225,,,,,,,3.2266666666666666,,,3.545,,,,,,,,,,,3.545,,,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,12.350000000000001,,,,,,,10.7,,,13.9,,,,12.675,,,,,,,12.733333333333334,,,,
