item_code,item,unit,item_group,item_category,2025-11-01,2025-11-02,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-08,2025-11-09,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-16,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-22,2025-11-23,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28,2025-11-29,2025-11-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.221,9.241,9.21160975609756,9.34,9.373999999999999,9.304444444444444,9.38125,9.282222222222224,9.281,9.290696517412936,9.28,9.28,9.28,9.25,9.26375,9.268020304568529,9.271818181818182,9.25,9.25,9.25,9.1775,9.1775,9.29219895287958,9.209999999999999,9.474285714285713,9.39,9.26142857142857,9.388333333333334,9.19125
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.14111111111111,11.29625,11.529787234042553,11.33,11.277,11.277,11.216,11.073333333333332,10.845,11.479772727272728,11.11888888888889,11.096666666666668,10.942222222222222,10.942222222222222,10.763333333333334,11.490909090909092,11.277,11.277,11.277,11.116,11.062222222222223,11.062222222222223,11.506818181818183,11.217777777777778,11.216666666666667,11.216666666666667,11.037777777777778,10.90875,11.015
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,30.97,,,,,,,31.177142857142854,,,,,,31.189090909090908,,,,,,,31.841875,,,,,,
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,,,,,,,,37.9,,,,,,,37.9,,,,,,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,,34.2,,,,,,,34.2,,,,,,34.2,,,,,,,34.2,,,,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,24.496153846153845,,,,,,,24.316842105263156,,,,,,24.147027027027026,,,,,,,24.066216216216215,,,,,,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,6.4725,,,,,,,6.3225,,,,,,5.976000000000001,,,,,,,6.0633333333333335,,,,,,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,6.663333333333334,,,,,,,6.4725,,,,,,6.5725,,,,,,,6.4725,,,,,,
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,6.5,,,,,,,5.2,,,,,,5.2,,,,,,,5.2,,,,,,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,4.35,,,,,,,3.9,,,,,,3.5,,,,,,,3.8666666666666667,,,,,,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,3.1225,,,,,,,3.43,,,,,,2.9450000000000003,,,,,,,3.4633333333333334,,,,,,
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,8.940000000000001,,,,,,,8.93,,,,,,8.3,,,,,,,8.941428571428572,,,,,,
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,4.6225000000000005,,,,,,,5.216,,,,,,5.62,,,,,,,6.027142857142857,,,,,,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,3.53,,,,,,,4.1579999999999995,,,,,,4.1579999999999995,,,,,,,4.1579999999999995,,,,,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,12.416666666666666,,,,,,,12.52,,,,,,12.52,,,,,,,12.0,,,,,,
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,1.1,,,,,,,1.1,,,,,,1.1,,,,,,,1.1,,,,,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,7.13,,,,,,,6.93,,,,,,6.445,,,,,,,7.330000000000001,,,,,,
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,25.501442307692308,,,,,,,25.710091743119268,,,,,,26.072452830188677,,,,,,,26.18517857142857,,,,,,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,9.642727272727273,9.97,10.943809523809524,9.880833333333333,9.664166666666667,10.097272727272728,9.816363636363636,9.99,10.151538461538461,11.145121951219513,9.789166666666667,9.907272727272728,9.963333333333333,9.46,9.466,11.072000000000001,10.1225,9.648,9.860909090909091,9.8225,9.815454545454545,9.798,11.033008130081301,9.658,10.253333333333334,10.143636363636363,10.143636363636363,10.0475,10.264444444444443
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,,,22.9,,,,,,,22.9,,,,,,22.9,,,,,,,22.9,,,,,,
