item_code,item,unit,item_group,item_category,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-14,2026-02-15,2026-02-16,2026-02-19,2026-02-20,2026-02-21,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.6725,9.508,9.591111111111111,9.624444444444444,9.624444444444444,9.77875,9.77875,9.77875,9.492901554404146,9.72875,9.72875,9.510673575129534,9.665,9.665,9.624444444444444,9.7225,9.455,9.515,9.515,9.501155778894473,9.512,9.402222222222223,9.402222222222223,9.512,9.585555555555556
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.01,11.06857142857143,11.182857142857143,11.182857142857143,11.182857142857143,11.01,11.01,11.040000000000001,11.539583333333333,11.135,11.135,11.56566037735849,11.118888888888888,11.118888888888888,11.118888888888888,10.882857142857144,10.882857142857144,10.882857142857144,11.135,11.551063829787234,11.135,11.135,11.135,11.01,11.01
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,33.62444444444444,,,33.27125,,,,,,,,33.259375,,,,,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,34.2,,,34.2,,,,,,,,34.2,,,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,24.596923076923076,,,24.510571428571428,,,,,,,,24.509,,,,,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,5.966666666666666,,,5.45,,,,,,,,5.533333333333334,,,,,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,6.1000000000000005,,,6.63,,,,,,,,6.845000000000001,,,,,
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,5.2,,,5.2,,,,,,,,5.2,,,,,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,3.25,,,3.25,,,,,,,,3.7,,,,,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,2.758,,,2.778,,,,,,,,2.93,,,,,
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,8.059999999999999,,,8.1,,,,,,,,8.058,,,,,
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,5.663333333333334,,,5.3725000000000005,,,,,,,,5.3,,,,,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,3.8475,,,3.8475,,,,,,,,3.8475,,,,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,12.745000000000001,,,12.745000000000001,,,,,,,,12.796666666666667,,,,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,8.0,,,8.0,,,,,,,,8.245000000000001,,,,,
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,,,,7.6,,,,,,,,7.6,,,,,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,25.725533980582526,,,25.74448979591837,,,,,,,,25.674210526315786,,,,,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,9.5,9.816666666666666,10.228,10.03111111111111,10.628,9.854444444444445,10.069999999999999,10.654285714285715,11.534433962264151,10.475555555555555,10.235,11.615508474576272,10.242222222222223,10.285,10.817,10.246666666666668,10.435,10.376000000000001,10.878,11.61495145631068,10.787,10.576,10.708888888888888,10.485,10.747
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,22.9,,,22.9,,,,,,,,22.9,,,,,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,15.575,15.325,16.798333333333332,14.716666666666667,15.82375,14.612857142857141,14.275555555555554,13.88625,16.75988636363636,14.787777777777778,14.21,16.973214285714285,14.135,14.135,14.441428571428572,16.133333333333333,16.133333333333333,15.897499999999999,15.434545454545455,16.41602564102564,15.06125,15.212857142857143,16.265,16.597142857142856,15.765
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,26.4,,,26.4,,,,,,,,26.4,,,,,
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,13.133333333333333,14.25,13.725,15.0,15.0,14.833333333333334,13.35,14.1,13.847173913043479,14.666666666666666,11.879999999999999,13.520476190476192,11.466666666666667,10.799999999999999,11.8225,11.25,13.666666666666666,15.163333333333334,13.495000000000001,15.612857142857143,15.325,16.058,15.457999999999998,14.0975,14.575
