item_code,item,unit,n_original,original_std,n_trimmed,new_std,std_reduction,std_reduction_pct
1,AYAM BERSIH - STANDARD,1kg,10755,0.7009331601455119,9805.0,0.34948837594437404,0.35144478420113784,0.5013955740489989
2,AYAM BERSIH - SUPER,1kg,4035,0.9411131006378765,3691.0,0.6637266170629633,0.27738648357491313,0.2947429840121273
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,306,2.8819999945720287,275.0,1.909615559721986,0.9723844348500428,0.3373991799727397
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,10,2.3999083315826892,9.0,1.9759245374704426,0.4239837941122466,0.17666666202731093
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,41,6.7361275243562755,41.0,6.7361275243562755,0.0,0.0
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,3,0.0,3.0,0.0,0.0,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,451,2.894347826748284,412.0,2.3437509047864773,0.5505969219618065,0.19023177410587389
16,BETIK BIASA,1kg,446,1.0568967554831905,407.0,0.7832749393427499,0.27362181614044057,0.2588917173989682
18,PISANG BERANGAN,1kg,372,1.0718476980218263,335.0,0.8721124969558122,0.19973520106601417,0.18634662502390978
19,PISANG EMAS,1kg,141,1.0349062382582375,132.0,0.9279498013964093,0.10695643686182821,0.10334891501073322
20,TEMBIKAI MERAH BERBIJI,1kg,321,1.671621743199235,294.0,1.5148957815465565,0.1567259616526786,0.09375683361998417
21,TEMBIKAI MERAH TANPA BIJI,1kg,542,1.4484322374028475,489.0,1.2628777477144544,0.18555448968839316,0.12810712499820281
22,DRAGON FRUIT MERAH,1kg,416,2.7013143926585528,378.0,2.2714565414568004,0.42985785120175235,0.15912914556335633
24,TEMBIKAI SUSU,1kg,417,1.891784567990732,381.0,1.6973641519236204,0.19442041606711147,0.10277090708780111
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,480,1.1154341345602177,438.0,0.9329498324691328,0.1824843020910849,0.1635993524288487
26,ANGGUR HIJAU BERBIJI,1kg,4,4.370365163995645,2.0,0.3535533905932738,4.016811773402371,0.9191020939151834
27,ANGGUR MERAH BERBIJI,1kg,517,4.287612040347356,502.0,3.7402639622306046,0.5473480781167512,0.12765802338599844
31,LAI KUNING (SAIZ M),1 biji,212,0.6208278558456741,192.0,0.4857108030341909,0.13511705281148323,0.2176401260659134
38,JAMBU BATU BERBIJI,1kg,341,1.2955884442753403,318.0,1.107276173846052,0.18831227042928833,0.14534883454800862
39,JAMBU BATU TANPA BIJI,1kg,255,2.384948400476413,239.0,2.0953925103692415,0.28955589010717153,0.12140970850745884
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,880,6.513358704453991,804.0,4.640172841650442,1.873185862803549,0.2875913868404974
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,9507,2.271231116546648,8725.0,1.7299957164632762,0.5412354000833719,0.23830045130163027
52,KEPALA IKAN JENAHAK,1kg,404,6.403349755157314,364.0,5.7019267103828435,0.7014230447744705,0.10954001758369332
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,4838,3.1444952480695405,4373.0,2.481890365951185,0.6626048821183557,0.21071899616485035
64,KEPALA IKAN MERAH,1kg,371,9.369164693153007,353.0,9.060452167413114,0.3087125257398924,0.03294984514099744
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,3752,3.1275296158587964,3431.0,2.2076788357760275,0.9198507800827689,0.2941141709477257
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,7462,5.245257689965285,6836.0,4.166660938258249,1.0785967517070363,0.20563274780007515
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,8178,2.2034680257637453,7404.0,1.5714379246329429,0.6320301011308025,0.2868342511626572
92,CILI HIJAU,1kg,11004,4.001197365164065,9973.0,2.82788769572074,1.1733096694433245,0.29323963862882685
93,CILI MERAH - KULAI,1kg,3332,3.9007317979477936,3028.0,2.80841694557293,1.0923148523748636,0.2800281867493528
94,CILI MERAH - MINYAK,1kg,9872,5.351493453201593,9102.0,4.091965385965297,1.259528067236296,0.23536010615555714
95,HALIA BASAH (TUA),1kg,15015,7.964030613536399,13553.0,1.4344785195572387,6.52955209397916,0.8198803358290628
