item_code,item,unit,item_group,item_category,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.34438775510204,9.343806228373703,9.353103448275862,9.3520703125,9.352261904761905,9.348509803921567,9.3463671875,9.27787878787879,9.281191489361701,9.289965986394558,9.340170648464165,9.34851851851852,9.352046979865772,9.352542372881356,9.352412587412587,9.351472602739726,9.34878892733564,9.350905923344948,9.291237113402062,9.286172413793103,9.34210970464135,9.350807692307692,9.351768707482993,9.351217105263158,9.33781879194631,9.327417218543047
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.00988888888889,11.016966292134832,10.984555555555556,11.01370786516854,11.011111111111111,11.037934782608696,10.62625,11.191692307692309,11.041685393258428,11.039425287356323,10.988863636363638,10.984666666666667,10.99123595505618,11.022444444444444,11.033181818181818,11.019,11.004606741573035,11.025227272727273,11.027816091954024,10.983493975903615,10.976206896551725,10.994588235294117,10.995888888888889,11.009213483146068,10.996896551724138,10.99095238095238
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,34.08620689655172,33.92303571428572,34.36851851851851,34.22563636363636,34.17611111111111,34.51547169811321,33.76555555555555,34.49166666666667,34.40317073170732,34.24148936170213,34.4046,34.1766,33.5275,33.501,32.8986,32.71384615384615,32.759019607843136,32.89811320754717,33.32326923076923,32.959215686274504,32.644807692307694,33.32490196078431,32.858148148148146,32.971636363636364,32.860727272727274,32.74888888888889
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,37.73625,37.73625,37.221111111111114,37.221111111111114,37.598571428571425,37.455714285714286,36.73,38.9,36.48285714285714,35.995714285714286,36.56166666666667,36.56166666666667,35.51166666666666,35.23857142857143,35.51166666666666,35.51166666666666,35.151428571428575,35.151428571428575,35.151428571428575,35.151428571428575,35.151428571428575,34.75625,34.75625,34.75625,32.021428571428565,32.021428571428565
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,47.596,48.30875,48.30875,47.94111111111111,48.15222222222222,48.15222222222222,48.15222222222222,,49.5475,47.885555555555555,47.885555555555555,47.885555555555555,47.885555555555555,47.885555555555555,47.45875,47.45875,48.95428571428572,49.582857142857144,48.582857142857144,48.00875,50.76333333333333,50.76333333333333,50.76333333333333,50.76333333333333,50.76333333333333,50.76333333333333
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,36.7,36.7,36.7,36.7
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,20.7283908045977,20.77857142857143,20.664597701149425,20.748426966292133,20.75056179775281,21.044431818181817,20.238552631578944,22.289032258064513,21.100853658536582,21.030449438202243,20.909565217391304,20.94111111111111,20.968888888888888,20.992134831460675,20.170632911392403,20.204268292682926,20.163086419753085,20.177529411764706,20.252325581395347,20.209651162790696,19.956555555555553,19.887241379310343,19.699325842696627,19.766321839080458,19.825714285714284,19.851555555555553
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.285103092783505,5.295820895522389,5.297731958762887,5.364467005076142,5.361457286432161,5.377114427860696,5.519,4.716666666666667,5.452967032967034,5.402727272727272,5.371473684210526,5.3228125,5.3426701570680635,5.335421052631579,5.337135135135135,5.348421052631579,5.355268817204301,5.383204419889503,5.384388888888889,5.390960451977401,5.379333333333333,5.406503496503497,5.407432432432433,5.358433734939759,5.375263157894738,5.389221556886228
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.741827411167513,6.7418686868686875,6.778375634517766,6.7358947368421065,6.740374331550802,6.759025641025641,6.746767676767678,6.581739130434783,6.844966887417219,6.763351063829787,6.74632768361582,6.75587912087912,6.746822916666666,6.715767195767196,6.742910052910053,6.73880829015544,6.753924731182796,6.750172413793103,6.7652222222222225,6.788033707865169,6.8547101449275365,6.8332330827067675,6.826598639455782,6.818653846153846,6.801863354037268,6.839881656804734
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.7906249999999995,6.778723404255319,6.863947368421052,6.6905,6.644146341463415,6.683541666666667,6.763541666666666,5.7844444444444445,6.904146341463415,6.90675,6.866818181818181,6.852619047619048,6.933250000000001,6.969148936170213,7.054565217391304,6.997647058823529,6.916666666666667,6.814,6.784897959183673,6.760599999999999,6.843870967741936,6.873666666666667,6.628378378378378,6.660487804878049,6.7465217391304355,6.633541666666667
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.28981981981982,5.34921568627451,5.391868131868132,5.39247311827957,5.355353535353536,5.169902912621359,5.614,4.391666666666667,5.2388775510204075,5.14864077669903,5.144230769230769,5.0505607476635515,5.119907407407408,5.1173786407767,5.118910891089109,5.0436633663366335,5.089340659340659,5.073152173913043,5.019354838709678,4.990416666666667,5.197179487179487,5.1625,5.171951219512195,5.129540229885058,5.100666666666667,5.115934065934066
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.314825174825176,4.332585034013605,4.3579151943462895,4.364169491525424,4.392152317880795,4.40294498381877,4.353923611111111,4.361122448979592,4.345648854961832,4.295849673202614,4.26983606557377,4.198910891089109,4.084483870967742,4.028181818181818,3.9575593220338985,3.913322147651007,3.8702702702702707,3.8468999999999998,3.801428571428572,3.7740967741935485,3.7333333333333334,3.735588235294118,3.6856273764258556,3.6866015625,3.7247083333333335,3.746593886462882
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,9.100979381443299,9.089105263157895,9.074588235294119,9.154654088050316,9.249444444444444,9.364081632653061,9.426259541984733,9.005333333333335,9.392987804878048,9.402038834951457,9.478985507246378,9.446814159292035,9.478170212765958,9.573160173160174,9.548133333333334,9.562136752136752,9.563480176211453,9.536974789915968,9.601111111111111,9.522061403508772,9.336265060240965,9.237413793103448,9.188093023255814,9.093815789473684,8.993822222222223,8.83551724137931
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.685585106382979,6.635612244897959,6.590505617977527,6.554408602150538,6.568969072164949,6.626893203883496,6.675228426395939,6.321323529411765,6.622153110047846,6.6011312217194575,6.466769911504425,6.345652173913043,6.303208333333333,6.2980566801619435,6.320635593220339,6.324143426294821,6.329365079365079,6.316758893280633,6.2933196721311475,6.267948717948718,6.271340206185568,6.0829891304347825,6.012844036697247,5.913375527426161,5.923836206896551,5.911833333333334
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,4.046818181818182,4.061733870967742,4.050666666666666,4.026131687242798,4.062217573221758,4.08484126984127,4.1036086956521745,3.8360937500000003,4.087117903930131,4.102295081967213,4.115795918367347,4.12909090909091,4.135866141732284,4.111895161290323,4.098729508196722,4.098764940239044,4.100671936758894,4.083665338645418,4.0878000000000005,4.078414634146341,4.01758064516129,3.956608187134503,4.031945945945946,4.066071428571429,4.082009803921569,4.119592760180995
26,ANGGUR HIJAU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,25.4,25.4,25.4,25.4,25.4,24.9,,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.95,24.95,24.95,24.95,24.95,24.95,24.95,24.95,24.95,24.95
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,18.471300813008128,18.53890756302521,18.590695652173913,18.672090909090908,18.705775862068965,18.406216216216215,18.392325581395347,19.2325,19.023333333333333,18.853965517241377,18.806050420168066,18.690762711864405,18.776293103448275,18.79449152542373,18.560087719298245,18.419999999999998,18.698347107438018,18.791735537190085,18.747333333333334,18.65722222222222,18.92378947368421,18.844466019417474,18.73779816513761,18.590353982300886,18.56467889908257,18.412190476190474
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,1.8403846153846155,1.8284615384615384,1.8416,1.8525,1.8456521739130436,1.8536000000000001,2.2823076923076924,1.388,1.9376,1.941923076923077,1.8959259259259258,1.8853571428571427,1.8625925925925928,1.8460714285714288,1.8451612903225807,1.8239393939393942,1.8278125,1.811470588235294,1.8075757575757576,1.8203125,1.8706896551724137,1.921153846153846,1.8944444444444444,1.8944444444444444,1.91,1.9140000000000001
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.207767857142857,6.151644444444445,6.183863636363637,6.177911111111111,6.248377192982456,6.303558558558559,6.133961352657005,6.514590163934427,6.462938144329897,6.2843577981651375,6.348857142857143,6.164827586206897,6.213165829145729,6.10116504854369,6.113382352941177,6.06875,6.0947867298578196,6.112344497607656,6.038309178743962,6.0647317073170735,6.298787878787879,6.269493670886076,6.295974842767296,6.253915662650603,6.253785310734464,6.22736559139785
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,9.279133333333334,9.239868421052632,9.2474,9.15579617834395,9.082684563758388,9.052565789473684,9.081586206896551,8.326,9.021574803149607,8.937919463087248,8.892533333333335,8.741568627450981,8.705541401273885,8.6251875,8.732699386503068,8.723493975903613,8.708376623376624,8.744177215189874,8.760891719745223,8.76842105263158,8.854954128440367,8.763157894736842,8.725000000000001,8.72234375,8.768671875,8.816850393700788
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,30.432199999999998,30.38669014084507,29.901666666666664,30.878297872340426,30.559801324503308,30.306249999999995,31.17233333333333,28.747446808510634,31.12262295081967,30.661379310344824,30.37059259259259,30.47021897810219,30.515925925925924,30.683134328358207,30.621363636363636,30.5454054054054,30.479795918367344,30.394370860927147,30.578175675675674,30.43412162162162,30.708740157480314,30.55090277777778,30.54205479452055,30.997407407407405,31.015426356589145,30.95265625
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.467360000000001,11.45979919678715,11.475708502024291,11.378016877637132,11.28042194092827,11.292145922746782,11.442666666666668,10.735671641791045,11.106042780748663,11.150420560747664,11.259288702928872,11.324489795918367,11.427842323651452,11.280714285714286,11.247155555555556,11.267878787878788,11.166527196652721,11.320167364016736,11.653981481481482,11.65420091324201,11.231632653061226,11.28958904109589,11.33050209205021,11.088695652173913,11.04883534136546,11.016532258064515
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,10.805,10.874021739130436,10.819126213592234,10.95801801801802,10.976422018348625,10.953199999999999,10.836666666666668,10.496521739130435,10.571063829787235,11.081634615384615,11.147340425531914,11.211758241758242,11.063333333333333,11.3,11.193333333333333,10.889032258064518,10.814086021505377,10.983170731707316,10.864479166666667,10.861546391752576,10.84897435897436,11.018441558441557,11.3452,11.19135135135135,11.19964705882353,11.201473684210528
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,39.5611320754717,39.64148148148148,39.910333333333334,40.29923076923077,39.863584905660375,39.665,40.35134615384615,35.66238095238095,39.968833333333336,39.852,39.49508771929824,39.54,39.80350877192983,39.8348275862069,39.42296296296296,39.851864406779654,40.279137931034484,40.240175438596495,40.129629629629626,40.0662,40.31767441860465,39.5564,39.81787234042553,40.38666666666666,40.19618181818182,39.9556862745098
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,28.07328125,27.44301587301587,28.00551724137931,27.824754098360653,28.48983606557377,28.272424242424243,28.447301587301585,26.988999999999997,27.850153846153844,27.89764705882353,28.022465753424655,27.824931506849314,27.85082191780822,27.663999999999998,27.938225806451616,28.28015873015873,27.927540983606555,27.89152542372881,27.85983333333333,28.18421052631579,28.039777777777775,28.42734693877551,27.594444444444445,27.598474576271187,28.240000000000002,28.146666666666665
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,15.441376811594202,15.311935483870968,15.381282051282051,15.41415254237288,15.467798165137614,15.67398058252427,15.178799999999999,14.607837837837838,15.922767857142857,16.59375,16.583529411764705,16.7609375,16.840138888888887,16.61361842105263,16.22385185185185,15.841875,15.718376068376068,15.564519230769232,15.48877358490566,15.589351851851852,15.452637362637363,15.622727272727273,15.676862745098038,15.45212389380531,15.598130081300813,15.631293103448275
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,44.273975903614456,44.126666666666665,44.21317647058824,44.15313253012048,44.212,44.30555555555556,44.33355263157895,40.91,44.492763157894736,44.64532467532467,44.84151898734177,44.731,43.90046511627907,44.03114942528736,44.00414634146342,43.54233333333333,43.62282352941177,43.519999999999996,43.7438961038961,43.93,45.92823529411765,45.35612903225806,45.9253125,44.97396825396826,44.53698412698412,44.84847457627119
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,31.026266666666665,30.508243243243246,30.868955223880594,30.929041095890412,31.272236842105265,31.039384615384616,30.717432432432435,28.212307692307693,30.4741095890411,31.014084507042252,31.111549295774648,30.897199999999998,31.06054054054054,31.058615384615383,31.168484848484848,31.595416666666665,31.48328947368421,31.383970588235297,30.816176470588236,31.253125,31.196538461538463,30.94235294117647,31.15037037037037,31.385714285714283,31.192777777777778,30.1737037037037
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,26.72242424242424,26.763030303030302,25.889999999999997,26.218709677419355,26.702142857142857,25.62076923076923,27.255581395348838,24.537499999999998,27.366046511627907,26.422391304347823,26.79866666666667,25.952708333333334,26.27081632653061,26.94622222222222,26.98404761904762,27.00333333333333,27.72525,27.82153846153846,28.0615625,26.65078947368421,26.641666666666666,27.109130434782607,28.138571428571428,27.559,27.63741935483871,27.357931034482757
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,19.99103448275862,20.316296296296294,20.564074074074075,20.684137931034485,20.79423076923077,20.75142857142857,20.356206896551726,19.599999999999998,20.17925925925926,20.8375,20.419310344827586,20.894827586206894,20.621153846153845,20.230740740740742,20.109615384615385,19.823666666666668,20.37366666666667,20.482592592592592,20.78047619047619,20.841578947368422,20.213749999999997,19.96642857142857,20.348235294117643,21.111052631578946,20.66454545454545,20.95777777777778
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,29.03119658119658,28.711759999999998,28.83522123893805,29.248934426229507,29.68787401574803,29.656583333333334,29.94817391304348,27.406666666666666,30.56833333333333,29.852049180327867,29.459268292682925,29.459508196721313,30.149333333333335,29.844166666666663,30.008595041322312,30.427142857142854,30.21376923076923,30.62468253968254,30.14969230769231,30.531290322580645,30.825809523809525,30.158317757009346,30.299444444444443,30.537685185185182,30.533982300884954,30.43091666666667
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,13.748333333333333,13.866019417475728,13.736600000000001,13.872293577981651,13.889217391304348,13.731596638655462,13.49154411764706,12.72195652173913,13.276782608695651,13.279609375,13.410393700787402,13.333984962406015,13.39378787878788,13.47,13.547272727272727,13.619357798165138,13.60394495412844,13.615545454545455,13.882897196261682,13.685963302752294,13.579636363636364,13.54061224489796,13.937966101694915,14.001692307692307,14.284189189189188,13.969058823529414
