item_code,item,unit,item_group,item_category,2024-09-01,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-07,2024-09-08,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-14,2024-09-15,2024-09-17,2024-09-18,2024-09-19,2024-09-20,2024-09-21,2024-09-22,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-28,2024-09-29,2024-09-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,7.291776649746193,7.19351724137931,7.203986486486487,7.199020270270271,7.249901639344263,7.3013981762917926,7.468035714285714,7.567617647058823,7.633450292397661,7.701449275362319,7.780685714285713,7.805763688760806,7.8607163323782245,7.975755813953488,8.032832369942197,8.141184971098266,8.23028901734104,8.328684210526315,8.330466472303208,8.287900874635568,8.25008875739645,8.24745508982036,8.235597667638483,8.176075581395349,8.146046511627906,8.114205882352941,8.05634375,8.122764505119454,8.246141479099677
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.133636363636365,11.101981981981982,11.129279279279281,11.11107142857143,11.113839285714286,11.10808695652174,11.092086956521738,11.063716814159292,11.152924528301886,11.21847619047619,11.287788461538462,11.311619047619049,11.350761904761905,11.334059405940595,11.311089108910892,11.181000000000001,11.216396396396396,11.269174311926605,11.252631578947367,11.261150442477875,11.183666666666666,11.251440677966102,11.252735042735042,11.254521739130434,11.293478260869565,11.25364406779661,11.221592920353983,11.258727272727272,11.26406779661017
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,,,,,,,,,4.88,,,,,,,,,,,,,,,,,,,,
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,28.07253968253968,28.38785714285714,28.437534246575343,28.423055555555553,28.248888888888885,28.287702702702703,28.166216216216213,28.09220779220779,28.0388,28.094933333333334,27.886052631578945,27.793947368421048,27.77933333333333,27.755333333333336,27.663199999999996,27.81756756756757,27.96739726027397,27.804054054054053,27.78054054054054,27.803378378378376,27.717402597402593,27.86025974025974,27.92142857142857,27.775199999999998,27.825131578947367,27.747012987012987,27.709350649350647,27.739729729729728,27.668399999999995
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,29.85875,29.85875,29.85875,29.9725,29.9725,29.9725,29.9725,29.9725,29.83625,29.964444444444446,29.964444444444446,29.964444444444446,29.964444444444446,29.964444444444446,29.964444444444446,28.41142857142857,28.41142857142857,29.3475,29.3475,29.3475,29.3475,29.3475,29.3475,29.3475,29.3475,29.3475,29.3475,29.3475,29.3475
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,46.945,45.25,45.70625,46.172222222222224,46.172222222222224,46.445,46.445,45.945,45.379999999999995,44.78333333333333,42.43888888888889,42.611666666666665,39.4675,42.772000000000006,42.772000000000006,41.24,42.792,42.991666666666674,39.712,39.45,39.45,38.693333333333335,39.267500000000005,39.267500000000005,41.105555555555554,40.13125,40.13125,40.13125,40.86571428571428
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,,36.39,36.39,,,,,,,,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,22.407809523809522,22.779661016949152,22.46362068965517,22.397304347826086,22.454695652173914,22.446880733944955,22.440467289719624,22.40252336448598,22.445596330275226,22.59690909090909,22.617636363636365,22.615887850467292,22.493425925925926,22.3675,22.366306306306306,22.55009009009009,22.410454545454545,22.55898148148148,22.463423423423425,22.42198198198198,22.336964285714284,22.419396551724137,22.431739130434785,22.394298245614035,22.158189655172414,22.085652173913044,22.18709090909091,22.23757009345794,22.348333333333333
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.88641304347826,6.839148936170213,6.87743169398907,6.840833333333332,6.779417989417989,6.711290322580645,6.729450000000001,6.740048543689321,6.853899999999999,6.841144278606966,6.778782608695653,6.748051948051947,6.705863636363636,6.674241071428571,6.693391304347826,6.661620370370371,6.696008968609866,6.664279475982533,6.678558558558559,6.652660944206009,6.641898734177215,6.582183406113537,6.598888888888889,6.5621524663677135,6.517652173913043,6.536986899563319,6.4958649789029534,6.525585585585586,6.530045045045045
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.132928176795581,7.07819512195122,7.0929230769230776,7.084371859296484,7.080197044334975,7.068638497652583,7.0904186046511635,7.109515418502204,7.080287081339714,7.023316582914573,7.028803827751196,7.016711711711712,7.0149771689497715,6.9940723981900454,7.004017857142857,7.02639024390244,7.033712871287128,7.0021844660194175,7.018653846153847,6.995188679245283,7.012093023255813,7.0482407407407415,7.036084905660378,7.026186046511628,7.083090909090909,7.089406392694064,7.083377777777778,7.098215962441315,7.056273584905661
