item_code,item,unit,item_group,item_category,2026-01-01,2026-01-02,2026-01-03,2026-01-04,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.62170731707317,8.595307692307692,8.60736147757256,8.625130208333333,8.687809278350516,8.700833333333334,8.650423529411764,8.682401847575058,8.694537037037037,8.67338095238095,8.666729857819904,8.659977168949771,8.644503464203234,8.676231884057971,8.641524249422632,8.628896713615022,8.633061224489795,8.633030303030303,8.687977011494253,8.686475972540045,8.7072247706422,8.709516129032258,8.714631828978622,8.771364902506964,8.790580110497238,8.779427917620138,8.83892694063927,8.896636155606407,8.890204545454546,8.888104265402845,8.90401891252955
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,10.294,11.102108843537415,11.08476821192053,11.126560509554139,11.165833333333333,11.171764705882353,11.16625,11.179363057324842,11.165987261146496,11.184013157894737,11.165098039215685,11.195490196078431,11.22860927152318,11.264066666666668,11.283831168831169,11.275,11.283892617449665,11.3,11.25620253164557,11.260185185185186,11.280253164556962,11.271528662420383,11.275432098765434,11.257549668874173,11.257548387096774,11.294050632911393,11.280125786163522,11.27188679245283,11.280943396226416,11.289868421052631,11.297870967741936
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,33.42761363636364,,,,,,,33.092666666666666,,,,,,,33.370224719101124,,,,,,,33.47266666666667,,,33.548372093023254,,
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,35.89,,,,,,,34.894999999999996,,,,,,,34.894999999999996,,,,,,,34.894999999999996,,,34.894999999999996,,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,,,,45.08923076923077,,,,,,,45.582142857142856,,,,,,,45.721875,,,,,,,45.809375,,,46.28214285714286,,
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,,,,,41.6,,,,,,,41.6,,,,,,,41.6,,,,,,,41.6,,,41.6,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,,,23.82109489051095,,,,,,,23.932720588235295,,,,,,,23.988541666666666,,,,,,,23.967285714285715,,,24.005149253731343,,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,6.580980392156863,,,,,,,6.508051948051948,,,,,,,6.2425,,,,,,,5.976333333333334,,,5.884230769230769,,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,7.360948275862069,,,,,,,7.045092592592592,,,,,,,7.325757575757576,,,,,,,7.390619469026548,,,7.373193277310924,,
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,7.476551724137931,,,,,,,7.405689655172415,,,,,,,7.459333333333333,,,,,,,7.532857142857143,,,7.6948437499999995,,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,5.509514563106796,,,,,,,5.399230769230769,,,,,,,5.515882352941176,,,,,,,5.504711538461539,,,5.689583333333334,,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,3.8678285714285714,,,,,,,4.032764705882353,,,,,,,3.923433734939759,,,,,,,3.71975,,,3.702251655629139,,
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,10.748396226415094,,,,,,,10.034,,,,,,,9.394806201550388,,,,,,,9.111640625,,,8.998181818181818,,
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,6.511810344827587,,,,,,,6.761666666666666,,,,,,,7.093057851239669,,,,,,,7.226074074074074,,,6.93058394160584,,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,4.6515862068965514,,,,,,,4.677945205479452,,,,,,,4.6968794326241134,,,,,,,4.671319444444445,,,4.7136054421768705,,
26,ANGGUR HIJAU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,18.066666666666666,,,,,,,21.33,,,,,,,21.596666666666664,,,,,,,24.9,,,25.929999999999996,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,11.094349999999999,,,,,,,11.163190476190476,,,,,,,11.16592233009709,,,,,,,11.680098522167487,,,11.830358974358974,,
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,1.85125,,,,,,,1.907313432835821,,,,,,,1.8877611940298509,,,,,,,1.8385964912280701,,,1.9031746031746033,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,7.641153846153847,,,,,,,7.55921568627451,,,,,,,7.587297297297297,,,,,,,7.606464646464647,,,7.599814814814816,,
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,10.784545454545453,,,,,,,10.533095238095237,,,,,,,10.427142857142858,,,,,,,10.207176470588236,,,10.074827586206897,,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,26.77534201954397,,,,,,,26.90423487544484,,,,,,,26.98032786885246,,,,,,,26.827414965986396,,,26.883333333333333,,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,10.398494623655914,10.484655172413794,10.453729281767956,10.595549597855227,10.672005347593583,10.704764397905759,10.709179894179895,10.673099730458222,10.655226666666668,10.656791443850267,10.715111111111112,10.582349726775957,10.619429347826088,10.652514450867052,10.772580645161291,10.74968253968254,10.739820895522389,10.645165745856355,10.644695431472082,10.544961439588688,10.625364583333335,10.510236842105263,10.614643799472296,10.543934426229509,10.605989010989012,10.61421188630491,10.720128865979381,10.63196335078534,10.585180412371134,10.546435897435897,10.494453125
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,25.947999999999997,,,,,,,26.106304347826086,,,,,,,25.710962962962963,,,,,,,25.96272727272727,,,25.778294573643407,,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.66891891891892,15.417314285714284,15.718518518518517,15.491553398058251,15.243854166666665,14.995842696629214,15.018545454545455,15.28701754385965,15.451604278074866,15.666153846153847,15.630178571428571,15.170192307692307,15.293193717277488,15.323701657458564,15.651490384615384,15.786273584905661,15.917305699481865,15.78849315068493,15.36780172413793,15.32918181818182,15.382995594713655,15.259671361502347,15.256129032258064,14.946931818181817,14.970361445783132,15.378975903614457,15.60867469879518,15.676063829787234,15.780406091370557,15.668516483516484,15.329664804469274
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,29.557956204379558,,,,,,,30.67793388429752,,,,,,,31.157916666666665,,,,,,,30.82943925233645,,,30.719603174603176,,
