item_code,item,unit,item_group,item_category,2026-03-01,2026-03-02,2026-03-03,2026-03-04,2026-03-05,2026-03-06,2026-03-07,2026-03-08,2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13,2026-03-15,2026-03-16,2026-03-17,2026-03-18,2026-03-24,2026-03-25,2026-03-26,2026-03-27,2026-03-28,2026-03-29,2026-03-30,2026-03-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.02866028708134,9.013333333333334,8.946193853427896,8.810224438902743,8.70546511627907,8.507939110070257,8.250495867768594,8.209138888888889,8.286658878504673,8.233310185185186,8.191144164759725,8.169815668202764,8.10025641025641,8.072819277108435,8.109491916859122,8.01572429906542,7.957172897196262,8.078222891566266,8.007046511627907,7.958171296296296,7.876859903381643,7.77479057591623,7.67228323699422,7.621461988304094,7.5881677018633535
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.2533125,11.305974842767297,11.2935,11.338387096774193,11.333116883116883,11.340817610062894,11.376363636363637,11.295205479452056,11.326209150326799,11.314129032258064,11.279620253164557,11.312199999999999,11.236423841059603,11.201830985915494,11.231493506493507,11.230479452054794,11.20312925170068,11.249527027027028,11.193660130718955,11.168169934640524,11.238079470198675,11.18972602739726,11.200405405405405,10.920357142857142,11.193986486486487
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,33.909684210526315,,,,,,,33.92234042553192,,,,,,33.891555555555556,,38.2,,,,,,,34.07238095238095,
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,33.8425,,,,,,,34.32333333333333,,,,,,33.99,,35.49,,,,,,,33.99,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,46.972307692307695,,,,,,,46.96333333333333,,,,,,45.18333333333333,,,,,,,,,46.51142857142857,
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,,41.6,,,,,,,,,,,,,,,,,,,,,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,23.560958904109587,,,,,,,23.52825503355705,,,,,,21.9048031496063,,20.754285714285714,,,20.8,,,,23.18,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,5.621641791044777,,,,,,,5.9290370370370375,,,,,,6.124496644295302,,4.7,,,4.645,,,,6.423966942148761,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,7.34673076923077,,,,,,,7.287459016393443,,,,,,7.27632,,6.172500000000001,,,7.29,,,,7.181880341880341,
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,7.6521739130434785,,,,,,,7.6814,,,,,,7.6138,,,,,,,,,7.55245283018868,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,5.418367346938775,,,,,,,5.283186813186814,,,,,,5.540212765957446,,,,,4.045,,,,5.537901234567901,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,3.1365714285714286,,,,,,,2.766134969325153,,,,,,2.8974683544303796,,2.434,,,4.516,,,,3.2445222929936306,
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,9.642416666666668,,,,,,,10.089,,,,,,9.940642201834862,,9.967500000000001,,,13.916,,,,9.935591397849462,
