item_code,item,unit,n_original,original_std,n_trimmed,new_std,std_reduction,std_reduction_pct
1157,NASI PUTIH KOSONG,sepinggan,119,0.3429307237190541,118.0,0.33518391128178077,0.0077468124372733205,0.022590021545050874
1158,NASI AYAM,sepinggan,80,1.0463196500718999,73.0,0.8310791429562684,0.21524050711563147,0.20571199929279815
1159,NASI LEMAK (BERBUNGKUS),sebungkus,10,0.8168367169895232,8.0,0.6386369413502032,0.17819977563932,0.21815838090148632
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,12,1.0781578003354813,10.0,0.5750362307426087,0.5031215695928726,0.4666492877353579
1161,NASI + SAYUR + IKAN,sepinggan,57,1.3855208117525695,53.0,1.0182193683819025,0.36730144337066695,0.2650999106293185
1162,NASI + SAYUR + AYAM,sepinggan,77,0.9879987298012375,70.0,0.8066250010627892,0.18137372873844826,0.18357688453196339
1163,NASI + SAYUR + DAGING,sepinggan,54,1.2289257749950724,49.0,0.9763487095915518,0.25257706540352054,0.2055267051458281
1164,NASI + SAYUR + SOTONG,sepinggan,6,1.6618263046018575,5.0,1.3038404810405297,0.3579858235613278,0.21541711222767923
1165,NASI + SAYUR + UDANG,sepinggan,5,1.4317821063276355,3.0,1.0,0.4317821063276355,0.3015697042304219
1167,NASI GORENG KAMPUNG,sepinggan,27,1.0595247012658993,25.0,0.8930285549745876,0.1664961462913117,0.15714229794962345
1168,NASI GORENG PAPRIK,sepinggan,7,1.2645345464033866,5.0,0.8757853618324523,0.3887491845709343,0.307424724517509
1169,NASI GORENG CINA,sepinggan,33,1.0444659357341872,31.0,0.8601075201604502,0.184358415573737,0.17650974461330401
1170,NASI GORENG PATAYA,sepinggan,11,1.5951631435516103,10.0,1.1005049346146119,0.4946582089369984,0.31009882025963076
1172,NASI GORENG CILI PADI,sepinggan,10,0.7905694150420948,8.0,0.37201190457142247,0.4185575104706723,0.5294380259428398
1173,NASI GORENG DAGING MERAH,sepinggan,3,3.459768778401238,1.0,,,
1174,NASI GORENG USA,sepinggan,4,1.6520189667999174,2.0,0.3535533905932738,1.2984655762066437,0.7859870874980736
1175,NASI GORENG AYAM,sepinggan,42,1.1521353199978408,38.0,0.842188607184355,0.30994671281348585,0.269019365549931
1183,BIHUN GORENG,sepinggan,95,1.3625752904601096,89.0,1.1329519777382813,0.22962331272182834,0.16852155938061225
1184,BIHUN HAILAM,sepinggan,11,1.140175425099138,9.0,0.7406828681096324,0.3994925569895057,0.35037815076111634
1186,BIHUN TOMYAM,semangkuk,15,2.0863045479188,14.0,2.047297870713632,0.03900667720516804,0.0186965403704264
1188,BIHUN LADNA,sepinggan,3,0.8660254037844386,2.0,0.0,0.8660254037844386,1.0
1189,BIHUN KUNGFU,sepinggan,15,1.2344267996967355,14.0,1.027105182026191,0.20732161767054458,0.16794970566215653
1198,AYAM GORENG,seketul,27,0.9341113972991137,25.0,0.7702380584382121,0.1638733388609016,0.17543232994985863
1199,AYAM MASAK MERAH,seketul,6,1.2816655830077777,4.0,0.722841614740048,0.5588239682677296,0.43601386795165153
1200,AYAM MASAK KICAP,seketul,14,2.0793595801920035,12.0,0.8912027963614255,1.188156783830578,0.5714051552934708
1201,AYAM MASAK HALIA,seketul,8,2.661866960290411,6.0,0.8471520918150807,1.8147148684753303,0.6817451418673997
1202,DAGING MASAK MERAH,sepiring,2,2.8284271247461903,,,,
1203,DAGING MASAK KICAP,sepiring,14,3.43862993417085,12.0,2.391588796113782,1.047041138057068,0.30449369606547644
1204,DAGING MASAK HALIA,sepiring,11,3.6606010435446255,9.0,2.4720661623652207,1.1885348811794048,0.3246829870398893
1206,SOTONG GORENG,sepiring,16,4.449719092257398,14.0,4.127101529277785,0.3226175629796133,0.07250290552969386
1207,SOTONG MASAK MERAH,sepiring,4,6.075908711186061,3.0,5.773502691896258,0.30240601928980304,0.049771323708840125
1208,SOTONG MASAK KICAP,sepiring,6,3.1622776601683795,5.0,2.2360679774997894,0.9262096826685902,0.29289321881345265
1209,SOTONG MASAK HALIA,sepiring,5,3.361547262794322,4.0,2.5,0.8615472627943221,0.25629485336408797
1210,UDANG GORENG,sepiring,11,5.3716427147145085,9.0,4.196559437338057,1.1750832773764515,0.21875678256812445
1211,UDANG MASAK MERAH,sepiring,3,5.507570547286102,1.0,,,
1212,UDANG MASAK KICAP,sepiring,4,5.560275772537426,2.0,0.7071067811865476,4.853168991350878,0.8728288289802107
1213,UDANG MASAK HALIA,sepiring,5,5.176871642217914,3.0,3.7859388972001824,1.3909327450177313,0.2686821001460677
1214,SAYUR CAMPUR,sepiring,53,3.164987842099652,48.0,2.6546593589492304,0.5103284831504213,0.16124184629153887
1215,SAYUR KAILAN IKAN MASIN,sepiring,28,2.647250745195193,25.0,2.142428528562855,0.5048222166323382,0.1906967889417349
1216,SAYUR KANGKUNG GORENG BELACAN,sepiring,36,2.851803940365767,33.0,2.538622120900878,0.313181819464889,0.10981884660160786
1232,TELUR MATA KERBAU,sebiji,78,0.2786796326650688,73.0,0.21881617285704721,0.059863459808021574,0.21481103314058295
1233,TELUR DADAR,sebiji,37,0.3819501091581017,36.0,0.3330832395129548,0.04886686964514686,0.1279404520995156
1234,TELUR BISTIK,1 set,1,,1.0,,,
1235,TELUR SETENGAH MASAK,sebiji,42,0.22084990514815453,40.0,0.1904111610605067,0.030438744087647823,0.13782547955919816
1236,TELUR REBUS,sebiji,32,0.2282471778435571,31.0,0.19680239529969884,0.03144478254385827,0.13776635856330646
1237,TELUR MASIN,sebiji,23,0.334982743936427,21.0,0.23664319132398468,0.09833955261244234,0.2935660250938335
1238,SUP AYAM,semangkuk,19,2.0020311323680167,18.0,1.7187166514887138,0.2833144808793029,0.14151352409000578
1239,SUP DAGING,semangkuk,9,1.509230856356236,7.0,0.9322272357358042,0.5770036206204318,0.3823163422549565
1241,SUP CAMPUR,semangkuk,13,1.6727453252294333,11.0,1.1139609916460678,0.5587843335833655,0.3340522464211477
1242,TOM YAM CAMPUR,semangkuk,8,1.7878558586834035,6.0,1.1726039399558577,0.6152519187275458,0.34412836792146323
1243,TOM YAM AYAM,semangkuk,10,1.9500712237705002,9.0,1.8371173070873832,0.11295391668311705,0.057922969841439166
1244,TOM YAM DAGING,semangkuk,6,2.0595306908775766,5.0,1.5652475842498528,0.4942831066277238,0.23999793196434827
1245,TOM YAM UDANG,semangkuk,10,5.044523983709684,8.0,3.543101950067402,1.501422033642282,0.29763403613320794
