item_code,item,unit,item_group,item_category,2022-03-02,2022-03-03,2022-03-05
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,1.3271186440677967,,1.0
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,5.6780487804878055,,
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,2.3833333333333333,3.0,
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,3.525,3.0,
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,6.111538461538462,,4.5
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,5.969333333333333,,4.5
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,6.206382978723404,,4.5
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,6.9,,
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,7.75,,
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,6.42,,
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,7.3428571428571425,,
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,6.296296296296297,,
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,7.818181818181818,,
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,6.1875,,
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,9.0,,
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,8.0,,
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.411764705882353,,
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.936046511627907,,4.5
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.153846153846154,,
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.486666666666666,,
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.0,,
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.066666666666666,,
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK,3.3041666666666667,,
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK,4.0,,
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK,3.5833333333333335,,
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK,4.04,,
1203,DAGING MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,6.2727272727272725,,
1204,DAGING MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,7.285714285714286,,
1206,SOTONG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,11.25,,
1207,SOTONG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,7.333333333333333,,
1208,SOTONG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,15.0,,
1209,SOTONG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,15.0,,
